"Grouped Products","Групові товари"
"Please specify the quantity of product(s).","Please specify the quantity of product(s)."
"Cannot process the item.","Cannot process the item."
"Add Products to Group","Додати товари до групи"
"Cancel","Скасувати"
"Add Selected Products","Додати вибрані товари"
"A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group.","A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group."
"Remove","Вилучити"
"ID","Ідентифікатор"
"Thumbnail","Мініатюра"
"Name","Назва"
"Attribute Set","Набір атрибутів"
"Status","Статус"
"SKU","Артикул"
"Price","Ціна"
"Default Quantity","Типова кількість"
"Actions","Дії"
"Associated Products","Associated Products"
"Availability:","Наявність:"
"Out of stock","Немає у наявності"
"Product Name","Назва товару"
"Qty","Кіл-ть"
"No options of this product are available.","Немає доступних опцій цього товару."
"There are no grouped products.","There are no grouped products."
"Default Qty","Default Qty"
"Starting at","Starting at"
"Availability","Наявність"
"In stock","В наявності"
"Grouped product items","Grouped product items"
"Grouped Product Image","Grouped Product Image"
"Select...","Виберіть..."
"Type","Тип"
"Quantity","Кількість"
"AttributeSetText","AttributeSetText"
"StatusText","ТекстСтану"
"Position","Position"
