"Grouped Products","Zoskupené produkty"
"Please specify the quantity of product(s).","Uveďte množstvo produktu(ov)."
"Cannot process the item.","Cannot process the item."
"Add Products to Group","Add Products to Group"
"Cancel","Zrušiť"
"Add Selected Products","Pridať vybrané produkty"
"A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group.","A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group."
"Remove","Odstrániť"
"ID","ID"
"Thumbnail","Náhľad"
"Name","Meno"
"Attribute Set","Sada atribútov"
"Status","Stav"
"SKU","Katalógové číslo"
"Price","Cena"
"Default Quantity","Predvolené množstvo"
"Actions","Akcie"
"Associated Products","Associated Products"
"Availability:","Dostupnosť:"
"Out of stock","Vypredané"
"Product Name","Názov produktu"
"Qty","Množstvo"
"No options of this product are available.","Pre tento produkt niesu dostupné žiadne možnosti."
"There are no grouped products.","There are no grouped products."
"Default Qty","Default Qty"
"Starting at","Starting at"
"Availability","Dostupnosť"
"In stock","Skladom"
"Grouped product items","Grouped product items"
"Grouped Product Image","Grouped Product Image"
"Select...","Vyberte..."
"Type","Typ"
"Quantity","Množstvo"
"AttributeSetText","AttributeSetText"
"StatusText","StatusText"
"Position","Position"
