"Grouped Products","Grupowany produkt"
"Please specify the quantity of product(s).","Prosimy sprecyzowac ilość produktu."
"Cannot process the item.","Nie można przetworzyć elementu."
"Add Products to Group","Dodawanie produktów do grupy"
"Cancel","Anuluj"
"Add Selected Products","Dodaj wybrane produkty"
"A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group.","Zgrupowane produkt składają się z wielu, samodzielnych produktów, które są przedstawiane jako Grupa. Można oferować odmiany pojedynczego produktu lub grupy przez stworzenie skoordynowanego zestawu czasu lub temat. Każdy produkt można nabyć oddzielnie lub jako część grupy."
"Remove","Usuń"
"ID","Identyfikator"
"Thumbnail","Miniatura"
"Name","Nazwa"
"Attribute Set","Zestaw cech"
"Status","Stan"
"SKU","SKU"
"Price","Cena"
"Default Quantity","Domyślna ilość"
"Actions","Operacje"
"Associated Products","Produkty składowe konfiguracji"
"Availability:","Dostępność:"
"Out of stock","Brak w magazynie"
"Product Name","Nazwa produktu"
"Qty","Ilość"
"No options of this product are available.","Brak opcji dla tego produktu."
"There are no grouped products.","Nie ma produktów grupowanych."
"Default Qty","Domyślna ilość"
"Starting at","Zaczynając od"
"Availability","Dostępność"
"In stock","W magazynie"
"Grouped product items","Elementy produktów grupowanych"
"Grouped Product Image","Obrazek grupowanego produktu"
"Select...","Wybierz..."
"Type","Rodzaj"
"Quantity","Ilość"
"AttributeSetText","AttributeSetText"
"StatusText","StatusText"
"Position","Position"
