"Grouped Products","Prodotti raggruppati"
"Please specify the quantity of product(s).","Specifica la quantità di prodotto(i)."
"Cannot process the item.","Impossibile elaborare l'elemento."
"Add Products to Group","Aggiungi i prodotti al gruppo"
"Cancel","Annulla"
"Add Selected Products","Aggiungi prodotti selezionati"
"A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group.","Un prodotto raggruppato si compone di prodotti standalone multipli, che sono presentati come un gruppo. Puoi offrire varianti di un singolo prodotto o raggruppati in base a stagione o tema per creare un set coordinato. Ogni prodotto può essere acquistato separatamente o come parte del gruppo."
"Remove","Elimina"
"ID","ID"
"Thumbnail","Miniatura"
"Name","Nome"
"Attribute Set","Set di attributi"
"Status","Stato"
"SKU","Cod.Art."
"Price","Prezzo"
"Default Quantity","Quantità predefinita"
"Actions","Azioni"
"Associated Products","Prodotti associati"
"Availability:","Disponibilita':"
"Out of stock","Non Disponibile"
"Product Name","Nome prodotto"
"Qty","Qtà"
"No options of this product are available.","Nessuna opzione di questo prodotto è disponibile."
"There are no grouped products.","Non esistono prodotti raggruppati."
"Default Qty","Qtà predefinita"
"Starting at","A partire da"
"Availability","Disponibilita'"
"In stock","Disponibile"
"Grouped product items","Elementi prodotti raggruppati"
"Grouped Product Image","Immagine del prodotto raggruppato"
"Select...","Seleziona..."
"Type","Tipo"
"Quantity","Quantità"
"AttributeSetText","TestoSetAttributi"
"StatusText","TestoStatus"
"Position","Position"
