"Grouped Products","Grupēti Produkti"
"Please specify the quantity of product(s).","Lūdzu, norādiet produktu daudzumu."
"Cannot process the item.","Cannot process the item."
"Add Products to Group","Add Products to Group"
"Cancel","Atcelt"
"Add Selected Products","Pievienot izvēlētos produktus"
"A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group.","A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group."
"Remove","Dzēst"
"ID","ID"
"Thumbnail","Sīktēls"
"Name","Vārds"
"Attribute Set","Atribūtu kopa"
"Status","Statuss"
"SKU","Artikuls"
"Price","Cena"
"Default Quantity","Noklusētais skaits"
"Actions","Darbības"
"Associated Products","Associated Products"
"Availability:","Pieejamība:"
"Out of stock","Nav pieejams"
"Product Name","Produkta nosaukums"
"Qty","Skaits"
"No options of this product are available.","Šim produktam nav pieejamas opcijas."
"There are no grouped products.","There are no grouped products."
"Default Qty","Noklusētais skaits"
"Starting at","Starting at"
"Availability","Pieejamība"
"In stock","Noliktavā"
"Grouped product items","Grouped product items"
"Grouped Product Image","Grouped Product Image"
"Select...","Izvēlēties..."
"Type","Veids"
"Quantity","Skaits"
"AttributeSetText","AttributeSetText"
"StatusText","StatusText"
"Position","Position"
