"Grouped Products","Produits groupés"
"Please specify the quantity of product(s).","Spécifiez la quantité de produit(s)."
"Cannot process the item.","Impossible de traiter l'élément."
"Add Products to Group","Ajouter des Produits au Groupe"
"Cancel","Annuler"
"Add Selected Products","Ajouter les produits sélectionnés"
"A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group.","Un produit groupé se compose de plusieurs produits simples qui sont présentés comme un groupe. Vous pouvez offrir des variations d’un seul produit ou les grouper par saison ou par thème pour créer un ensemble coordonné. Chaque produit peut être acheté séparément ou comme partie du groupe."
"Remove","Supprimer"
"ID","Identifiant"
"Thumbnail","Miniature"
"Name","Nom"
"Attribute Set","Jeu d'attributs"
"Status","Statut"
"SKU","REF"
"Price","Prix"
"Default Quantity","Quantité par défaut"
"Actions","Actions"
"Associated Products","Produits associés"
"Availability:","Disponibilité :"
"Out of stock","Épuisé"
"Product Name","Nom de produit"
"Qty","Qté"
"No options of this product are available.","Aucune option n'est disponible pour ce produit."
"There are no grouped products.","Il n’y a pas de produits groupés."
"Default Qty","Qté par défaut"
"Starting at","À partir de"
"Availability","Disponibilité"
"In stock","En stock"
"Grouped product items","Articles du produit groupé"
"Grouped Product Image","Image de produit groupé"
"Select...","Sélectionner..."
"Type","Type"
"Quantity","Quantité"
"AttributeSetText","Attributs de texte"
"StatusText","TexteStatut"
"Position","Position"
