"ProductSku should be specified","ProductSku trebuie specificat"
"Attribute ""%1"" is required.","Atributul ""%1"" este necesar."
"Enabled","Activat"
"Disabled","Dezactivat"
"Future Update in this time range already exists. Select a different range to add a new Future Update.","Actualizarea viitoare în acest interval de timp există deja. Selectați un interval diferit pentru a adăuga o nouă actualizare viitoare."
"Unable to save product","Imposibil de salvat produsul"
"The image cannot be removed as it has been assigned to the other image role","Imaginea nu poate fi ștearsă deoarece a fost atribuită celuilalt rol al imaginii"
"Could not save Prices.","Nu s-au putut salva prețurile."
"Invalid attribute %fieldName = %fieldValue.","Atribut invalid %fieldName = %fieldValue."
"The requested price is not found.","Prețul solicitat nu a fost găsit."
"Could not delete Prices","Nu s-au putut șterge prețurile"
"Update %1 from %2 to %3.","Actualizează %1 de la %2 la %3."
"Design","Design"
"View/Edit","Vizualizare/Editare"
"Delete","Șterge"
"Preview","Previzualizare"
"Set Product as New","Setează produsul ca Nou"
"Store View:","Vitrina magazin:"
"Stores Configuration","Configurație magazine"
"Scheduled Changes","Modificări programate"
"Name","Nume"
"Description","Descriere"
"Action","Acțiune"
"Update Information","Actualizează Informații"
"Schedule Update","Programare actualizare"
"Update Name","Nume actualizare"
"Start Date","Data începerii"
"End Date","Data finalizării"
"Enable Category","Activează Categoria"
"Include in Menu","Include în meniu"
"Category Name","Nume categorie"
"Content","Conținut"
"Category Image","Imagine categorie"
"Add CMS Block","Adaugă bloc CMS"
"Display Settings","Setări de afișare"
"Anchor","Ancoră"
"Sort Products By","Sortează produsele după"
"Use All","Utilizează toate"
"Default Product Sorting","Sortare implicită a produselor"
"Use Config Settings","Folosiți setări de configurare"
"Layered Navigation Price Step","Pasul prețului de navigare în straturi"
"Search Engine Optimization","Optimizare motor de căutare"
"Meta Title","Meta Titlu"
"Meta Keywords","Meta Cuvinte cheie"
"Meta Description","Meta Descriere"
"Use Parent Category Settings","Folosește Setările Categoriei Părinte"
"New Theme","Temă nouă"
"Layout","Aspect"
"Layout Update XML","Actualizare XML pagină"
"Apply Design to Products","Aplică designul la produse"
"Save as a New Update","Salvează ca actualizare nouă"
"Move to Another Update","Mutați în altă actualizare"
"Delete the Update","Ștergeți actualizarea"
"The category will be removed from the update and all scheduled changes will be lost.","Categoria va fi ștearsă din actualizare și toate modificările programate vor fi pierdute."
"200","200"
"100","100"
"50","50"
"30","30"
"20","20"
"Start Time","Timp de începere"
"End Time","Ora de încheiere"
"ID","ID"
"Thumbnail","Miniatură"
"Attribute Set","Set atribute"
"AttributeSetText","AtributeSetText"
"Status","Status"
"StatusText","StatusText"
"Type","Tip"
"SKU","SKU"
"Price","Preț"
"Remove Product from Update","Elimină produsul din actualizare"
"Images","Imagini"
"The product will be removed from the update and all scheduled changes will be lost.","Produsul va fi eliminat din actualizare și toate modificările programate vor fi pierdute."
"Currently Active","Activ în prezent"
"Products","Produse"
"Categories","Categorii"
"Path","Cale"
"Quantity","Cantitate"
"Visibility","Vizibilitate"
"Websites","Website-uri"
"Remove Category from Campaign","Elimină categoria din campanie"
"General Information","Informații generale"
"Move to Another Campaign","Mutați în altă campanie"
"Deleting the update will remove the page from this campaign and all scheduled changes will be lost.","Ștergerea actualizării va elimina pagina din această campanie, iar toate modificările programate se vor pierde."
"Remove Product from Campaign","Elimină produsul din campanie"
"Deleting the update will remove the product from this campaign and all scheduled changes will be lost.","Ștergerea actualizării va elimina produsul din această campanie, iar toate modificările programate se vor pierde."
"Problem with creating product update.","Problemă la crearea unei actualizări de produs."
"The ProductSku is empty. Set the ProductSku and try again.","ProductSku este gol. Setează ProductSku si încearcă din nou."
"The ""%1"" attribute is required. Enter and try again.","Atributul ""%1este necesar. Introdu și încearcă din nou."
"Future Update already exists in this time range. Set a different range and try again.","Actualizarea viitoare există deja în acest interval de timp. Setați un interval diferit și încercați din nou."
"The product was unable to be saved. Please try again.","Produsul nu a putut fi salvat. Încercați din nou."
