"ProductSku should be specified","ProductSku mora biti naveden"
"Attribute ""%1"" is required.","Atribut ""%1"" je obavezan."
"Enabled","Omogućeno"
"Disabled","Onemogućeno"
"Future Update in this time range already exists. Select a different range to add a new Future Update.","Future Ažuriraj in this time range already exists. Izaberi a different range to add a new Future Ažuriraj."
"Unable to save product","Proizvod se ne može sačuvati"
"The image cannot be removed as it has been assigned to the other image role","Slika nije mogla biti uklonjena zato što je dodeljena drugom pravilu"
"Could not save Prices.","Nije bilo moguće sačuvati cene."
"Invalid attribute %fieldName = %fieldValue.","Nevažeći atribut %fieldName = %fieldValue."
"The requested price is not found.","Tražena cena nije pronađena."
"Could not delete Prices","Nije bilo moguće izbrisati cene"
"Update %1 from %2 to %3.","Ažuriraj %1 iz %2 do %3."
"Design","Dizajn"
"View/Edit","Pregled/Promena"
"Delete","Obrisati"
"Preview","Pregled"
"Set Product as New","Postavi Proizvod kao Nov"
"Store View:","Prikaz prodavnice:"
"Stores Configuration","Konfiguracija prodavnice"
"Scheduled Changes","Zakazane Promene"
"Name","Ime"
"Description","Opis"
"Action","Akcija"
"Update Information","Ažuriranje informacija"
"Schedule Update","Zakazano ažuriranje"
"Update Name","Ažuriraj naziv"
"Start Date","Početni datum"
"End Date","Krajnji datum"
"Enable Category","Omogući kategoriju"
"Include in Menu","Uključi u Meni"
"Category Name","Naziv kategorije"
"Content","Sadržaj"
"Category Image","Slika kategorije"
"Add CMS Block","Dodaj CMS Blok"
"Display Settings","Podešavanje prikaza"
"Anchor","Sidro"
"Sort Products By","Sortiraj Proizvode Po"
"Use All","Koristi Sve"
"Default Product Sorting","Podrazumevano Sortiranje Proizvoda"
"Use Config Settings","Koristi konfiguraciona podešavanja"
"Layered Navigation Price Step","Korak u Slojevitoj Navigaciji"
"Search Engine Optimization","Optimizacija programa za pretraživanje"
"Meta Title","Meta Naslov"
"Meta Keywords","Meta klјučne reči"
"Meta Description","Meta opis"
"Use Parent Category Settings","Koristi Podešavanja Roditeljske Kategorije"
"New Theme","Nova Tema"
"Layout","Raspored"
"Layout Update XML","Raspored ažuriranja XML-a"
"Apply Design to Products","Primeni dizajn na proizvode"
"Save as a New Update","Sačuvaj kao Novo Ažuriranje"
"Move to Another Update","Pređi na Sledeće Ažuriranje"
"Delete the Update","Obriši Ažuriranje"
"The category will be removed from the update and all scheduled changes will be lost.","Kategorija će biti uklonjena iz ažuriranja i sve zakazane promene će biti izgubljene."
"200","200"
"100","100"
"50","50"
"30","30"
"20","20"
"Start Time","Vreme početka"
"End Time","Vreme završetka"
"ID","ID"
"Thumbnail","Sličice"
"Attribute Set","Skup atributa"
"AttributeSetText","AttributeSetText"
"Status","Status"
"StatusText","StatusText"
"Type","Tip"
"SKU","Šifra"
"Price","Cena"
"Remove Product from Update","Ukloni Proizvod iz Ažuriranja"
"Images","Slike"
"The product will be removed from the update and all scheduled changes will be lost.","Proizvod će biti uklonjen iz ažuriranja i sve zakazane promene će biti izgubljene."
"Currently Active","Trenutno Aktivne"
"Products","Proizvodi"
"Categories","Kategorije"
"Path","Putanja"
"Quantity","Količina"
"Visibility","Vidljivost"
"Websites","Web stranice"
"Remove Category from Campaign","Ukloni Kategorija from Kampanja"
"General Information","Opšte informacije"
"Move to Another Campaign","Premesti to Another Kampanja"
"Deleting the update will remove the page from this campaign and all scheduled changes will be lost.","Deleting the update will remove the page from this campaign and all scheduled changes will be lost."
"Remove Product from Campaign","Ukloni Proizvod from Kampanja"
"Deleting the update will remove the product from this campaign and all scheduled changes will be lost.","Deleting the update will remove the product from this campaign and all scheduled changes will be lost."
"Problem with creating product update.","Problem sa kreiranjem ažuriranja proizvoda."
"The ProductSku is empty. Set the ProductSku and try again.","ProductSku je prazan. Unesite ProductSku pa pokušajte ponovo."
"The ""%1"" attribute is required. Enter and try again.","""%1"" atribut je obavezan. Unesite ga i pokušajte ponovo."
"Future Update already exists in this time range. Set a different range and try again.","Buduće ažuriranje već postoji u tom vremenskom opsegu. Podesite drugi opseg i pokušajte ponovo."
"The product was unable to be saved. Please try again.","Proizvod nije sačuvan. Molimo pokušajte kasnije."
