"ProductSku should be specified","ПродуцтСку мора бити наведен"
"Attribute ""%1"" is required.","Атрибут ""%1"" је обавезан."
"Enabled","Омогућено"
"Disabled","Онемогућено"
"Future Update in this time range already exists. Select a different range to add a new Future Update.","Футуре Ажурирај ин тхис тиме ранге алреадy еxистс. Изабери а дифферент ранге то адд а неw Футуре Ажурирај."
"Unable to save product","Производ се не може сачувати"
"The image cannot be removed as it has been assigned to the other image role","Слика није могла бити уклоњена зато што је додељена другом правилу"
"Could not save Prices.","Није било могуће сачувати цене."
"Invalid attribute %fieldName = %fieldValue.","Неважећи атрибут %фиелдНаме = %фиелдВалуе."
"The requested price is not found.","Тражена цена није пронађена."
"Could not delete Prices","Није било могуће избрисати цене"
"Update %1 from %2 to %3.","Ажурирај %1 из %2 до %3."
"Design","Дизајн"
"View/Edit","Преглед/Промена"
"Delete","Обрисати"
"Preview","Преглед"
"Set Product as New","Постави Производ као Нов"
"Store View:","Приказ продавнице:"
"Stores Configuration","Конфигурација продавнице"
"Scheduled Changes","Заказане Промене"
"Name","Име"
"Description","Опис"
"Action","Акција"
"Update Information","Ажурирање информација"
"Schedule Update","Заказано ажурирање"
"Update Name","Ажурирај назив"
"Start Date","Почетни датум"
"End Date","Крајњи датум"
"Enable Category","Омогући категорију"
"Include in Menu","Укључи у Мени"
"Category Name","Назив категорије"
"Content","Садржај"
"Category Image","Слика категорије"
"Add CMS Block","Додај ЦМС Блок"
"Display Settings","Подешавање приказа"
"Anchor","Сидро"
"Sort Products By","Сортирај Производе По"
"Use All","Користи Све"
"Default Product Sorting","Подразумевано Сортирање Производа"
"Use Config Settings","Користи конфигурациона подешавања"
"Layered Navigation Price Step","Корак у Слојевитој Навигацији"
"Search Engine Optimization","Оптимизација програма за претраживање"
"Meta Title","Мета Наслов"
"Meta Keywords","Мета клјучне речи"
"Meta Description","Мета опис"
"Use Parent Category Settings","Користи Подешавања Родитељске Категорије"
"New Theme","Нова Тема"
"Layout","Распоред"
"Layout Update XML","Распоред ажурирања XМЛ-а"
"Apply Design to Products","Примени дизајн на производе"
"Save as a New Update","Сачувај као Ново Ажурирање"
"Move to Another Update","Пређи на Следеће Ажурирање"
"Delete the Update","Обриши Ажурирање"
"The category will be removed from the update and all scheduled changes will be lost.","Категорија ће бити уклоњена из ажурирања и све заказане промене ће бити изгубљене."
"200","200"
"100","100"
"50","50"
"30","30"
"20","20"
"Start Time","Време почетка"
"End Time","Време завршетка"
"ID","ИД"
"Thumbnail","Сличице"
"Attribute Set","Скуп атрибута"
"AttributeSetText","AttributeSetText"
"Status","Статус"
"StatusText","StatusText"
"Type","Тип"
"SKU","Шифра"
"Price","Цена"
"Remove Product from Update","Уклони Производ из Ажурирања"
"Images","Слике"
"The product will be removed from the update and all scheduled changes will be lost.","Производ ће бити уклоњен из ажурирања и све заказане промене ће бити изгубљене."
"Currently Active","Тренутно Активне"
"Products","Производи"
"Categories","Категорије"
"Path","Путања"
"Quantity","Количина"
"Visibility","Видљивост"
"Websites","Wеб странице"
"Remove Category from Campaign","Уклони Категорија фром Кампања"
"General Information","Опште информације"
"Move to Another Campaign","Премести то Анотхер Кампања"
"Deleting the update will remove the page from this campaign and all scheduled changes will be lost.","Deleting the update will remove the page from this campaign and all scheduled changes will be lost."
"Remove Product from Campaign","Уклони Производ фром Кампања"
"Deleting the update will remove the product from this campaign and all scheduled changes will be lost.","Deleting the update will remove the product from this campaign and all scheduled changes will be lost."
"Problem with creating product update.","Проблем са креирањем ажурирања производа."
"The ProductSku is empty. Set the ProductSku and try again.","ПродуцтСку је празан. Унесите ПродуцтСку па покушајте поново."
"The ""%1"" attribute is required. Enter and try again.","""%1"" атрибут је обавезан. Унесите га и покушајте поново."
"Future Update already exists in this time range. Set a different range and try again.","Будуће ажурирање већ постоји у том временском опсегу. Подесите други опсег и покушајте поново."
"The product was unable to be saved. Please try again.","Производ није сачуван. Молимо покушајте касније."
