"ProductSku should be specified","ProductSku moet worden opgegeven"
"Attribute ""%1"" is required.","Attribuut ""%1"" is verplicht."
"Enabled","Ingeschakeld"
"Disabled","Uitgeschakeld"
"Future Update in this time range already exists. Select a different range to add a new Future Update.","Er bestaat al een toekomstige update in deze tijdsperiode. Selecteer een andere periode om een toekomstige update toe te voegen."
"Unable to save product","Het is niet mogelijk om het product op te slaan"
"The image cannot be removed as it has been assigned to the other image role","De afbeelding kan niet verwijderd worden omdat het aan een andere afbeeldingsrol toegewezen is"
"Could not save Prices.","Prijzen konden niet worden opgeslagen."
"Invalid attribute %fieldName = %fieldValue.","Ongeldig attribuut %fieldName = %fieldValue."
"The requested price is not found.","De gevraagde prijs is niet gevonden."
"Could not delete Prices","Prijzen konden niet worden verwijderd"
"Update %1 from %2 to %3.","Update %1 van %2 naar %3."
"Design","Ontwerp"
"View/Edit","Bekijken/bewerken"
"Delete","Verwijder"
"Preview","Voorbeeld"
"Set Product as New","Markeer het product als nieuw"
"Store View:","Winkelaanzicht:"
"Stores Configuration","Winkels Configuratie"
"Scheduled Changes","Geplande wijzigingen"
"Name","Naam"
"Description","Omschrijving"
"Action","Actie"
"Update Information","Informatie bijwerken"
"Schedule Update","Plan Update"
"Update Name","Update naam"
"Start Date","begindatum"
"End Date","einddatum"
"Enable Category","Categorie inschakelen"
"Include in Menu","Weergeven in menu"
"Category Name","Categorie naam"
"Content","inhoud"
"Category Image","Categorie afbeelding"
"Add CMS Block","CMS blok toevoegen"
"Display Settings","Weergave-instellingen"
"Anchor","Anker"
"Sort Products By","Sorteer producten op"
"Use All","Gebruik al"
"Default Product Sorting","Standaard product sortering"
"Use Config Settings","Gebruik configuratiewaarden"
"Layered Navigation Price Step","Gelaagde navigatie prijs stap"
"Search Engine Optimization","Zoekmachine-optimalisatie (SEO)"
"Meta Title","Meta titel"
"Meta Keywords","Meta-keywords"
"Meta Description","Meta-omschrijving"
"Use Parent Category Settings","Bovenliggende categorie instellingen gebruiken"
"New Theme","Nieuw thema"
"Layout","Lay-out"
"Layout Update XML","Lay-out update XML"
"Apply Design to Products","Ontwerp op producten toepassen"
"Save as a New Update","Opslaan als nieuwe update"
"Move to Another Update","Verplaatsen naar een andere Update"
"Delete the Update","Verwijder de Update"
"The category will be removed from the update and all scheduled changes will be lost.","De categorie zal worden verwijderd uit de update en alle geplande wijzigingen zullen verloren gaan."
"200","200"
"100","100"
"50","50"
"30","30"
"20","20"
"Start Time","Begin Tijd"
"End Time","Eindtijd"
"ID","ID"
"Thumbnail","Mini-afbeelding"
"Attribute Set","Attributenset"
"AttributeSetText","Attributesettekst"
"Status","status"
"StatusText","Statustekst"
"Type","Soort"
"SKU","Art.nr."
"Price","prijs"
"Remove Product from Update","Verwijder product van update"
"Images","Afbeeldingen"
"The product will be removed from the update and all scheduled changes will be lost.","Het product zal worden verwijderd uit de update en alle geplande wijzigingen zullen verloren gaan."
"Currently Active","Momenteel actief"
"Products","Producten"
"Categories","Categorieën"
"Path","Pad:"
"Quantity","Aantal"
"Visibility","Zichtbaarheid"
"Websites","Websites"
"Remove Category from Campaign","Verwijder Categorie uit Campagne"
"General Information","Algemene informatie"
"Move to Another Campaign","Verplaatsen naar een andere Campagne"
"Deleting the update will remove the page from this campaign and all scheduled changes will be lost.","Verwijderen van deze update zal de pagina uit de Campagne verwijderen en alle geplande wijzigingen zullen verloren gaan."
"Remove Product from Campaign","Verwijder product uit Campagne"
"Deleting the update will remove the product from this campaign and all scheduled changes will be lost.","Verwijderen van deze update zal het product uit de Campagne verwijderen en alle geplande wijzigingen zullen verloren gaan."
"Problem with creating product update.","Probleem met het maken van productupdate."
"The ProductSku is empty. Set the ProductSku and try again.","Het ProductSku is leeg. Stel het ProductSku in en probeer het opnieuw."
"The ""%1"" attribute is required. Enter and try again.","Het ""%1"" attribuut is vereist. Voer in en probeer het opnieuw."
"Future Update already exists in this time range. Set a different range and try again.","Toekomstige update bestaat al in dit tijdsbereik. Stel een ander bereik in en probeer het opnieuw."
"The product was unable to be saved. Please try again.","Het product kon niet worden opgeslagen. Probeer het opnieuw."
