"Downloadable Information","Allalaaditav teave"
"Add New Link","Add New Link"
"Upload Files","Lae üles faile"
"All Files","Kõik failid"
"Unlimited","Piiramatu"
"Something went wrong while getting the requested content.","Küsisime sisu, aga midagi läks valesti."
"My Downloadable Products","Minu digitaalsed tooted"
"We can't find the link you requested.","We can't find the link you requested."
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","Please sign in to download your product or purchase <a href=""%1"">%2</a>."
"Please sign in to download your product.","Palun logige sisse toote allalaadimiseks."
"The link has expired.","Link on aegunud."
"The link is not available.","The link is not available."
"Sorry, there was an error getting requested content. Please contact the store owner.","Sorry, there was an error getting requested content. Please contact the store owner."
"Please set resource file and link type.","Please set resource file and link type."
"Invalid download link type.","Invalid download link type."
"Something went wrong while saving the file(s).","Midagi läks valesti faili(de) salvestamisel."
"Provided content must be valid base64 encoded data.","Provided content must be valid base64 encoded data."
"Provided file name contains forbidden characters.","Provided file name contains forbidden characters."
"Link file not provided","Link file not provided"
"Link price must have numeric positive value.","Link price must have numeric positive value."
"Number of downloads must be a positive integer.","Number of downloads must be a positive integer."
"Sort order must be a positive integer.","Sort order must be a positive integer."
"Link URL must have valid format.","Link URL must have valid format."
"Provided file content must be valid base64 encoded data.","Provided file content must be valid base64 encoded data."
"Sample URL must have valid format.","Sample URL must have valid format."
"Order id cannot be null","Order id cannot be null"
"Order item id cannot be null","Order item id cannot be null"
"Provided product must be type 'downloadable'.","Provided product must be type 'downloadable'."
"Provided link information is invalid.","Provided link information is invalid."
"Invalid link type.","Invalid link type."
"Link title cannot be empty.","Link title cannot be empty."
"There is no downloadable link with provided ID.","There is no downloadable link with provided ID."
"Provided downloadable link is not related to given product.","Provided downloadable link is not related to given product."
"Cannot delete link with id %1","Cannot delete link with id %1"
"Please specify product link(s).","Please specify product link(s)."
"Sample file not provided","Sample file not provided"
"Provided sample information is invalid.","Provided sample information is invalid."
"Invalid sample type.","Invalid sample type."
"Sample title cannot be empty.","Sample title cannot be empty."
"There is no downloadable sample with provided ID.","There is no downloadable sample with provided ID."
"Provided downloadable sample is not related to given product.","Provided downloadable sample is not related to given product."
"Cannot delete sample with id %1","Cannot delete sample with id %1"
"Yes","Jah"
"No","Ei"
"Use config","Kasuta seadeid"
"Upload File","Lae fail üles"
"URL","Veebiaadress"
"attachment","attachment"
"inline","inline"
"Pending","Ootel"
"Invoiced","Arve esitatud"
"To enable the option set the weight to no","To enable the option set the weight to no"
"Is this downloadable Product?","Is this downloadable Product?"
"Links","Links"
"Title","Pealkiri"
"Links can be purchased separately","Links can be purchased separately"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'."
"Add Link","Add Link"
"Price","Hind"
"File","Fail"
"Sample","Näidis"
"Shareable","Jagatav"
"Max. Downloads","Max. Downloads"
"Samples","Samples"
"Use Default Value","Kasuta vaikeväärtust"
"sample","näidis"
"Is this a downloadable Product?","Is this a downloadable Product?"
"Add links to your product files here.","Add links to your product files here."
"[STORE VIEW]","[POEVAADE]"
"[GLOBAL]","[GLOBAALNE]"
"Sort Order","Sorteerimise järjekord"
"Attach File or Enter Link","Attach File or Enter Link"
"Sort Variations","Sort Variations"
"Browse Files...","Vali failid..."
"Delete","Kustuta"
"Add product preview files here.","Add product preview files here."
"SKU","Laokood"
"U","U"
"Select all","Select all"
"Unselect all","Unselect all"
"Availability","Saadavus"
"In stock","Laos"
"Out of stock","Laost otsas"
