"Downloadable Information","Информације за Преузимање"
"Add New Link","Додај Нови Линк"
"Upload Files","Отпреми Датотеке"
"All Files","Све датотеке"
"Unlimited","Неограничено"
"Something went wrong while getting the requested content.","Дошло је до грешке приликом добијања траженог садржаја."
"My Downloadable Products","Моји Преузимљиви Производи"
"We can't find the link you requested.","Не можемо пронаћи тражени линк."
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","Пријавите се како би преузели или поручили производ <а хреф=""%1"">%2</а>."
"Please sign in to download your product.","Пријавите се да би преузели Ваш производ."
"The link has expired.","Линк је истекао."
"The link is not available.","Линк није доступан."
"Sorry, there was an error getting requested content. Please contact the store owner.","Извините, Појавила се грешка приликом преузимања жељеног садржаја. Молим контакрирајте власника продавнице."
"Please set resource file and link type.","Подесите изворну датотеку и тип везе."
"Invalid download link type.","Неважец́а врста везе за преузимање."
"Something went wrong while saving the file(s).","Дошло је до грешке приликом чувања фајлова."
"Provided content must be valid base64 encoded data.","Наведени садржај мора бити валидан басе64 кодирани податак."
"Provided file name contains forbidden characters.","Име датотеке садржи карактере који нису дозвољени."
"Link file not provided","Није унешен линк датотеке"
"Link price must have numeric positive value.","Линк цене мора имати позитивну нумеричку вредност."
"Number of downloads must be a positive integer.","Број преузимања мора бити позитиван цео број."
"Sort order must be a positive integer.","Редослед сортирања мора бити позитиван цео број."
"Link URL must have valid format.","Линк УРЛ мора имати валидан формат."
"Provided file content must be valid base64 encoded data.","Наведени садржај датотеке мора бити валидан басе64 кодирани податак."
"Sample URL must have valid format.","Пример УРЛ-а мора имати валидан формат."
"Order id cannot be null","Ид Порудбине не може бити нула"
"Order item id cannot be null","Ид Порученог артикла не може бити нула"
"Provided product must be type 'downloadable'.","Provided product must be type 'downloadable'."
"Provided link information is invalid.","Провидед линк информатион ис неисправан."
"Invalid link type.","Неисправан линк тyпе."
"Link title cannot be empty.","Линк титле не може бе емптy."
"There is no downloadable link with provided ID.","There is no downloadable link with provided ID."
"Provided downloadable link is not related to given product.","Provided downloadable link is not related to given product."
"Cannot delete link with id %1","Не може делете линк wитх ид %1"
"Please specify product link(s).","Наведите линкове до производа."
"Sample file not provided","Није унешен пример датотеке"
"Provided sample information is invalid.","Провидед сампле информатион ис неисправан."
"Invalid sample type.","Неисправан сампле тyпе."
"Sample title cannot be empty.","Сампле титле не може бе емптy."
"There is no downloadable sample with provided ID.","There is no downloadable sample with provided ID."
"Provided downloadable sample is not related to given product.","Provided downloadable sample is not related to given product."
"Cannot delete sample with id %1","Не може делете сампле wитх ид %1"
"Yes","Да"
"No","Не"
"Use config","Користи конфигурацију"
"Upload File","Пошаљи датотеку"
"URL","URL"
"attachment","прилог"
"inline","у реду"
"Pending","На чекању"
"Invoiced","Фактура"
"To enable the option set the weight to no","Да омогућите ову опцију подесите тежину на не"
"Is this downloadable Product?","Да ли је ово преузимљиви Производ?"
"Links","Линкови"
"Title","Наслов"
"Links can be purchased separately","Линкови се засебно могу купити"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'."
"Add Link","Додај Линк"
"Price","Цена"
"File","Датотека"
"Sample","Примерак"
"Shareable","Дељиво"
"Max. Downloads","Маx. Преузетих"
"Samples","Узорци"
"Use Default Value","Користите подразумеване вредности"
"sample","узорак"
"Is this a downloadable Product?","Да ли је ово преузимљиви Производ?"
"Add links to your product files here.","Додајте линкове до фајлова својих производа овде."
"[STORE VIEW]","[ПРИКАЗ ПРОДАВНИЦЕ]"
"[GLOBAL]","[GLOBAL]"
"Sort Order","Редослед поруџбина"
"Attach File or Enter Link","Прикачи Фајл или Унеси Линк"
"Sort Variations","Сортирање Варијација"
"Browse Files...","Преглед датотека..."
"Delete","Обрисати"
"Add product preview files here.","Додај преглед фајла овде."
"SKU","Шифра"
"U","U"
"Select all","Изабери све"
"Unselect all","Поништи све"
"Availability","Доступност"
"In stock","На стању"
"Out of stock","Нема на лагеру"
"Go to <a href=""%1"">My Downloadable Products</a>","Иди на <а хреф=""%1"">Моји Преузимљиви Производи</а>"
"Downloadable Products","Преузимљиви Производи"
"Order #","Поруџбина #"
"Date","Датум"
"Status","Статус"
"Remaining Downloads","Преостала Преузимања"
"View Order","Прегледај поруџбину"
"Start Download","Започни Преузимање"
"You have not purchased any downloadable products yet.","Нисте купили ни један преузимљиви производ до сада."
"Back","Назад"
"download","преузимање"
"Gift Message","Поклон порука"
"From:","Од:"
"To:","За:"
"Message:","Порука:"
"Product Name","Назив производа"
"Qty","Кол"
"Subtotal","Међузбир"
"Discount Amount","Износ попуста"
"Row Total","Ред укупно"
"Qty Invoiced","Фактурисана кол."
"Ordered","Порућено"
"Shipped","Испоручено"
"Canceled","Отказано"
"Refunded","Повраћен новац"
"We could not detect a size.","Нисмо могли открити величину."
"Downloadable Product Section","Сектор Преузимљивих Производа"
"Downloads","Преузимања"
"Downloadable Product Options","Опције Преузимљивих Производа"
"Order Item Status to Enable Downloads","Статус ставке наруџбе за омогуц́авање преузимања"
"Default Maximum Number of Downloads","Подразумевани Максимални Број Преузимања"
"Default Sample Title","Подразумевани Наслов Узорка"
"Default Link Title","Подразумевани Линк Наслова"
"Open Links in New Window","Отвори Линкове у Новом Прозору"
"Use Content-Disposition","Користите Садржај-Диспозицију"
"Disable Guest Checkout if Cart Contains Downloadable Items","Онемогући Плаћање Госту ако Корпа Садржи Преузимљиве Производе"
"Guest checkout will only work with shareable.","Плаћање ће госту бити омогућено са дељивим."
"Product type of the product must be 'downloadable'.","Производ тyпе оф тхе продуцт муст бе 'доwнлоадабле'."
"The product needs to be the downloadable type. Verify the product and try again.","Производ треба бити за преузимање. Проверите производ и покушајте поново."
"The link information is invalid. Verify the link and try again.","Неисправни подаци линка. Проверите линк и покушајте поново."
"The link type is invalid. Verify and try again.","Тип везе је неважећи. Проверите и покушајте поново."
"The link title is empty. Enter the link title and try again.","Наслов везе је празан. Унесите наслов везе и покушајте поново."
"No downloadable link with the provided ID was found. Verify the ID and try again.","Унети ИД не садржи линк за преузимање. Проверите ИД и покушајте поново."
"The downloadable link isn't related to the product. Verify the link and try again.","Линк за преузимање није повезан са производом. Проверите линк и покушајте поново."
"The link with ""%1"" ID can't be deleted.","Линк који садржи %1 ИД не може бити обрисан."
"The sample information is invalid. Verify the information and try again.","Подаци примера нису важећи. Проверите податке и покушајте поново."
"The sample type is invalid. Verify the sample type and try again.","Тип узорка је неисправан. Проверите тип узорка и покушајте поново."
"The sample title is empty. Enter the title and try again.","Наслов везе је празан. Унесите наслов везе и покушајте поново."
"No downloadable sample with the provided ID was found. Verify the ID and try again.","Није пронађен узорак са датом идентификацијом, Проверите ИД и покушајте поново."
"The downloadable sample isn't related to the product. Verify the link and try again.","Узорак за преузимање није повезан са производом. Проверите линк и покушајте поново."
