"Downloadable Information","Letölthető információk"
"Add New Link","Új hivatkozás hozzáadása"
"Upload Files","Fájlok feltöltése"
"All Files","Minden fájl"
"Unlimited","Korlátlan"
"Something went wrong while getting the requested content.","Hiba történt a tartalom lekérése közben."
"My Downloadable Products","Letölthető termékek"
"We can't find the link you requested.","A kért link nem található."
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","Kérjük, jelentkezzen be terméke letöltéséhez, vagy vásároljon <a href=""%1"">%2</a>!"
"Please sign in to download your product.","Kérjük, jelentkezzen be terméke letöltéséhez!"
"The link has expired.","A hivatkozás érvényességi ideje lejárt!"
"The link is not available.","A hivatkozás nem elérhető!"
"Sorry, there was an error getting requested content. Please contact the store owner.","Sajnáljuk, de hiba történt a tartalom lekérése közben! Kérjük, lépjen kapcsolatba a bolt tulajdonosával!"
"Please set resource file and link type.","Kérjük, állítsa be a forrásfájlt és a hivatkozás típusát!"
"Invalid download link type.","Érvénytelen letöltési hivatkozástípus!"
"Something went wrong while saving the file(s).","Hiba történt a fájl(ok) mentése során!"
"Provided content must be valid base64 encoded data.","A tartalom érvényes base64 kódolt adat kell legyen!"
"Provided file name contains forbidden characters.","A fájlnév tiltott karaktert tartalmaz!"
"Link file not provided","Nincs fájl megadva"
"Link price must have numeric positive value.","A link ára pozitív szám kell legyen!"
"Number of downloads must be a positive integer.","A letöltések száma pozitív egész szám kell legyen!"
"Sort order must be a positive integer.","A rendezési sorrend pozitív egész szám kell legyen!"
"Link URL must have valid format.","Az URL érvényes formátumú kell legyen!"
"Provided file content must be valid base64 encoded data.","A tartalom érvényes base64 kódolt adat kell legyen."
"Sample URL must have valid format.","A minta-URL érvényes formátumú kell legyen!"
"Order id cannot be null","A megrendelésazonosító nem lehet üres!"
"Order item id cannot be null","A tételazonosító nem lehet üres!"
"Provided product must be type 'downloadable'.","Provided product must be type 'downloadable'."
"Provided link information is invalid.","Provided link information is invalid."
"Invalid link type.","Invalid link type."
"Link title cannot be empty.","Link title cannot be empty."
"There is no downloadable link with provided ID.","There is no downloadable link with provided ID."
"Provided downloadable link is not related to given product.","Provided downloadable link is not related to given product."
"Cannot delete link with id %1","Cannot delete link with id %1"
"Please specify product link(s).","Kérjük, adja meg a termék(ek) hivatkozását!"
"Sample file not provided","Nincs mintafájl"
"Provided sample information is invalid.","Provided sample information is invalid."
"Invalid sample type.","Invalid sample type."
"Sample title cannot be empty.","Sample title cannot be empty."
"There is no downloadable sample with provided ID.","There is no downloadable sample with provided ID."
"Provided downloadable sample is not related to given product.","Provided downloadable sample is not related to given product."
"Cannot delete sample with id %1","Cannot delete sample with id %1"
"Yes","Igen"
"No","Nem "
"Use config","Használja a beállításokat"
"Upload File","Fájl feltöltése"
"URL","URL-cím"
"attachment","csatolmány"
"inline","beágyazás"
"Pending","Függő"
"Invoiced","Számlázott"
"To enable the option set the weight to no","A lehetőség engedélyezéséhez állítsa a súlyt nemre"
"Is this downloadable Product?","Letölthető e termék?"
"Links","Linkek"
"Title","Cím"
"Links can be purchased separately","A hivatkozások külön-külön is megvásárolhatók"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'."
"Add Link","Hivatkozás hozzáadása"
"Price","Ár"
"File","Fájl"
"Sample","Minta"
"Shareable","Megosztható"
"Max. Downloads","Max. letöltés"
"Samples","Minták"
"Use Default Value","Alapértelmezett érték használata"
"sample","minta"
"Is this a downloadable Product?","Is this a downloadable Product?"
"Add links to your product files here.","Itt adjon hivatkozásokat termékfájljaihoz!"
"[STORE VIEW]","[BOLT NÉZET]"
"[GLOBAL]","[GLOBAL]"
"Sort Order","Rendezési sorrend"
"Attach File or Enter Link","Fájl csatolása vagy link megadása"
"Sort Variations","Rendezés variációk"
"Browse Files...","Fájlok tallózása..."
"Delete","Törlés"
"Add product preview files here.","Termék előnézet fájl hozzáadása itt."
"SKU","Cikkszám"
"U","U"
"Select all","Összes kijelölése"
"Unselect all","Összes kijelölés megszüntetése"
"Availability","Elérhetőség"
"In stock","Raktáron"
"Out of stock","Nincs raktáron"
"Go to <a href=""%1"">My Downloadable Products</a>","Ugrás a <a href=""%1""> Letölthető termékeim</a>hez"
"Downloadable Products","Letölthető termékek"
"Order #","A rendelés száma"
"Date","Dátum"
"Status","Állapot"
"Remaining Downloads","Fennmaradó letöltések"
"View Order","Rendelés áttekintése"
