"Downloadable Information","Загружаемая информация"
"Add New Link","Добавить новую ссылку"
"Upload Files","Загрузить файлы"
"All Files","Все файлы"
"Unlimited","Неограничено"
"Something went wrong while getting the requested content.","Something went wrong while getting the requested content."
"My Downloadable Products","My Downloadable Products"
"We can't find the link you requested.","We can't find the link you requested."
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","Please sign in to download your product or purchase <a href=""%1"">%2</a>."
"Please sign in to download your product.","Please sign in to download your product."
"The link has expired.","The link has expired."
"The link is not available.","Ссылка не доступна."
"Sorry, there was an error getting requested content. Please contact the store owner.","Sorry, there was an error getting requested content. Please contact the store owner."
"Please set resource file and link type.","Please set resource file and link type."
"Invalid download link type.","Invalid download link type."
"Something went wrong while saving the file(s).","При сохранении файла(ов) произошла ошибка."
"Provided content must be valid base64 encoded data.","Provided content must be valid base64 encoded data."
"Provided file name contains forbidden characters.","Provided file name contains forbidden characters."
"Link file not provided","Link file not provided"
"Link price must have numeric positive value.","Link price must have numeric positive value."
"Number of downloads must be a positive integer.","Number of downloads must be a positive integer."
"Sort order must be a positive integer.","Sort order must be a positive integer."
"Link URL must have valid format.","Link URL must have valid format."
"Provided file content must be valid base64 encoded data.","Provided file content must be valid base64 encoded data."
"Sample URL must have valid format.","Sample URL must have valid format."
"Order id cannot be null","Order id cannot be null"
"Order item id cannot be null","Order item id cannot be null"
"Provided product must be type 'downloadable'.","Provided product must be type 'downloadable'."
"Provided link information is invalid.","Provided link information is invalid."
"Invalid link type.","Неверный тип ссылки."
"Link title cannot be empty.","Link title cannot be empty."
"There is no downloadable link with provided ID.","There is no downloadable link with provided ID."
"Provided downloadable link is not related to given product.","Provided downloadable link is not related to given product."
"Cannot delete link with id %1","Cannot delete link with id %1"
"Please specify product link(s).","Please specify product link(s)."
"Sample file not provided","Sample file not provided"
"Provided sample information is invalid.","Provided sample information is invalid."
"Invalid sample type.","Invalid sample type."
"Sample title cannot be empty.","Sample title cannot be empty."
"There is no downloadable sample with provided ID.","There is no downloadable sample with provided ID."
"Provided downloadable sample is not related to given product.","Provided downloadable sample is not related to given product."
"Cannot delete sample with id %1","Cannot delete sample with id %1"
"Yes","Да"
"No","Нет"
"Use config","Использование конфигурации"
"Upload File","Загрузить файл"
"URL","URL"
"attachment","вложение"
"inline","inline"
"Pending","Pending"
"Invoiced","Выставлен счет"
"To enable the option set the weight to no","To enable the option set the weight to no"
"Is this downloadable Product?","Is this downloadable Product?"
"Links","Ссылки"
"Title","Заголовок"
"Links can be purchased separately","Links can be purchased separately"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'."
"Add Link","Добавить ссылку"
"Price","Цена"
"File","Файл"
"Sample","Пример"
"Shareable","Shareable"
"Max. Downloads","Макс. Загрузки"
"Samples","Samples"
"Use Default Value","Использовать значение по умолчанию"
"sample","пример"
"Is this a downloadable Product?","Is this a downloadable Product?"
"Add links to your product files here.","Add links to your product files here."
"[STORE VIEW]","[Представление магазина]"
"[GLOBAL]","[ГЛОБАЛЬНО]"
"Sort Order","Порядок Сортировки"
"Attach File or Enter Link","Attach File or Enter Link"
"Sort Variations","Варианты сортировки"
"Browse Files...","Выбрать файлы..."
"Delete","Удалить"
"Add product preview files here.","Add product preview files here."
"SKU","Артикул"
"U","U"
"Select all","Выбрать все"
"Unselect all","Снять все выделения"
"Availability","Наличие"
"In stock","В наличии"
"Out of stock","Нет в наличии"
"Go to <a href=""%1"">My Downloadable Products</a>","Go to <a href=""%1"">My Downloadable Products</a>"
"Downloadable Products","Загружаемые продукты"
"Order #","Заказ #"
"Date","Дата"
"Status","Статус"
"Remaining Downloads","Оставшиеся загрузки"
"View Order","Просмотреть заказ"
"Start Download","Начать скачивание"
"You have not purchased any downloadable products yet.","Вы еще не приобрели любой загружаемый продукт."
"Back","Назад"
"download","скачать"
"Gift Message","Подарочное сообщение"
"From:","От:"
"To:","Кому:"
"Message:","Сообщение:"
"Product Name","Название товара"
"Qty","Кол-во"
"Subtotal","Промежуточный итог"
"Discount Amount","Сумма скидки"
"Row Total","Всего строк"
