"Downloadable Information","Downloadbare informatie"
"Add New Link","Nieuwe link toevoegen"
"Upload Files","Bestanden uploaden"
"All Files","Alle bestanden"
"Unlimited","Onbeperkt"
"Something went wrong while getting the requested content.","Er ging iets mis tijdens het opvragen van de inhoud."
"My Downloadable Products","Downloads"
"We can't find the link you requested.","Wij kunnen de link die u hebt aangevraagd niet vinden."
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","Log in om uw product te downloaden <a href=""%1"">%2</a>."
"Please sign in to download your product.","Log in om uw product te downloaden."
"The link has expired.","Deze link is verlopen"
"The link is not available.","Deze link is niet beschikbaar"
"Sorry, there was an error getting requested content. Please contact the store owner.","Er ging iets fout bij het ophalen van de gegevens, neem contact op met de shop eigenaar."
"Please set resource file and link type.","Voer bestand en type in"
"Invalid download link type.","Ongeldige download link type"
"Something went wrong while saving the file(s).","Er ging iets mis bij het opslaan van de bestanden."
"Provided content must be valid base64 encoded data.","Opgegeven inhoud moet geldige base64 gecodeerde data bevatten."
"Provided file name contains forbidden characters.","Opgegeven bestandsnaam bevat ongeldige tekens."
"Link file not provided","Link-bestand niet opgegeven"
"Link price must have numeric positive value.","Link prijs moet een numerieke positieve waarde hebben."
"Number of downloads must be a positive integer.","Aantal downloads moet een positief getal zijn."
"Sort order must be a positive integer.","Sorteervolgorde moet een positief getal zijn."
"Link URL must have valid format.","Link URL moet een geldig formaat hebben."
"Provided file content must be valid base64 encoded data.","Meegeleverde bestandsinhoud moet geldige base64-gecodeerde gegevens bevatten."
"Sample URL must have valid format.","Sample URL moet een geldig formaat hebben."
"Order id cannot be null","Bestelling-ID kan niet null zijn"
"Order item id cannot be null","Product-ID van bestelling kan niet null zijn"
"Provided product must be type 'downloadable'.","Provided product must be type 'downloadable'."
"Provided link information is invalid.","Provided link information is invalid."
"Invalid link type.","Invalid link type."
"Link title cannot be empty.","Link title cannot be empty."
"There is no downloadable link with provided ID.","There is no downloadable link with provided ID."
"Provided downloadable link is not related to given product.","Provided downloadable link is not related to given product."
"Cannot delete link with id %1","Cannot delete link with id %1"
"Please specify product link(s).","Geef productlink(s) op."
"Sample file not provided","Voorbeeld-bestand niet opgegeven"
"Provided sample information is invalid.","Provided sample information is invalid."
"Invalid sample type.","Invalid sample type."
"Sample title cannot be empty.","Sample title cannot be empty."
"There is no downloadable sample with provided ID.","There is no downloadable sample with provided ID."
"Provided downloadable sample is not related to given product.","Provided downloadable sample is not related to given product."
"Cannot delete sample with id %1","Cannot delete sample with id %1"
"Yes","Ja"
"No","Nee"
"Use config","Gebruik configuratie"
"Upload File","Bestand uploaden"
"URL","URL"
"attachment","bijlage"
"inline","inline"
"Pending","In afwachting"
"Invoiced","Gefactureerd"
"To enable the option set the weight to no","Om de optie in te schakelen, stel het gewicht in op nee"
"Is this downloadable Product?","Is dit een downloadbaar product?"
"Links","Links"
"Title","Titel"
"Links can be purchased separately","Links kunnen afzonderlijk worden gekocht"
