"Downloadable Information","Downloadinformation"
"To:","Bis:"
"Message:","Nachricht:"
"Product Name","Artikelname"
"Qty","Menge"
"Subtotal","Zwischensumme"
"Discount Amount","Rabattbetrag"
"Row Total","Pos. Zwischensumme"
"Qty Invoiced","Menge in Rechnung gestellt"
"Ordered","Bestellt"
"Shipped","Versandt"
"Canceled","Storniert"
"Refunded","Erstattet"
"We could not detect a size.","Wir konnten keine Größe erkennen."
"Downloadable Product Section","Abschnitt für Download-Produkte"
"Downloads","Downloads"
"Downloadable Product Options","Optionen für Download-Produkte"
"Order Item Status to Enable Downloads","Bestellstatus des Produkts, der Download ermöglicht"
"Default Maximum Number of Downloads","Standardmäßige maximale Anzahl von Downloads"
"Default Sample Title","Standard-Beispieltitel"
"Default Link Title","Standard-Linktitel"
"Open Links in New Window","Links in neuem Fenster öffnen"
"Use Content-Disposition","Bereitstellung der Inhalte"
"Disable Guest Checkout if Cart Contains Downloadable Items","Gastbestellung deaktivieren, wenn im Warenkorb Downloadprodukte sind"
"Guest checkout will only work with shareable.","Unabhängig von dieser Funktion, ist die Gastbestellung bei teilbaren Downloadprodukten nicht möglich."
"Product type of the product must be 'downloadable'.","Product type of the product must be 'downloadable'."
"The product needs to be the downloadable type. Verify the product and try again.","The product needs to be the downloadable type. Verify the product and try again."
"The link information is invalid. Verify the link and try again.","The link information is invalid. Verify the link and try again."
"The link type is invalid. Verify and try again.","The link type is invalid. Verify and try again."
"The link title is empty. Enter the link title and try again.","The link title is empty. Enter the link title and try again."
"No downloadable link with the provided ID was found. Verify the ID and try again.","No downloadable link with the provided ID was found. Verify the ID and try again."
"The downloadable link isn't related to the product. Verify the link and try again.","The downloadable link isn't related to the product. Verify the link and try again."
"The link with ""%1"" ID can't be deleted.","The link with ""%1"" ID can't be deleted."
"The sample information is invalid. Verify the information and try again.","The sample information is invalid. Verify the information and try again."
"The sample type is invalid. Verify the sample type and try again.","The sample type is invalid. Verify the sample type and try again."
"The sample title is empty. Enter the title and try again.","The sample title is empty. Enter the title and try again."
"No downloadable sample with the provided ID was found. Verify the ID and try again.","No downloadable sample with the provided ID was found. Verify the ID and try again."
"The downloadable sample isn't related to the product. Verify the link and try again.","The downloadable sample isn't related to the product. Verify the link and try again."
"The sample with ""%1"" ID can't be deleted.","The sample with ""%1"" ID can't be deleted."
