"Downloadable Information","Informasi Download"
"Add New Link","Tambahkan Tautan Baru"
"Upload Files","Unggah berkas"
"All Files","Semua data"
"Unlimited","Tak terbatas"
"Something went wrong while getting the requested content.","Ada yang tidak beres saat mendapatkan konten yang diminta."
"My Downloadable Products","Produk saya yang dapat di unduh"
"We can't find the link you requested.","Kami tidak dapat menemukan tautan yang Anda minta."
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","Silakan masuk untuk menunduh produk Anda atau membeli <ahref=""%1"">%2</a>."
"Please sign in to download your product.","Silahkan masuk untuk mendownload produk anda."
"The link has expired.","Tautan telah kedaluwarsa."
"The link is not available.","Tautan tidak tersedia."
"Sorry, there was an error getting requested content. Please contact the store owner.","Maaf, ada kesalahan saat meminta konten. Silahkan hubungi pemilik toko."
"Please set resource file and link type.","Silakan atur sumber daya file dan tipe link."
"Invalid download link type.","Jenis tautan unduhan tidak sah."
"Something went wrong while saving the file(s).","Ada yang tidak beres saat menyimpan berkas(s)."
"Provided content must be valid base64 encoded data.","Asalkan konten base64 harus dikodekan data."
"Provided file name contains forbidden characters.","Nama berkas yang disediakan mengandung karakter terlarang."
"Link file not provided","Tautan file tidak tersedia"
"Link price must have numeric positive value.","Harga tautan harus memiliki nilai positif numerik."
"Number of downloads must be a positive integer.","Jumlah unduh harus berupa bilangan bulat positif."
"Sort order must be a positive integer.","Pengurutan harus berupa bilangan bulat positif."
"Link URL must have valid format.","URL tautan harus memiliki format yang valid."
"Provided file content must be valid base64 encoded data.","Asalkan isi file data base64 harus dikodekan."
"Sample URL must have valid format.","Contoh URL harus memiliki format yang valid."
"Order id cannot be null","Memesan id tidak bisa null"
"Order item id cannot be null","Id item pesanan tidak boleh batal"
"Provided product must be type 'downloadable'.","Provided product must be type 'downloadable'."
"Provided link information is invalid.","Provided link information is invalid."
"Invalid link type.","Invalid link type."
"Link title cannot be empty.","Link title cannot be empty."
"There is no downloadable link with provided ID.","There is no downloadable link with provided ID."
"Provided downloadable link is not related to given product.","Provided downloadable link is not related to given product."
"Cannot delete link with id %1","Cannot delete link with id %1"
"Please specify product link(s).","Silakan tentukan tautan produk."
"Sample file not provided","Contoh berkas tidak tersedia"
"Provided sample information is invalid.","Provided sample information is invalid."
"Invalid sample type.","Invalid sample type."
"Sample title cannot be empty.","Sample title cannot be empty."
"There is no downloadable sample with provided ID.","There is no downloadable sample with provided ID."
