"Downloadable Information","다운로드 정보"
"Add New Link","신규 링크 추가"
"Upload Files","파일 업로드"
"All Files","모든 파일"
"Unlimited","무제한"
"Something went wrong while getting the requested content.","요청한 컨텐츠를 받아오는중 문제가 발생했습니다."
"My Downloadable Products","다운로드 상품"
"We can't find the link you requested.","요청하신 링크를 찾을 수 없습니다."
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","상품을 다운로드 받거나 구입하기 위해 로그인하세요. <a href=""%1"">
 %2</a>
 ."
"Please sign in to download your product.","제품을 다운로드 하시려면 로그인 하세요."
"The link has expired.","이 링크는 만료 되었습니다."
"The link is not available.","이 링크는 유효하지 않습니다."
"Sorry, there was an error getting requested content. Please contact the store owner.","죄송합니다, 요청한 컨텐츠를 받아오는중 문제가 발생했습니다. 관리자에게 문의하십시오."
"Please set resource file and link type.","리소스 파일과 링크 타입을 지정하십시오."
"Invalid download link type.","잘못된 다운로드 링크 타입 입니다."
"Something went wrong while saving the file(s).","파일 저장중 문제가 발생했습니다."
"Provided content must be valid base64 encoded data.","제공되는 데이터는 반드시 base64 인코딩이어야 합니다."
"Provided file name contains forbidden characters.","제공된 파일 이름에 금지 된 문자가 포함되어 있습니다."
"Link file not provided","링크 파일이 제공되지 않았습니다."
"Link price must have numeric positive value.","링크 가격은 반드시 0보다 큰 숫자여야 합니다."
"Number of downloads must be a positive integer.","다운로스 휫수는 0보다 큰 정수여야 합니다."
"Sort order must be a positive integer.","정렬 기준은 반드시 0보다 큰 정수여야 합니다."
"Link URL must have valid format.","링크 URL은 올바른 포맷이어야 합니다."
"Provided file content must be valid base64 encoded data.","제공되는 파일은 반드시 base64 인코딩이어야 합니다."
"Sample URL must have valid format.","샘플 URL은 반드시 올바른 형식이어야 합니다."
"Order id cannot be null","주문 ID는 null 일 수 없습니다."
"Order item id cannot be null","주문 품목 ID는 null 일 수 없습니다."
"Provided product must be type 'downloadable'.","Provided product must be type 'downloadable'."
"Provided link information is invalid.","Provided link information is invalid."
"Invalid link type.","Invalid link type."
"Link title cannot be empty.","Link title cannot be empty."
"There is no downloadable link with provided ID.","There is no downloadable link with provided ID."
"Provided downloadable link is not related to given product.","Provided downloadable link is not related to given product."
"Cannot delete link with id %1","Cannot delete link with id %1"
"Please specify product link(s).","상품 링크를 지정하십시오."
