"Downloadable Information","معلومات التحميل"
"Add New Link","إضافة رابط جديد"
"Upload Files","تحميل الملف"
"All Files","كل الملفات"
"Unlimited","غير محدود"
"Something went wrong while getting the requested content.","حدث خطأ أثناء الحصول على المحتوى المطلوب."
"My Downloadable Products","ملفات التحميل"
"We can't find the link you requested.","لا يمكن أن نجد الارتباط المطلوب."
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","يرجى تسجيل الدخول لتنزيل المنتج الخاص بك أو الشراء <a href=""%1"">%2</a>."
"Please sign in to download your product.","يرجى تسجيل الدخول لتنزيل المنتج الخاص بك."
"The link has expired.","انتهت صلاحية الرابط."
"The link is not available.","الرابط غير محتاح."
"Sorry, there was an error getting requested content. Please contact the store owner.","Sorry, there was an error getting requested content. Please contact the store owner."
"Please set resource file and link type.","Please set resource file and link type."
"Invalid download link type.","Invalid download link type."
"Something went wrong while saving the file(s).","حدث خطأ أثناء حفظ الملفات."
"Provided content must be valid base64 encoded data.","Provided content must be valid base64 encoded data."
"Provided file name contains forbidden characters.","Provided file name contains forbidden characters."
"Link file not provided","Link file not provided"
"Link price must have numeric positive value.","Link price must have numeric positive value."
"Number of downloads must be a positive integer.","عدد مرات التحميل يجب أن يكون عددا صحيحاً موجباً."
"Sort order must be a positive integer.","Sort order must be a positive integer."
"Link URL must have valid format.","Link URL must have valid format."
"Provided file content must be valid base64 encoded data.","Provided file content must be valid base64 encoded data."
"Sample URL must have valid format.","Sample URL must have valid format."
"Order id cannot be null","Order id cannot be null"
"Order item id cannot be null","Order item id cannot be null"
"Provided product must be type 'downloadable'.","Provided product must be type 'downloadable'."
"Provided link information is invalid.","Provided link information is invalid."
"Invalid link type.","Invalid link type."
"Link title cannot be empty.","Link title cannot be empty."
"There is no downloadable link with provided ID.","There is no downloadable link with provided ID."
"Provided downloadable link is not related to given product.","Provided downloadable link is not related to given product."
"Cannot delete link with id %1","Cannot delete link with id %1"
"Please specify product link(s).","Please specify product link(s)."
"Sample file not provided","Sample file not provided"
"Provided sample information is invalid.","Provided sample information is invalid."
"Invalid sample type.","Invalid sample type."
"Sample title cannot be empty.","Sample title cannot be empty."
"There is no downloadable sample with provided ID.","There is no downloadable sample with provided ID."
"Provided downloadable sample is not related to given product.","Provided downloadable sample is not related to given product."
"Cannot delete sample with id %1","Cannot delete sample with id %1"
"Yes","نعم"
"No","لا"
"Use config","استخدام التكوين"
"Upload File","رفع ملف"
"URL","الرابط"
"attachment","attachment"
"inline","inline"
"Pending","في إنتظار المُراجعة"
"Invoiced","فاتورة"
"To enable the option set the weight to no","To enable the option set the weight to no"
"Is this downloadable Product?","هل هذا منتج قابل للتحميل؟"
"Links","Links"
"Title","العنوان"
"Links can be purchased separately","Links can be purchased separately"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","أبجدية، - و ـ ينصح بها لأسماء الملفات. يتم استبدال الأحرف الغير لائقة بـ '_'."
"Add Link","Add Link"
"Price","السعر"
"File","ملف"
"Sample","عينة"
"Shareable","Shareable"
"Max. Downloads","Max. Downloads"
"Samples","Samples"
"Use Default Value","استخدام قيمة افتراضية"
"sample","sample"
"Is this a downloadable Product?","Is this a downloadable Product?"
"Add links to your product files here.","Add links to your product files here."
"[STORE VIEW]","[عرض المتجر]"
"[GLOBAL]","[عام]"
"Sort Order","الترتيب"
"Attach File or Enter Link","Attach File or Enter Link"
"Sort Variations","فرز المتغيرات"
"Browse Files...","استعراض ملفات..."
"Delete","احذف"
"Add product preview files here.","Add product preview files here."
"SKU","رمز المنتج"
"U","U"
"Select all","إختيار الكل"
"Unselect all","Unselect all"
"Availability","التوفر"
"In stock","متوفر"
"Out of stock","غير متوفر بالمخزن"
"Go to <a href=""%1"">My Downloadable Products</a>","Go to <a href=""%1"">My Downloadable Products</a>"
"Downloadable Products","Downloadable Products"
"Order #","رقم الطلب"
"Date","التاريخ"
"Status","الحاله"
"Remaining Downloads","Remaining Downloads"
"View Order","تفاصيل الطلب"
"Start Download","Start Download"
"You have not purchased any downloadable products yet.","أنت لم تشترى اى منتج قابل للتحميل"
"Back","رجوع"
"download","download"
"Gift Message","رسالة الاهداء"
"From:","من:"
"To:","إلى:"
"Message:","الرسالة:"
"Product Name","اسم المنتج"
"Qty","الكميّة"
"Subtotal","الإجمالي"
"Discount Amount","تخفيض الكمية"
"Row Total","مجموع الصف"
"Qty Invoiced","الكمية المفوترة"
"Ordered","تم الطلب"
"Shipped","تم الشحن"
"Canceled","تم الإلغاء"
"Refunded","اعادة ايجاد"
"We could not detect a size.","تعذر الكشف عن الحجم."
"Downloadable Product Section","Downloadable Product Section"
"Downloads","التحميلات"
"Downloadable Product Options","Downloadable Product Options"
"Order Item Status to Enable Downloads","Order Item Status to Enable Downloads"
"Default Maximum Number of Downloads","Default Maximum Number of Downloads"
"Default Sample Title","Default Sample Title"
"Default Link Title","Default Link Title"
"Open Links in New Window","Open Links in New Window"
"Use Content-Disposition","Use Content-Disposition"
"Disable Guest Checkout if Cart Contains Downloadable Items","Disable Guest Checkout if Cart Contains Downloadable Items"
"Guest checkout will only work with shareable.","Guest checkout will only work with shareable."
"Product type of the product must be 'downloadable'.","Product type of the product must be 'downloadable'."
"The product needs to be the downloadable type. Verify the product and try again.","The product needs to be the downloadable type. Verify the product and try again."
"The link information is invalid. Verify the link and try again.","The link information is invalid. Verify the link and try again."
"The link type is invalid. Verify and try again.","The link type is invalid. Verify and try again."
"The link title is empty. Enter the link title and try again.","The link title is empty. Enter the link title and try again."
"No downloadable link with the provided ID was found. Verify the ID and try again.","No downloadable link with the provided ID was found. Verify the ID and try again."
