"Downloadable Information","Downloadinformation"
"The product needs to be the downloadable type. Verify the product and try again.","Das Produkt muss vom Typ Download sein. Überprüfen Sie das Produkt und versuchen Sie es erneut."
"The link information is invalid. Verify the link and try again.","Die Linkinformation ist ungültig. Überprüfen Sie den Link und versuchen Sie es erneut."
"The link type is invalid. Verify and try again.","Der Linktyp ist ungültig. Überprüfen Sie ihn und versuchen Sie es erneut."
"The link title is empty. Enter the link title and try again.","Der Linktitel ist leer. Geben Sie den Linktitel ein und versuchen Sie es erneut."
"No downloadable link with the provided ID was found. Verify the ID and try again.","Kein herunterladbarer Link mit der angegebenen ID gefunden. Überprüfen Sie die ID und versuchen Sie es erneut."
"The downloadable link isn't related to the product. Verify the link and try again.","Der Download-Link ist nicht mit dem Produkt verbunden. Überprüfen Sie den Link und versuchen Sie es erneut."
"The link with ""%1"" ID can't be deleted.","Der Link mit der ID ""%1"" kann nicht gelöscht werden."
"The sample information is invalid. Verify the information and try again.","Die Beispiel-Information ist ungültig. Überprüfen Sie die Information und versuchen Sie es erneut."
"The sample type is invalid. Verify the sample type and try again.","Der Beispiel-Typ ist ungültig. Überprüfen Sie den Typ und versuchen Sie es erneut."
"The sample title is empty. Enter the title and try again.","Der Beispiel-Titel ist leer. Geben Sie den Beispiel-Titel ein und versuchen Sie es erneut."
"No downloadable sample with the provided ID was found. Verify the ID and try again.","Kein herunterladbares Beispiel mit der angegebenen ID gefunden. Überprüfen Sie die ID und versuchen Sie es erneut."
"The downloadable sample isn't related to the product. Verify the link and try again.","Das herunterladbare Beispiel ist nicht mit dem Produkt verbunden. Überprüfen Sie den Link und versuchen Sie es erneut."
"The sample with ""%1"" ID can't be deleted.","Das Beispiel mit der ID ""%1"" konnte nicht gelöscht werden."
