"Downloadable Information","Nedladdningsbar Information"
"Add New Link","Lägg till Ny Länk"
"Upload Files","Ladda upp Filer"
"All Files","Alla filer"
"Unlimited","Obegränsat"
"Something went wrong while getting the requested content.","Något gick fel medan det begärda innehållet hämtades."
"My Downloadable Products","Min nedladdningsbara produkter"
"We can't find the link you requested.","Vi kan inte hitta länken du begärt."
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","Logga in att ladda ner din produkt eller köpa <a href=""%1"">%2</a>."
"Please sign in to download your product.","Logga in för att hämta din produkt."
"The link has expired.","Länken har upphört att gälla."
"The link is not available.","Länken är inte tillgänglig."
"Sorry, there was an error getting requested content. Please contact the store owner.","Tyvärr, gick det inte att få begärda innehållet. Vänligen kontakta butiksägaren."
"Please set resource file and link type.","Vänligen ange resursfil och länktyp."
"Invalid download link type.","Ogiltig länk för nedladdning."
"Something went wrong while saving the file(s).","Något gick fel när fil(erna) sparades."
"Provided content must be valid base64 encoded data.","Medföljande innehåll måste vara giltig base64-kodad data."
"Provided file name contains forbidden characters.","Filnamnet innehåller ogiltiga tecken."
"Link file not provided","Länkfil ej tillhandahållen"
"Link price must have numeric positive value.","Länkpris måste ha numeriska positivt värdem."
"Number of downloads must be a positive integer.","Antalet nedladdningar måste vara ett positivt heltal."
"Sort order must be a positive integer.","Sorteringsordning måste vara ett positivt heltal."
"Link URL must have valid format.","Länk-URL måste ha ett giltigt format."
"Provided file content must be valid base64 encoded data.","Medföljande innehåll måste vara giltig base64-kodad data."
"Sample URL must have valid format.","Länk-URL måste ha ett giltigt format."
"Order id cannot be null","Order-id får inte vara null"
"Order item id cannot be null","Order-id får inte vara null"
"Provided product must be type 'downloadable'.","Provided product must be type 'downloadable'."
"Provided link information is invalid.","Provided link information is invalid."
"Invalid link type.","Invalid link type."
"Link title cannot be empty.","Link title cannot be empty."
"There is no downloadable link with provided ID.","There is no downloadable link with provided ID."
"Provided downloadable link is not related to given product.","Provided downloadable link is not related to given product."
"Cannot delete link with id %1","Cannot delete link with id %1"
"Please specify product link(s).","Please specify product link(s)."
"Sample file not provided","Sample file not provided"
"Provided sample information is invalid.","Provided sample information is invalid."
"Invalid sample type.","Invalid sample type."
"Sample title cannot be empty.","Sample title cannot be empty."
"There is no downloadable sample with provided ID.","There is no downloadable sample with provided ID."
"Provided downloadable sample is not related to given product.","Provided downloadable sample is not related to given product."
"Cannot delete sample with id %1","Cannot delete sample with id %1"
"Yes","Ja"
"No","Nej"
"Use config","Använda inställningar"
"Upload File","Ladda upp fil"
"URL","Webbadress"
"attachment","attachment"
"inline","inline"
"Pending","Väntar"
"Invoiced","Fakturerad"
"To enable the option set the weight to no","To enable the option set the weight to no"
"Is this downloadable Product?","Is this downloadable Product?"
"Links","Länkar"
"Title","Titel"
"Links can be purchased separately","Links can be purchased separately"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'."
"Add Link","Lägg till länk"
"Price","Pris"
"File","Fil"
"Sample","Sample"
"Shareable","Shareable"
"Max. Downloads","Max. Downloads"
"Samples","Samples"
"Use Default Value","Använd standardvärde"
"sample","sample"
"Is this a downloadable Product?","Is this a downloadable Product?"
"Add links to your product files here.","Add links to your product files here."
"[STORE VIEW]","[BUTIKSVY]"
"[GLOBAL]","[GLOBALT]"
"Sort Order","Sorteringsordning"
"Attach File or Enter Link","Attach File or Enter Link"
"Sort Variations","Sortera variationer"
"Browse Files...","Bläddra..."
"Delete","Ta bort"
"Add product preview files here.","Add product preview files here."
"SKU","Art.nr"
"U","U"
"Select all","Markera alla"
"Unselect all","Unselect all"
"Availability","Tillgänglighet"
"In stock","I lager"
"Out of stock","Ej i lager"
"Go to <a href=""%1"">My Downloadable Products</a>","Gå till <a href=""%1""> Mina Nedladdningsbara Produkter</a>"
"Downloadable Products","Downloadable Products"
"Order #","Beställning #"
"Date","Datum"
"Status","Status"
"Remaining Downloads","Remaining Downloads"
"View Order","Visa beställning"
"Start Download","Start Download"
"You have not purchased any downloadable products yet.","Du har inte köpt några nedladdningsbara produkter ännu."
"Back","Tillbaka"
"download","download"
"Gift Message","Presentmeddelande"
"From:","Från:"
"To:","Till:"
"Message:","Meddelande:"
"Product Name","Produktnamn"
"Qty","Antal"
"Subtotal","Delsumma"
"Discount Amount","Rabattbelopp"
"Row Total","Radsumma"
"Qty Invoiced","Antal fakturerade"
"Ordered","Beställd"
"Shipped","Skickad"
"Canceled","Avbruten"
"Refunded","Återbetald"
"We could not detect a size.","Vi kunde inte hitta en storlek."
"Downloadable Product Section","Downloadable Product Section"
"Downloads","Nerladdningar"
"Downloadable Product Options","Downloadable Product Options"
"Order Item Status to Enable Downloads","Order Item Status to Enable Downloads"
"Default Maximum Number of Downloads","Default Maximum Number of Downloads"
"Default Sample Title","Default Sample Title"
"Default Link Title","Default Link Title"
"Open Links in New Window","Open Links in New Window"
"Use Content-Disposition","Use Content-Disposition"
"Disable Guest Checkout if Cart Contains Downloadable Items","Disable Guest Checkout if Cart Contains Downloadable Items"
"Guest checkout will only work with shareable.","Guest checkout will only work with shareable."
"Product type of the product must be 'downloadable'.","Product type of the product must be 'downloadable'."
"The product needs to be the downloadable type. Verify the product and try again.","The product needs to be the downloadable type. Verify the product and try again."
"The link information is invalid. Verify the link and try again.","The link information is invalid. Verify the link and try again."
"The link type is invalid. Verify and try again.","The link type is invalid. Verify and try again."
"The link title is empty. Enter the link title and try again.","The link title is empty. Enter the link title and try again."
