"Downloadable Information","İndirilebilir Ürün Bilgisi"
"Add New Link","Yeni bağlantı ekle"
"Upload Files","Dosya Yükle"
"All Files","Tüm dosyalar"
"Unlimited","Sınırsız"
"Something went wrong while getting the requested content.","İstenen içerik alınırken bir şeyler ters gitti."
"My Downloadable Products","İndirilebilir Ürünlerim"
"We can't find the link you requested.","İstediğiniz bağlantıyı bulamıyoruz."
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","Ürününüzü indirmek veya <a href=""%1"">%2</a> ürününü satın almak için lütfen giriş yapın."
"Please sign in to download your product.","Ürününüzü indirmek için lütfen giriş yapın."
"The link has expired.","Bağlantının kullanım süresi doldu."
"The link is not available.","Bağlantı uygun değildir."
"Sorry, there was an error getting requested content. Please contact the store owner.","Üzgünüz, ulaşmaya çalıştığınız içeriğe ulaşılamıyor. Lütfen site yönetimi ile irtibata geçiniz."
"Please set resource file and link type.","Lütfen kaynak dosya ve bağlantı tipini ayarlayınız."
"Invalid download link type.","Dosya indirme bağlantısında hatalı adres tipi."
"Something went wrong while saving the file(s).","Dosya(lar) kaydedilirken bir şeyler ters gitti."
"Provided content must be valid base64 encoded data.","Sağlanan içerik geçerli base64 kodlanmış veri olmalıdır."
"Provided file name contains forbidden characters.","Sağlanan dosya adı yasak karakterler içeriyor."
"Link file not provided","Bağlantı dosyası sağlanmadı"
"Link price must have numeric positive value.","Bağlantı fiyatı, sayısal pozitif bir değere sahip olmalıdır."
"Number of downloads must be a positive integer.","İndirme sayısı pozitif bir tamsayı olmalıdır."
"Sort order must be a positive integer.","Seçim düzeni pozitif bir tam sayı olmalıdır."
"Link URL must have valid format.","Bağlantı URL'si geçerli bir biçimde olmalıdır."
"Provided file content must be valid base64 encoded data.","Sağlanan dosya içeriği geçerli base64 kodlanmış veri olmalıdır."
"Sample URL must have valid format.","Örnek URL geçerli bir biçimde olmalıdır."
"Order id cannot be null","Sipariş no alanı boş olmamalıdır"
"Order item id cannot be null","Sipariş satır numarası boş olmamalıdır"
"Provided product must be type 'downloadable'.","Sağlanan ürün 'indirilebilir' olmalıdır."
"Provided link information is invalid.","Sağlanan bağlantı bilgileri geçerli değil."
"Invalid link type.","Geçersiz bağlantı türü."
"Link title cannot be empty.","Bağlantı başlığı boş olamaz."
"There is no downloadable link with provided ID.","Varolan kimlik ile indirelibilir kimlik yoktur."
"Provided downloadable link is not related to given product.","Sağlanan indirilebilir link ürün ile ilişkili değildir."
"Cannot delete link with id %1","% 1 kimliği olan bağlantı silinemiyor"
"Please specify product link(s).","Lütfen ürün linklerini belirleyiniz."
"Sample file not provided","Örnek dosya sağlanmadı"
"Provided sample information is invalid.","Sağlanan örnek bilgiler geçerli değil."
"Invalid sample type.","Geçersiz örnek türü."
"Sample title cannot be empty.","Örnek başlık boş olamaz."
