"Downloadable Information","Ladattavat tiedot"
"Add New Link","Lisää uusi linkki"
"Upload Files","Lähetä tiedostoja"
"All Files","Kaikki tiedostot"
"Unlimited","Rajaton"
"Upload type can not be determined.","Upload type can not be determined."
"File can not be moved from temporary folder to the destination folder.","File can not be moved from temporary folder to the destination folder."
"Something went wrong while getting the requested content.","Tapahtui virhe noudettaessa pyydettyä sisältöä."
"My Downloadable Products","Omat ladattavat tuotteeni"
"We can't find the link you requested.","Pyydettyä linkkiä ei löydy."
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","Please sign in to download your product or purchase <a href=""%1"">%2</a>."
"Please sign in to download your product.","Kirjaudu sisään tuotteen lataamiseksi."
"The link has expired.","Linkki on vanhentunut."
"The link is not available.","The link is not available."
"Sorry, there was an error getting requested content. Please contact the store owner.","Sorry, there was an error getting requested content. Please contact the store owner."
"Please set resource file and link type.","Please set resource file and link type."
"Invalid download link type.","Virheellinen latauslinkin tyyppi."
"Something went wrong while saving the file(s).","Tapahtui virhe tiedostoa tallennettaessa."
"Provided content must be valid base64 encoded data.","Provided content must be valid base64 encoded data."
"Provided file name contains forbidden characters.","Provided file name contains forbidden characters."
"Link file not provided","Link file not provided"
"Link price must have numeric positive value.","Link price must have numeric positive value."
"Number of downloads must be a positive integer.","Number of downloads must be a positive integer."
"Sort order must be a positive integer.","Sort order must be a positive integer."
"Link URL must have valid format.","Link URL must have valid format."
"Link URL's domain is not in list of downloadable_domains in env.php.","Link URL's domain is not in list of downloadable_domains in env.php."
"Provided file content must be valid base64 encoded data.","Provided file content must be valid base64 encoded data."
"Link file not found. Please try again.","Link file not found. Please try again."
"Sample URL must have valid format.","Sample URL must have valid format."
"Sample URL's domain is not in list of downloadable_domains in env.php.","Sample URL's domain is not in list of downloadable_domains in env.php."
"Link sample file not found. Please try again.","Link sample file not found. Please try again."
"Order id cannot be null","Tilausnumero ei voi olla tyhjä"
"Order item id cannot be null","Order item id cannot be null"
"The product needs to be the downloadable type. Verify the product and try again.","The product needs to be the downloadable type. Verify the product and try again."
"The link information is invalid. Verify the link and try again.","The link information is invalid. Verify the link and try again."
"The link title is empty. Enter the link title and try again.","The link title is empty. Enter the link title and try again."
"No downloadable link with the provided ID was found. Verify the ID and try again.","No downloadable link with the provided ID was found. Verify the ID and try again."
"The downloadable link isn't related to the product. Verify the link and try again.","The downloadable link isn't related to the product. Verify the link and try again."
"The link with ""%1"" ID can't be deleted.","The link with ""%1"" ID can't be deleted."
"The link type is invalid. Verify and try again.","The link type is invalid. Verify and try again."
"The link sample type is invalid. Verify and try again.","The link sample type is invalid. Verify and try again."
"Please specify product link(s).","Please specify product link(s)."
"Sample file not provided","Sample file not provided"
"Sample file not found. Please try again.","Sample file not found. Please try again."
"The sample information is invalid. Verify the information and try again.","The sample information is invalid. Verify the information and try again."
"The sample title is empty. Enter the title and try again.","The sample title is empty. Enter the title and try again."
"No downloadable sample with the provided ID was found. Verify the ID and try again.","No downloadable sample with the provided ID was found. Verify the ID and try again."
"The downloadable sample isn't related to the product. Verify the link and try again.","The downloadable sample isn't related to the product. Verify the link and try again."
"The sample with ""%1"" ID can't be deleted.","The sample with ""%1"" ID can't be deleted."
"The sample type is invalid. Verify the sample type and try again.","The sample type is invalid. Verify the sample type and try again."
"Yes","Kyllä"
"No","Ei"
"Use config","Käytä kokoonpanon asetuksia"
"Upload File","Lähetä tiedosto"
"URL","Osoite"
"attachment","liite"
"inline","inline"
"Pending","Odottaa"
"Invoiced","Laskutettu"
"To enable the option set the weight to no","To enable the option set the weight to no"
"Is this downloadable Product?","Is this downloadable Product?"
"Links","Linkit"
"Title","Otsikko"
"Links can be purchased separately","Links can be purchased separately"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'."
"Add Link","Add Link"
"Price","Hinta"
"File","Tiedosto"
"Sample","Sample"
"Shareable","Shareable"
"Max. Downloads","Max. Downloads"
"Samples","Samples"
"Use Default Value","Käytä oletusarvoa"
"sample","sample"
"Is this a downloadable Product?","Is this a downloadable Product?"
"Add links to your product files here.","Add links to your product files here."
"[STORE VIEW]","[KAUPPANÄKYMÄ]"
"[GLOBAL]","[GLOBAALI]"
"Sort Order","Lajittelujärjestys"
"Attach File or Enter Link","Attach File or Enter Link"
"Sort Variations","Sort Variations"
"Browse Files...","Selaa tiedostoja..."
"Delete","Poista"
"Add product preview files here.","Add product preview files here."
"SKU","Tuotenro"
"U","U"
"Select all","Valitse kaikki"
"Unselect all","Unselect all"
"Availability","Saatavuus"
"In stock","Varastossa"
"Out of stock","Ei varastossa"
"Go to <a href=""%1"">My Downloadable Products</a>","Siirry <a href=""%1"">Omiin ladattaviin tuotteisiini</a>"
"Downloadable Products","Downloadable Products"
"Order #","Tilausnumero"
"Date","Päivämäärä"
"Status","Tila"
"Remaining Downloads","Remaining Downloads"
"View Order","Katso tilaus"
"Start Download","Start Download"
"You have not purchased any downloadable products yet.","Et ole vielä ostanut ladattavia tuotteita."
"Back","Takaisin"
"download","lataa"
"Gift Message","Lahjaviesti"
"From:","Alkaen:"
"To:","Vastaanottaja:"
"Message:","Viesti:"
"Product Name","Tuotenimi"
"Qty","Määrä"
"Subtotal","Välisumma"
"Discount Amount","Alennuksen määrä"
"Row Total","Rivin summa"
"Qty Invoiced","Laskutettu määrä"
"Ordered","Tilatut"
"Shipped","Lähetetty"
"Canceled","Peruutettu"
"Refunded","Hyvitetty"
"We could not detect a size.","Kokoa ei voitu tunnistaa."
"Downloadable Product Section","Downloadable Product Section"
"Downloads","Lataukset"
"Downloadable Product Options","Downloadable Product Options"
"Order Item Status to Enable Downloads","Order Item Status to Enable Downloads"
"Default Maximum Number of Downloads","Default Maximum Number of Downloads"
"Default Sample Title","Default Sample Title"
"Default Link Title","Default Link Title"
"Open Links in New Window","Open Links in New Window"
"Use Content-Disposition","Use Content-Disposition"
"Disable Guest Checkout if Cart Contains Downloadable Items","Poista vieraana ostaminen käytöstä, jos ostoskori sisältää ladattavia tuotteita"
"Guest checkout will only work with shareable.","Guest checkout will only work with shareable."
