"Downloadable Information","Πληροφορίες με Δυνατότητα Λήψης"
"Add New Link","Προσθήκη νέου σύνδεσμου"
"Upload Files","Ανεβάστε Αρχεία"
"All Files","Όλα τα αρχεία"
"Unlimited","Απεριόριστα"
"Something went wrong while getting the requested content.","Κάτι πήγε στραβά κατά τη λήψη του περιεχομένου που ζητήθηκε."
"My Downloadable Products","Τα προϊόντα μου με δυνατότητα λήψης"
"We can't find the link you requested.","Δεν μπορούμε να βρούμε το σύνδεσμο που ζητήσατε."
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","Παρακαλούμε συνδεθείτε για να κατεβάσετε το προϊόν σας ή να αγοράσετε <a href=""%1"">%2</a>."
"Please sign in to download your product.","Παρακαλούμε συνδεθείτε για να κατεβάσετε το προϊόν σας."
"The link has expired.","Ο σύνδεσμος έχει λήξει."
"The link is not available.","Ο σύνδεσμος δεν είναι διαθέσιμος."
"Sorry, there was an error getting requested content. Please contact the store owner.","Λυπούμαστε, Παρουσιάστηκε ένα σφάλμα κατά τη λήψη του περιεχομένου που ζητήθηκε. Επικοινωνήστε με τον ιδιοκτήτη του καταστήματος."
"Please set resource file and link type.","Παρακαλώ θέστε αρχείο πόρων και τύπο συνδέσμου."
"Invalid download link type.","Άκυρος τύπος σύνδεσμου μεταφόρτωσης."
"Something went wrong while saving the file(s).","Κάτι πήγε στραβά κατά την αποθήκευση του αρχείου(ων)."
"Provided content must be valid base64 encoded data.","Το περιεχόμενο που παρέχεται πρέπει να είναι έγκυρα κωδικοποιημένα σε base64 δεδομένα."
"Provided file name contains forbidden characters.","Το παρεχόμενο όνομα αρχείου περιέχει απαγορευμένους χαρακτήρες."
"Link file not provided","Ο σύνδεσμος αρχείου δεν δόθηκε"
"Link price must have numeric positive value.","Τιμή συνδέσμου πρέπει να έχει αριθμητική θετική τιμή."
"Number of downloads must be a positive integer.","Ο αριθμός των μεταφορτώσεων πρέπει να είναι ένας θετικός ακέραιος."
"Sort order must be a positive integer.","Η σειρά ταξινόμησης πρέπει να είναι ένας θετικός ακέραιος."
"Link URL must have valid format.","Η διεύθυνση URL συνδέσμου πρέπει να έχει έγκυρη μορφή."
"Provided file content must be valid base64 encoded data.","Το περιεχόμενο αρχείου που παρέχεται πρέπει να είναι έγκυρα κωδικοποιημένα σε base64 δεδομένα."
"Sample URL must have valid format.","Το δείγμα διεύθυνσης URL συνδέσμου πρέπει να έχει έγκυρη μορφή."
"Order id cannot be null","Το id της παραγγελίας δεν είναι δυνατό να είναι κενό"
"Order item id cannot be null","Το id του στοιχείου της παραγγελίας δεν είναι δυνατόν να είναι κενό"
"Provided product must be type 'downloadable'.","Το δοθέν προϊόν πρέπει να είναι τύπου 'προς κατέβασμα'."
"Provided link information is invalid.","Οι πληροφορίες του παρεχόμενου σύνδεσμου δεν είναι έγκυρες."
"Invalid link type.","Μη έγκυρος τύπος συνδέσμου."
"Link title cannot be empty.","Ο τίτλος συνδέσμου δεν μπορεί να είναι κενός."
"There is no downloadable link with provided ID.","Δεν υπάρχει κανένας σύνδεσμος μεταφόρτωσης με το παρεχόμενο ID."
"Provided downloadable link is not related to given product.","Ο παρεχόμενος σύνδεσμος λήψης δεν σχετίζεται με το δεδομένο προϊόν."
"Cannot delete link with id %1","Δεν είναι δυνατό να διαγράψετε το σύνδεσμο με αναγνωριστικό %1"
"Please specify product link(s).","Παρακαλούμε προσδιορίστε τον σύνδεσμο(ους) του προϊόντος."
"Sample file not provided","Το δείγμα αρχείου δεν δόθηκε"
"Provided sample information is invalid.","Οι πληροφορόριες παρεχόμενου δείγματος δεν είναι έγκυρες."
"Invalid sample type.","Μη έγκυρος τύπος δείγματος."
"Sample title cannot be empty.","Ο Τίτλος Δείγματος δεν μπορεί να είναι κενός."
"There is no downloadable sample with provided ID.","Δεν υπάρχει κανένα δείγμα μεταφόρτωσης με το παρεχόμενο ID."
"Provided downloadable sample is not related to given product.","Η παρεχόμενη λήψη δείγματος δεν σχετίζεται με το δεδομένο προϊόν."
"Cannot delete sample with id %1","Δεν είναι δυνατό να διαγράψετε το δείγμα με id %1"
"Yes","Ναί"
"No","Όχι"
"Use config","Χρήση Ρυθμήσεων"
"Upload File","Ανεβάστε αρχείο"
"URL","Διεύθυνση URL"
"attachment","συνημμένο"
"inline","εσωτερικά"
"Pending","Προς έγκριση"
"Invoiced","Τιμολογημένα"
"To enable the option set the weight to no","Για να ενεργοποιήσετε την επιλογή ρυθμίστε το βάρος σε όχι"
"Is this downloadable Product?","Πρόκειται για προϊόν με δυνατότητα λήψης;"
"Links","Σύνδεσμοι"
"Title","Τίτλος"
"Links can be purchased separately","Οι σύνδεσμοι μπορούν να αγοραστούν ξεχωριστά"
