"Downloadable Information","Nedladdningsbar Information"
"Add New Link","Lägg till Ny Länk"
"Upload Files","Ladda upp Filer"
"All Files","Alla filer"
"Unlimited","Obegränsat"
"Upload type can not be determined.","Upload type can not be determined."
"File can not be moved from temporary folder to the destination folder.","File can not be moved from temporary folder to the destination folder."
"Something went wrong while getting the requested content.","Något gick fel medan det begärda innehållet hämtades."
"My Downloadable Products","Min nedladdningsbara produkter"
"We can't find the link you requested.","Vi kan inte hitta länken du begärt."
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","Logga in att ladda ner din produkt eller köpa <a href=""%1"">%2</a>."
"Please sign in to download your product.","Logga in för att hämta din produkt."
"The link has expired.","Länken har upphört att gälla."
"The link is not available.","Länken är inte tillgänglig."
"Sorry, there was an error getting requested content. Please contact the store owner.","Tyvärr, gick det inte att få begärda innehållet. Vänligen kontakta butiksägaren."
"Please set resource file and link type.","Vänligen ange resursfil och länktyp."
"Invalid download link type.","Ogiltig länk för nedladdning."
"Something went wrong while saving the file(s).","Något gick fel när fil(erna) sparades."
"Provided content must be valid base64 encoded data.","Medföljande innehåll måste vara giltig base64-kodad data."
"Provided file name contains forbidden characters.","Filnamnet innehåller ogiltiga tecken."
"Link file not provided","Länkfil ej tillhandahållen"
"Link price must have numeric positive value.","Länkpris måste ha numeriska positivt värdem."
"Number of downloads must be a positive integer.","Antalet nedladdningar måste vara ett positivt heltal."
"Sort order must be a positive integer.","Sorteringsordning måste vara ett positivt heltal."
"Link URL must have valid format.","Länk-URL måste ha ett giltigt format."
"Link URL's domain is not in list of downloadable_domains in env.php.","Link URL's domain is not in list of downloadable_domains in env.php."
"Provided file content must be valid base64 encoded data.","Medföljande innehåll måste vara giltig base64-kodad data."
"Link file not found. Please try again.","Link file not found. Please try again."
"Sample URL must have valid format.","Länk-URL måste ha ett giltigt format."
"Sample URL's domain is not in list of downloadable_domains in env.php.","Sample URL's domain is not in list of downloadable_domains in env.php."
"Link sample file not found. Please try again.","Link sample file not found. Please try again."
"Order id cannot be null","Order-id får inte vara null"
"Order item id cannot be null","Order-id får inte vara null"
"The product needs to be the downloadable type. Verify the product and try again.","The product needs to be the downloadable type. Verify the product and try again."
"The link information is invalid. Verify the link and try again.","The link information is invalid. Verify the link and try again."
"The link title is empty. Enter the link title and try again.","The link title is empty. Enter the link title and try again."
"No downloadable link with the provided ID was found. Verify the ID and try again.","No downloadable link with the provided ID was found. Verify the ID and try again."
"The downloadable link isn't related to the product. Verify the link and try again.","The downloadable link isn't related to the product. Verify the link and try again."
"The link with ""%1"" ID can't be deleted.","The link with ""%1"" ID can't be deleted."
"The link type is invalid. Verify and try again.","The link type is invalid. Verify and try again."
"The link sample type is invalid. Verify and try again.","The link sample type is invalid. Verify and try again."
"Please specify product link(s).","Please specify product link(s)."
"Sample file not provided","Sample file not provided"
"Sample file not found. Please try again.","Sample file not found. Please try again."
"The sample information is invalid. Verify the information and try again.","The sample information is invalid. Verify the information and try again."
"The sample title is empty. Enter the title and try again.","The sample title is empty. Enter the title and try again."
"No downloadable sample with the provided ID was found. Verify the ID and try again.","No downloadable sample with the provided ID was found. Verify the ID and try again."
"The downloadable sample isn't related to the product. Verify the link and try again.","The downloadable sample isn't related to the product. Verify the link and try again."
"The sample with ""%1"" ID can't be deleted.","The sample with ""%1"" ID can't be deleted."
"The sample type is invalid. Verify the sample type and try again.","The sample type is invalid. Verify the sample type and try again."
"Yes","Ja"
"No","Nej"
"Use config","Använda inställningar"
"Upload File","Ladda upp fil"
"URL","Webbadress"
"attachment","attachment"
"inline","inline"
"Pending","Väntar"
"Invoiced","Fakturerad"
"To enable the option set the weight to no","To enable the option set the weight to no"
"Is this downloadable Product?","Is this downloadable Product?"
"Links","Länkar"
"Title","Titel"
"Links can be purchased separately","Links can be purchased separately"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'."
"Add Link","Lägg till länk"
"Price","Pris"
"File","Fil"
"Sample","Sample"
"Shareable","Shareable"
"Max. Downloads","Max. Downloads"
"Samples","Samples"
"Use Default Value","Använd standardvärde"
"sample","sample"
"Is this a downloadable Product?","Is this a downloadable Product?"
"Add links to your product files here.","Add links to your product files here."
"[STORE VIEW]","[BUTIKSVY]"
"[GLOBAL]","[GLOBALT]"
"Sort Order","Sorteringsordning"
"Attach File or Enter Link","Attach File or Enter Link"
"Sort Variations","Sortera variationer"
"Browse Files...","Bläddra..."
"Delete","Ta bort"
"Add product preview files here.","Add product preview files here."
"SKU","Art.nr"
"U","U"
"Select all","Markera alla"
"Unselect all","Unselect all"
"Availability","Tillgänglighet"
"In stock","I lager"
"Out of stock","Ej i lager"
"Go to <a href=""%1"">My Downloadable Products</a>","Gå till <a href=""%1""> Mina Nedladdningsbara Produkter</a>"
"Downloadable Products","Downloadable Products"
"Order #","Beställning #"
"Date","Datum"
"Status","Status"
"Remaining Downloads","Remaining Downloads"
"View Order","Visa beställning"
"Start Download","Start Download"
"You have not purchased any downloadable products yet.","Du har inte köpt några nedladdningsbara produkter ännu."
"Back","Tillbaka"
"download","download"
"Gift Message","Presentmeddelande"
"From:","Från:"
"To:","Till:"
"Message:","Meddelande:"
"Product Name","Produktnamn"
"Qty","Antal"
"Subtotal","Delsumma"
"Discount Amount","Rabattbelopp"
"Row Total","Radsumma"
"Qty Invoiced","Antal fakturerade"
"Ordered","Beställd"
"Shipped","Skickad"
"Canceled","Avbruten"
"Refunded","Återbetald"
"We could not detect a size.","Vi kunde inte hitta en storlek."
