"No","Nu"
"Filterable (with results)","Filtrabile (cu rezultate)"
"Filterable (no results)","Filtrabile (fără rezultate)"
"Use in Layered Navigation","Folosiți la navigarea stratificată"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Can be used only with catalog input type Dropdown, Multiple Select and Price"
"Can be used only with catalog input type Dropdown, Multiple Select and Price.","Can be used only with catalog input type Dropdown, Multiple Select and Price."
"Use in Search Results Layered Navigation","Folosește la Navigarea stratificată a rezultatelor căutării"
"Position","Poziție"
"Position in Layered Navigation","Poziție în navigarea stratificată"
"Position of attribute in layered navigation block.","Position of attribute in layered navigation block."
"item","articol"
"items","articole"
"Now Shopping by","Cumpără acum de la"
"Previous","Anterior"
"Remove","Elimină"
"Remove This Item","Eliminați acest articol"
"Shop By","Filtreaza dupa"
"Clear All","Anulați toate filtrele"
"Shopping Options","Opțiuni cumpărare"
"Layered Navigation","Navigație pe niveluri"
"Display Product Count","Afișează sumă produs"
"Price Navigation Step Calculation","Calculare treaptă navigare preț"
"Default Price Navigation Step","Treaptă navigare preț implicit"
"Maximum Number of Price Intervals","Număr maxim de intervale preț"
"Maximum number of price intervals is 100","Numărul maxim de intervale preț este de 100"
"Display Price Interval as One Price","Afișați interval preț ca un singur preț"
"This setting will be applied when all prices in the specific price interval are equal.","Această setare va fi pusă în aplicare atunci când toate prețurile dintr-un interval specific de preț sunt egale."
"Interval Division Limit","Limită diviziune interval"
"Please specify the number of products, that will not be divided into subintervals.","Specificați numărul de produse care nu vor fi divizate în subintervale."
"Position of attribute in layered navigation block","Position of attribute in layered navigation block"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.
                    <br>Price is not compatible with <b>'Filterable (no results)'</b> option - 
                     it will make no affect on Price filter.","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.
                    <br>Price is not compatible with <b>'Filterable (no results)'</b> option - 
                     it will make no affect on Price filter."
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price."
"Can be used only with catalog input type Yes/No (Boolean), Dropdown, Multiple Select and Price.","Can be used only with catalog input type Yes/No (Boolean), Dropdown, Multiple Select and Price."
