"No","Hayır"
"Filterable (with results)","Filtrelenebilir (sonuçlu)"
"Filterable (no results)","Filtrelenebilir (sonuçsuz)"
"Use in Layered Navigation","Katmanlı Gezinmede Kullan"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Can be used only with catalog input type Dropdown, Multiple Select and Price"
"Can be used only with catalog input type Dropdown, Multiple Select and Price.","Can be used only with catalog input type Dropdown, Multiple Select and Price."
"Use in Search Results Layered Navigation","Arama Sonuçlarında Katmanlı Gezinme Kullanın"
"Position","Konum"
"Position in Layered Navigation","Katmanlı Gezinmedeki Yeri"
"Position of attribute in layered navigation block.","Katmanlı gezinme bloğundaki özelliğin konumu."
"item","öğe"
"items","öğeler"
"Now Shopping by","Şimdi alışveriş yapanlar"
"Previous","Önceki"
"Remove","Kaldır"
"Remove This Item","Bu ürünü sil"
"Shop By","Ürünleri Filtrele"
"Clear All","Hepsini Temizle"
"Shopping Options","Alışveriş Seçenekleri"
"Layered Navigation","Katmanlı Gezinme"
"Display Product Count","Ürün Sayısını Göster"
"Price Navigation Step Calculation","Fiyat Gezinmesi Adım Hesaplaması"
"Default Price Navigation Step","Ana Fiyat Gezinme Adımı"
"Maximum Number of Price Intervals","En yüksek Fiyat Aralık Sayısı"
"Maximum number of price intervals is 100","En yüksek Fiyat Aralık Sayısı 100 dür"
"Display Price Interval as One Price","Fiyat aralığını tek bir fiyat olarak göster"
"This setting will be applied when all prices in the specific price interval are equal.","Bu ayar, belirli bir fiyat aralığında fiyatların eşit olması durumunda uygulanacak."
"Interval Division Limit","Aralık Bölünme Limiti"
"Please specify the number of products, that will not be divided into subintervals.","En kısa bölünme limiti için ürün sayısını belirtiniz."
"Position of attribute in layered navigation block","Position of attribute in layered navigation block"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.
                    <br>Price is not compatible with <b>'Filterable (no results)'</b> option - 
                     it will make no affect on Price filter.","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.
                    <br>Price is not compatible with <b>'Filterable (no results)'</b> option - 
                     it will make no affect on Price filter."
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price."
"Can be used only with catalog input type Yes/No (Boolean), Dropdown, Multiple Select and Price.","Can be used only with catalog input type Yes/No (Boolean), Dropdown, Multiple Select and Price."
