"No","Non"
"Filterable (with results)","Filtrable (avec résultats)"
"Filterable (no results)","Filtrable (pas de résultats)"
"Use in Layered Navigation","Utiliser dans la navigation par filtres"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Ne peut être utilisé qu'avec un type de saisie ""liste déroulante"", ""choix multiple"" ou ""prix"""
"Can be used only with catalog input type Dropdown, Multiple Select and Price.","Ne peut être utilisé qu’avec un type de saisie ""liste déroulante"", ""choix multiple"", ou ""prix""."
"Use in Search Results Layered Navigation","Utiliser dans la navigation par filtres des résultats de recherche"
"Position","Position"
"Position in Layered Navigation","Position dans la navigation par filtres"
"Position of attribute in layered navigation block.","Position de l’attribut dans le bloc de navigation par filtres."
"item","article"
"items","articles"
"Now Shopping by","Sélection actuelle"
"Previous","Précédent"
"Remove","Supprimer"
"Remove This Item","Retirer cet élément"
"Shop By","Filtrer par"
"Clear All","Tout supprimer"
"Shopping Options","Affiner la recherche"
"Layered Navigation","Navigation par filtres"
"Display Product Count","Afficher le nombre de produits"
"Price Navigation Step Calculation","Type de calcul des tranches de prix"
"Default Price Navigation Step","Tranche de prix par défaut"
"Maximum Number of Price Intervals","Nombre maxi d'intervalles de prix"
"Maximum number of price intervals is 100","Le nombre maxi d'intervalles de prix est 100"
"Display Price Interval as One Price","Afficher l'intervale de prix en un seul prix"
"This setting will be applied when all prices in the specific price interval are equal.","Ce paramétrage s'appliquera lorsque tous les prix seront égaux dans l'intervalle de prix spécifique."
"Interval Division Limit","Limite de division d'intervalle"
"Please specify the number of products, that will not be divided into subintervals.","Spécifiez le nombre de produits qui ne seront pas divisés en sous-intervalles."
"Position of attribute in layered navigation block","Position de l'attribut dans le bloc de navigation par filtres"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price","Peut être utilisé uniquement avec le type d'entrée du catalogue Oui/Non, Dropdown, choix multiple et prix"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.
                    <br>Price is not compatible with <b>'Filterable (no results)'</b> option - 
                     it will make no affect on Price filter.","Peut être utilisé uniquement avec le type d'entrée du catalogue Oui/Non, Dropdown, choix multiple et prix.
                    <br>Le prix n'est pas compatible avec <b>'Filtrable (aucun résultat)'</b> option - 
                     il n'affectera pas le filtre de prix."
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.","Peut être utilisé uniquement avec le type d'entrée du catalogue Oui/Non, Dropdown, choix multiple et prix."
"Can be used only with catalog input type Yes/No (Boolean), Dropdown, Multiple Select and Price.","Peut être utilisé uniquement avec le type d'entrée du catalogue Oui/Non (Boolean), Dropdown, choix multiple et prix."
