"No","Nej"
"Filterable (with results)","Filtrerbara (med resultat)"
"Filterable (no results)","Filtrerbara (inga resultat)"
"Use in Layered Navigation","Användning i Filternavigering"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Can be used only with catalog input type Dropdown, Multiple Select and Price"
"Can be used only with catalog input type Dropdown, Multiple Select and Price.","Can be used only with catalog input type Dropdown, Multiple Select and Price."
"Use in Search Results Layered Navigation","Användning i sökresultat för filternavigering"
"Position","Plats"
"Position in Layered Navigation","Position i Filternavigering"
"Position of attribute in layered navigation block.","Placering av attribut i filternavigeringsblock."
"item","artikel"
"items","artiklar"
"Now Shopping by","Handlar nu enligt"
"Previous","Föregående"
"Remove","Ta bort"
"Remove This Item","Ta bort Denna Artikel"
"Shop By","Handla enligt"
"Clear All","Rensa alla"
"Shopping Options","Shoppingalternativ"
"Layered Navigation","Filternavigering"
"Display Product Count","Visa produktantal"
"Price Navigation Step Calculation","Pris Navigation stegberäkning"
"Default Price Navigation Step","Standard pris Navigations steg"
"Maximum Number of Price Intervals","Maximum Number of Price Intervals"
"Maximum number of price intervals is 100","Maximalt antal pris intervall är 100"
"Display Price Interval as One Price","Display Price Interval as One Price"
"This setting will be applied when all prices in the specific price interval are equal.","Den här inställningen tillämpas när alla priser i det specifika kursintervallet är lika."
"Interval Division Limit","Interval Division Limit"
"Please specify the number of products, that will not be divided into subintervals.","Please specify the number of products, that will not be divided into subintervals."
"Position of attribute in layered navigation block","Position of attribute in layered navigation block"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.
                    <br>Price is not compatible with <b>'Filterable (no results)'</b> option - 
                     it will make no affect on Price filter.","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.
                    <br>Price is not compatible with <b>'Filterable (no results)'</b> option - 
                     it will make no affect on Price filter."
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price."
"Can be used only with catalog input type Yes/No (Boolean), Dropdown, Multiple Select and Price.","Can be used only with catalog input type Yes/No (Boolean), Dropdown, Multiple Select and Price."
