"No","Tidak"
"Filterable (with results)","Bisa difilter (dengan hasil)"
"Filterable (no results)","Bisa difilter (tidak ada hasil)"
"Use in Layered Navigation","Gunakan dilapisan Navigasi"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Can be used only with catalog input type Dropdown, Multiple Select and Price"
"Can be used only with catalog input type Dropdown, Multiple Select and Price.","Can be used only with catalog input type Dropdown, Multiple Select and Price."
"Use in Search Results Layered Navigation","Gunakan dalam Mencari Hasil Navigasi Lapisan"
"Position","Posisi"
"Position in Layered Navigation","Posisi dalam Lapisan Navigasi"
"Position of attribute in layered navigation block.","Posisi dari atribut pada blok navigasi lapisan."
"item","barang"
"items","barang-barang"
"Now Shopping by","Sekarang Belanja dengan"
"Previous","Sebelumnya"
"Remove","Menghapus"
"Remove This Item","Hapus Barang Ini"
"Shop By","Belanja dengan"
"Clear All","Bersihkan Semua"
"Shopping Options","Pilihan Belanja"
"Layered Navigation","Lapisan Navigasi"
"Display Product Count","Tampilkan Hitungan Produk"
"Price Navigation Step Calculation","Kalkulasi Langkah Navigasi Harga"
"Default Price Navigation Step","Default Langkah Navigsi Harga"
"Maximum Number of Price Intervals","Jumlah Jeda waktu Harga Maksimum"
"Maximum number of price intervals is 100","Jumlah Jeda waktu Harga Maksimum adalah 100"
"Display Price Interval as One Price","Tampilkan Jeda Harga sebagai Satu Harga"
"This setting will be applied when all prices in the specific price interval are equal.","Setingan ini akan berlaku saat semua harga pada harga jeda tertantu adalah sama."
"Interval Division Limit","Batas Pembagian Jeda"
"Please specify the number of products, that will not be divided into subintervals.","Tolong tentukan jumlah produk, yang tidak akan dibagikan kedalam subinterval."
"Position of attribute in layered navigation block","Position of attribute in layered navigation block"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.
                    <br>Price is not compatible with <b>'Filterable (no results)'</b> option - 
                     it will make no affect on Price filter.","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.
                    <br>Price is not compatible with <b>'Filterable (no results)'</b> option - 
                     it will make no affect on Price filter."
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price."
"Can be used only with catalog input type Yes/No (Boolean), Dropdown, Multiple Select and Price.","Can be used only with catalog input type Yes/No (Boolean), Dropdown, Multiple Select and Price."
