"No","Não"
"Filterable (with results)","Filtrável (com resultados)"
"Filterable (no results)","Filtrável (nenhum resultado)"
"Use in Layered Navigation","Utilizar em Navegação por Camadas"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Can be used only with catalog input type Dropdown, Multiple Select and Price"
"Can be used only with catalog input type Dropdown, Multiple Select and Price.","Can be used only with catalog input type Dropdown, Multiple Select and Price."
"Use in Search Results Layered Navigation","Usar nos Resultados de Pesquisa na Navegação por Camadas"
"Position","Posição"
"Position in Layered Navigation","Posição na Navegação em Camadas"
"Position of attribute in layered navigation block.","Posição do atributo no bloco de navegação em camadas."
"item","artigo"
"items","artigos"
"Now Shopping by","Filtro Ativo"
"Previous","Anterior"
"Remove","Eliminar"
"Remove This Item","Remover Este Item"
"Shop By","Filtrar Por"
"Clear All","Limpar Tudo"
"Shopping Options","Opções de Compra"
"Layered Navigation","Navegação em Camadas"
"Display Product Count","Mostrar Número de Produtos"
"Price Navigation Step Calculation","Cálculo do Intervalo de Preço na Navegação por Preços"
"Default Price Navigation Step","Intervalo de Preço Pré-definido"
"Maximum Number of Price Intervals","Número Máximo de Intervalos de Preço"
"Maximum number of price intervals is 100","O Número Máximo de Intervalos de Preço é 100"
"Display Price Interval as One Price","Mostrar Intervalo de Preço como Um Preço"
"This setting will be applied when all prices in the specific price interval are equal.","Esta definição será aplicada quando todos os preços no intervalo de preço especifico forem iguais."
"Interval Division Limit","Limite de Divisão de Interalo"
"Please specify the number of products, that will not be divided into subintervals.","Por favor especifique o número de produtos, que não serão divididos em sub-intervalos."
"Position of attribute in layered navigation block","Position of attribute in layered navigation block"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.
                    <br>Price is not compatible with <b>'Filterable (no results)'</b> option - 
                     it will make no affect on Price filter.","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.
                    <br>Price is not compatible with <b>'Filterable (no results)'</b> option - 
                     it will make no affect on Price filter."
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price."
"Can be used only with catalog input type Yes/No (Boolean), Dropdown, Multiple Select and Price.","Can be used only with catalog input type Yes/No (Boolean), Dropdown, Multiple Select and Price."
