"No","Не"
"Filterable (with results)","Филтриране (с резултати)"
"Filterable (no results)","Филтриране (без резултати)"
"Use in Layered Navigation","Използване в пластова навигация"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Може да се използва само с каталог с вход тип падащо меню, няколко избора и цена"
"Can be used only with catalog input type Dropdown, Multiple Select and Price.","Може да се използва само с каталог вход тип падащо меню, възможен многоброен избор и цена."
"Use in Search Results Layered Navigation","Използване в резултатите от търсенето пластове навигация"
"Position","Позиция"
"Position in Layered Navigation","Позиция в пластова навигация"
"Position of attribute in layered navigation block.","Позицията на атрибут в пластов навигационен блок."
"item","артикул"
"items","артикули"
"Now Shopping by","Пазаруване сега по"
"Previous","Назад"
"Remove","Премахване"
"Remove This Item","Премахнете този елемент"
"Shop By","Пазаруване по"
"Clear All","Изчисти всички"
"Shopping Options","Опции за пазаруване"
"Layered Navigation","Пластовa навигация"
"Display Product Count","Брояч на показвания на продукт"
"Price Navigation Step Calculation","Навигация за изчисляване на цена"
"Default Price Navigation Step","Навигация стъпка по стъпка за цена по подразбиране"
"Maximum Number of Price Intervals","Максималният брой на ценови интервали"
"Maximum number of price intervals is 100","Максимален брой ценови интервали е 100"
"Display Price Interval as One Price","Показване на ценови интервал като една цена"
"This setting will be applied when all prices in the specific price interval are equal.","Тази настройка ще се прилага, когато всички цени в специфични ценови интервали са равни."
"Interval Division Limit","Граница на интервална дивизия"
"Please specify the number of products, that will not be divided into subintervals.","Моля, посочете броя на продукти, които не ще бъдат разделени в подинтервали."
"Position of attribute in layered navigation block","Позицията на атрибут в пластове навигация блок"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price","Може да се използва само с поле от тип да/не, избор от падащо меню, множествен избор или цена"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.
                    <br>Price is not compatible with <b>'Filterable (no results)'</b> option - 
                     it will make no affect on Price filter.","Може да се използва само с поле от тип да/не, избор от падащо меню, множествен избор или цена.
                    <br>Цена не е съвместима с опция <b>'Филтрируем (без участие в резултати)'</b> - 
                     няма да окаже влияние във филтър по цена."
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.","Може да се използва само с поле от тип да/не, избор от падащо меню, множествен избор или цена."
"Can be used only with catalog input type Yes/No (Boolean), Dropdown, Multiple Select and Price.","Може да се използва само с поле от тип да/не, избор от падащо меню, множествен избор или цена."
