"No","Không"
"Filterable (with results)","Có thể lọc (với kết quả)"
"Filterable (no results)","Có thể lọc (không kết quả)"
"Use in Layered Navigation","Dùng trong Layered Navigation"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Can be used only with catalog input type Dropdown, Multiple Select and Price"
"Can be used only with catalog input type Dropdown, Multiple Select and Price.","Can be used only with catalog input type Dropdown, Multiple Select and Price."
"Use in Search Results Layered Navigation","Dùng trong kết quả tìm kiếm của Layered Navigation"
"Position","Vị trí"
"Position in Layered Navigation","Vị trí trong Layered Navigation"
"Position of attribute in layered navigation block.","Vị trí của các thuộc tính trong khối danh mục chính."
"item","sản phẩm"
"items","sản phẩm"
"Now Shopping by","Bây giờ mua sắm bằng"
"Previous","Trước"
"Remove","Loại bỏ"
"Remove This Item","Loại bỏ mục này"
"Shop By","Mua sắm bằng"
"Clear All","Xóa tất cả"
"Shopping Options","Lựa chọn mua sắm"
"Layered Navigation","Layered Navigation"
"Display Product Count","Hiển thị sản phẩm số"
"Price Navigation Step Calculation","Giá Navigation bước tính toán"
"Default Price Navigation Step","Mặc định giá bước chuyển hướng"
"Maximum Number of Price Intervals","Số lượng khoảng giá tối đa"
"Maximum number of price intervals is 100","Số lượng giá khoảng tối đa là 100"
"Display Price Interval as One Price","Hiển thị giá khoảng thời gian như là một mức giá"
"This setting will be applied when all prices in the specific price interval are equal.","Thiết đặt này sẽ được áp dụng khi giá cả trong khoảng thời gian cụ thể giá là bình đẳng."
"Interval Division Limit","Khoảng thời gian phân chia giới hạn"
"Please specify the number of products, that will not be divided into subintervals.","Hãy chỉ ra số lượng sản phẩm, mà sẽ không được chia thành khoảng."
"Position of attribute in layered navigation block","Position of attribute in layered navigation block"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.
                    <br>Price is not compatible with <b>'Filterable (no results)'</b> option - 
                     it will make no affect on Price filter.","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.
                    <br>Price is not compatible with <b>'Filterable (no results)'</b> option - 
                     it will make no affect on Price filter."
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price."
"Can be used only with catalog input type Yes/No (Boolean), Dropdown, Multiple Select and Price.","Can be used only with catalog input type Yes/No (Boolean), Dropdown, Multiple Select and Price."
