"No","Nein"
"Filterable (with results)","Filterbar (mit Ergebnissen)"
"Filterable (no results)","Filterbar (keine Ergebnisse)"
"Use in Layered Navigation","In Filternavigation verwenden"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Can be used only with catalog input type Dropdown, Multiple Select and Price"
"Can be used only with catalog input type Dropdown, Multiple Select and Price.","Can be used only with catalog input type Dropdown, Multiple Select and Price."
"Use in Search Results Layered Navigation","Filternavigation auf Suchergebnisseiten verwenden"
"Position","Reihenfolge"
"Position in Layered Navigation","Position in Filternavigation"
"Position of attribute in layered navigation block.","Position des Attributs in Filternavigation."
"item","Artikel"
"items","Artikel"
"Now Shopping by","Einkaufsoptionen"
"Previous","Zurück"
"Remove","Entfernen"
"Remove This Item","Diesen Artikel entfernen"
"Shop By","Einkaufsoptionen"
"Clear All","Alles löschen"
"Shopping Options","Shopping-Möglichkeiten"
"Layered Navigation","Filternavigation"
"Display Product Count","Produkt-Anzahl anzeigen"
"Price Navigation Step Calculation","Preisnavigationsschritt-Berechnung"
"Default Price Navigation Step","Standard-Preisnavigationsschritt"
"Maximum Number of Price Intervals","Höchstmenge an Preisschritten"
"Maximum number of price intervals is 100","Höchstmenge an Preisschritten ist 100"
"Display Price Interval as One Price","Preisintervall als Einzelpreis darstellen"
"This setting will be applied when all prices in the specific price interval are equal.","Diese Einstellung wird angewendet, wenn alle Preise im angegebenen Preisintervall gleich sind."
"Interval Division Limit","Intervall-Teilungsbeschränkung"
"Please specify the number of products, that will not be divided into subintervals.","Bitte geben Sie die Anzahl der Produkte an, die nicht in Teilintervalle unterteilt wird."
"Position of attribute in layered navigation block","Position of attribute in layered navigation block"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.
                    <br>Price is not compatible with <b>'Filterable (no results)'</b> option - 
                     it will make no affect on Price filter.","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.
                    <br>Price is not compatible with <b>'Filterable (no results)'</b> option - 
                     it will make no affect on Price filter."
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price."
"Can be used only with catalog input type Yes/No (Boolean), Dropdown, Multiple Select and Price.","Can be used only with catalog input type Yes/No (Boolean), Dropdown, Multiple Select and Price."
