"No","خیر"
"Filterable (with results)","قابل فیلتر (با نتایج)"
"Filterable (no results)","قابل فیلتر (بدون نتایج)"
"Use in Layered Navigation","استفاده در Layered Navigation"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Can be used only with catalog input type Dropdown, Multiple Select and Price"
"Can be used only with catalog input type Dropdown, Multiple Select and Price.","Can be used only with catalog input type Dropdown, Multiple Select and Price."
"Use in Search Results Layered Navigation","استفاده در نتایج جستجوی Layered Navigation"
"Position","موقعيت"
"Position in Layered Navigation","موقعیت در Layered Navigation"
"Position of attribute in layered navigation block.","موقعیت ویژگی در بلوک Layered Navigation."
"item","مورد"
"items","موارد"
"Now Shopping by","خرید در حال حاضر توسط"
"Previous","قبلی"
"Remove","برداشتن"
"Remove This Item","برداشتن این آیتم"
"Shop By","خرید توسط"
"Clear All","پاک کردن همه"
"Shopping Options","گزینه‌ های خرید"
"Layered Navigation","Layered Navigation"
"Display Product Count","نمایش تعداد محصول"
"Price Navigation Step Calculation","محاسبه قیمت مرحله Navigation"
"Default Price Navigation Step","قیمت پیش فرض مرحله Navigation"
"Maximum Number of Price Intervals","حداکثر تعداد بازه های قیمت"
"Maximum number of price intervals is 100","حداکثر تعداد بازه های قیمت 100 تاست"
"Display Price Interval as One Price","نمایش بازه قیمت به عنوان یک قیمت واحد"
"This setting will be applied when all prices in the specific price interval are equal.","این تنظیمات هنگامی که تمام قیمت ها در بازه قیمت خاص با هم برابر هستند، اعمال خواهد شد."
"Interval Division Limit","حد تقسیم بازه"
"Please specify the number of products, that will not be divided into subintervals.","لطفا تعداد محصولاتی که به زیر بازه تقسیم نمی شوند را مشخص کنید."
"Position of attribute in layered navigation block","Position of attribute in layered navigation block"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.
                    <br>Price is not compatible with <b>'Filterable (no results)'</b> option - 
                     it will make no affect on Price filter.","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.
                    <br>Price is not compatible with <b>'Filterable (no results)'</b> option - 
                     it will make no affect on Price filter."
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price."
"Can be used only with catalog input type Yes/No (Boolean), Dropdown, Multiple Select and Price.","Can be used only with catalog input type Yes/No (Boolean), Dropdown, Multiple Select and Price."
