"No","Ei"
"Filterable (with results)","Filtreeritav (tulemustega)"
"Filterable (no results)","Filtreeritav (tulemusteta)"
"Use in Layered Navigation","Kasuta tootefiltris"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Can be used only with catalog input type Dropdown, Multiple Select and Price"
"Can be used only with catalog input type Dropdown, Multiple Select and Price.","Can be used only with catalog input type Dropdown, Multiple Select and Price."
"Use in Search Results Layered Navigation","Kasuta otsingu tulemuste lehe tootefiltris"
"Position","Asukoht"
"Position in Layered Navigation","Positsioon tootefiltris"
"Position of attribute in layered navigation block.","Position of attribute in layered navigation block."
"item","toode"
"items","toodet"
"Now Shopping by","Ostlemise moodus"
"Previous","Eelmine"
"Remove","Eemalda"
"Remove This Item","Eemalda toode"
"Shop By","Vali"
"Clear All","Tühjenda kõik"
"Shopping Options","Ostlemise Valikud"
"Layered Navigation","Tootefilter"
"Display Product Count","Kuva toodete kogus"
"Price Navigation Step Calculation","Price Navigation Step Calculation"
"Default Price Navigation Step","Default Price Navigation Step"
"Maximum Number of Price Intervals","Maximum Number of Price Intervals"
"Maximum number of price intervals is 100","Maximum number of price intervals is 100"
"Display Price Interval as One Price","Display Price Interval as One Price"
"This setting will be applied when all prices in the specific price interval are equal.","This setting will be applied when all prices in the specific price interval are equal."
"Interval Division Limit","Interval Division Limit"
"Please specify the number of products, that will not be divided into subintervals.","Please specify the number of products, that will not be divided into subintervals."
"Position of attribute in layered navigation block","Position of attribute in layered navigation block"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.
                    <br>Price is not compatible with <b>'Filterable (no results)'</b> option - 
                     it will make no affect on Price filter.","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.
                    <br>Price is not compatible with <b>'Filterable (no results)'</b> option - 
                     it will make no affect on Price filter."
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price."
"Can be used only with catalog input type Yes/No (Boolean), Dropdown, Multiple Select and Price.","Can be used only with catalog input type Yes/No (Boolean), Dropdown, Multiple Select and Price."
