"No","Ne"
"Filterable (with results)","Filtrovatelný (s výsledky)"
"Filterable (no results)","Filtrovatelný (bez výsledků)"
"Use in Layered Navigation","Použít ve vrstvené navigaci"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Can be used only with catalog input type Dropdown, Multiple Select and Price"
"Can be used only with catalog input type Dropdown, Multiple Select and Price.","Can be used only with catalog input type Dropdown, Multiple Select and Price."
"Use in Search Results Layered Navigation","Použít ve vrstvené navigaci výsledků hledání"
"Position","Pozice"
"Position in Layered Navigation","Pořadí ve vrstvené navigaci"
"Position of attribute in layered navigation block.","Pořadí atributu v bloku vrstvené navigace."
"item","položka"
"items","položky"
"Now Shopping by","Aktivní filtr pro"
"Previous","Předchozí"
"Remove","Odstranit"
"Remove This Item","Odstranit tuto položku"
"Shop By","Navigace"
"Clear All","Odebrat vše"
"Shopping Options","Filtr parametrů"
"Layered Navigation","Vrstvená navigace"
"Display Product Count","Zobrazit počet produktů"
"Price Navigation Step Calculation","Kalkulace cenových intervalů filtru"
"Default Price Navigation Step","Výchozí krok intervalu ceny"
"Maximum Number of Price Intervals","Maximální počet intervalů ceny"
"Maximum number of price intervals is 100","Maximální počet intervalů ceny je 100"
"Display Price Interval as One Price","Zobrazit interval jako jednu cenu"
"This setting will be applied when all prices in the specific price interval are equal.","Toto nastavení bude použito, jsou-li všechny ceny v konkrétním intervalu stejné."
"Interval Division Limit","Limit intervalu"
"Please specify the number of products, that will not be divided into subintervals.","Zadejte množství produktů, které nebude rozděleno do intervalů."
"Position of attribute in layered navigation block","Position of attribute in layered navigation block"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.
                    <br>Price is not compatible with <b>'Filterable (no results)'</b> option - 
                     it will make no affect on Price filter.","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.
                    <br>Price is not compatible with <b>'Filterable (no results)'</b> option - 
                     it will make no affect on Price filter."
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price."
"Can be used only with catalog input type Yes/No (Boolean), Dropdown, Multiple Select and Price.","Can be used only with catalog input type Yes/No (Boolean), Dropdown, Multiple Select and Price."
