"No","Nem "
"Filterable (with results)","Szűrhető (eredményekkel)"
"Filterable (no results)","Szűrhető (eredmények nélkül)"
"Use in Layered Navigation","Használás réteges navigációban"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Can be used only with catalog input type Dropdown, Multiple Select and Price"
"Can be used only with catalog input type Dropdown, Multiple Select and Price.","Can be used only with catalog input type Dropdown, Multiple Select and Price."
"Use in Search Results Layered Navigation","Use in Search Results Layered Navigation"
"Position","Pozició"
"Position in Layered Navigation","Pozíció a réteges navigációban"
"Position of attribute in layered navigation block.","Position of attribute in layered navigation block."
"item","elem"
"items","elemek"
"Now Shopping by","Aktív szűrőfeltételek"
"Previous","Előző"
"Remove","Eltávolítás"
"Remove This Item","Termék eltávolítása"
"Shop By","Szűrés"
"Clear All","Összes törlése"
"Shopping Options","Vásárlási beállítások"
"Layered Navigation","Réteges navigáció"
"Display Product Count","Termékek számának megjeleítése"
"Price Navigation Step Calculation","Price Navigation Step Calculation"
"Default Price Navigation Step","Default Price Navigation Step"
"Maximum Number of Price Intervals","Ár intervallumok maximális száma"
"Maximum number of price intervals is 100","Az ár intervallumok maximális száma 100"
"Display Price Interval as One Price","Display Price Interval as One Price"
"This setting will be applied when all prices in the specific price interval are equal.","Ez a beállítás akkor lesz használatban, amikor minden ár egy megadott intervallumon belül egyenlő."
"Interval Division Limit","Interval Division Limit"
"Please specify the number of products, that will not be divided into subintervals.","Please specify the number of products, that will not be divided into subintervals."
"Position of attribute in layered navigation block","Position of attribute in layered navigation block"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.
                    <br>Price is not compatible with <b>'Filterable (no results)'</b> option - 
                     it will make no affect on Price filter.","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.
                    <br>Price is not compatible with <b>'Filterable (no results)'</b> option - 
                     it will make no affect on Price filter."
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.","Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price."
"Can be used only with catalog input type Yes/No (Boolean), Dropdown, Multiple Select and Price.","Can be used only with catalog input type Yes/No (Boolean), Dropdown, Multiple Select and Price."
