"Save and Continue Edit","ಉಳಿಸಿ ಮತ್ತು ಸಂಪಾದನೆಯನ್ನು ಮುಂದುವರೆಸಿ"
"You must enable the shared catalog feature in Stores -> Configuration -> B2B Features 
    to use the shared catalogs in the storefront. Otherwise, the categories and products you're 
    configuring in shared catalogs will not be restricted to customers.","You must enable the shared catalog feature in Stores -> Configuration -> B2B Features 
    to use the shared catalogs in the storefront. Otherwise, the categories and products you're 
    configuring in shared catalogs will not be restricted to customers."
"Next","ಮುಂದೆ"
"Edit Configurations","ಸಂರಚನೆಗಳನ್ನು ಸಂಪಾದಿಸಿ"
"Products in Catalog","Products in Catalog"
"Continue to configure the shared catalog structure and pricing.","Continue to configure the shared catalog structure and pricing."
"Store:","ಮಳಿಗೆ:"
"Step 2: Set Custom Prices","Step 2: Set Custom Prices"
"Step 1: Select Products for Catalog","Step 1: Select Products for Catalog"
"Website:","ಜಾಲತಾಣ:"
"Proceed","ಮುಂದುವರೆಯಿರಿ"
"Select All","ಎಲ್ಲವನ್ನೂ ಆರಿಸಿ"
"Deselect All","Deselect All"
"Assign","ವಹಿಸಿ"
"Unassign","Unassign"
"Fixed","ಸ್ಥಿರ"
"Discount","ರಿಯಾಯಿತಿ"
"Apply","ಅನ್ವಯಿಸಿ"
"Proceed to Store Configuration?","Proceed to Store Configuration?"
"You've made changes into the shared catalog. If you leave this page now, the changes will be lost.","You've made changes into the shared catalog. If you leave this page now, the changes will be lost."
"The maximum allowed catalog name length is {0} characters.","The maximum allowed catalog name length is {0} characters."
"Conflicting row.","Conflicting row."
"Generate Catalog","Generate Catalog"
"products","ಉತ್ಪನ್ನಗಳು"
"Expand All","ಎಲ್ಲವನ್ನು ವಿಸ್ತರಿಸಿ"
"Collapse All","ಎಲ್ಲವನ್ನೂ ಕುಗ್ಗಿಸಿ"
"of","of"
"included","ಒಳಗೊಂಡಿದೆ"
"Shared Catalog","Shared Catalog"
"Manage Shared Catalog","Manage Shared Catalog"
"Enable Shared Catalog","Enable Shared Catalog"
"To select No, please <a href=""%1"">create</a> the Public Catalog first.","To select No, please <a href=""%1"">create</a> the Public Catalog first."
"Use this field to change company's shared catalog","Use this field to change company's shared catalog"
"Group/Shared Catalog","Group/Shared Catalog"
"Product In Shared Catalogs","Product In Shared Catalogs"
"Change Catalog?","Change Catalog?"
"The selected companies are already using a different shared catalog. This action will change a shared catalog for selected companies. Would you like to continue?","The selected companies are already using a different shared catalog. This action will change a shared catalog for selected companies. Would you like to continue?"
"The selected companies will be unlinked from the current shared catalog and linked to the default public catalog. Would you like to continue?","The selected companies will be unlinked from the current shared catalog and linked to the default public catalog. Would you like to continue?"
"Assign Catalog","Assign Catalog"
"Unassign Catalog","Unassign Catalog"
"ID","ID"
"Company","ಸಂಸ್ಠೆ"
"Country","ದೇಶ"
"State/Province","ರಾಜ್ಯ"
"Assigned","ವಹಿಸಲಾಗಿದೆ"
"Catalog","Catalog"
"Action","ಕ್ರಿಯೆ"
"Shared Catalog Information","Shared Catalog Information"
"Catalog Details","Catalog Details"
"Public Catalog Already Exists","Public Catalog Already Exists"
"A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be assigned to the new public shared catalog.","A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be assigned to the new public shared catalog."
"Change Catalog Type?","Change Catalog Type?"
"A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be re-assigned to the new public shared catalog.","A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be re-assigned to the new public shared catalog."
"Add Shared Catalog","Add Shared Catalog"
"This action cannot be undone. Are you sure you want to delete this catalog(s)?","This action cannot be undone. Are you sure you want to delete this catalog(s)?"
"Delete items","ವಸ್ತುಗಳನ್ನು ಅಳಿಸಿ"
"Name","ಹೆಸರು"
"Type","ವಿಧ"
"Created At","Created At"
"Created By","ರಚಿಸಿದವರು"
"Select","ಆಯ್ಕೆಮಾಡಿ"
"discount-prompt","discount-prompt"
"This discount will be applied to all selected products. The custom price type will be set to 'Discount'.","This discount will be applied to all selected products. The custom price type will be set to 'Discount'."
"Set Discount","ರಿಯಾಯಿತಿ ಹೊಂದಿಸಿ"
"adjust-prices-prompt","adjust-prices-prompt"
"This discount will be applied to all selected products. The custom price type will be set to 'Fixed'.","This discount will be applied to all selected products. The custom price type will be set to 'Fixed'."
"Adjust Fixed Price","Adjust Fixed Price"
"SKU","SKU"
"Websites","ಜಾಲ ತಾಣಗಳು"
"Cost","ದರ"
"MSRP","MSRP"
"Price","ದರ"
"Custom Price","Custom Price"
"New Price","ಹೊಸ ಬೆಲೆ"
"Tax Class","ತೆರಿಗೆ ವರ್ಗ"
"All Store Views","ಎಲ್ಲಾ ಮಳಿಗೆ ನೋಟಗಳು"
"Store View","ಮಳಿಗೆ ನೋಟ"
"Thumbnail","ಕಿರುಚಿತ್ರ"
"Attribute Set","Attribute Set"
"Visibility","ಗೋಚರತೆ"
"Status","ಸ್ಥಿತಿ"
"tier_price_form","tier_price_form"
"Add Price","ದರವನ್ನು ಸೇರಿಸಿ"
"Website","ಜಾಲ ತಾಣ"
"Quantity","ಪರಿಮಾಣ"
"To select No, please <a href=""%s"">create</a> the Public Catalog first.","To select No, please <a href=""%s"">create</a> the Public Catalog first."
