"Save and Continue Edit","保存并继续编辑"
"Expand All","全部展开"
"Collapse All","全部折叠"
"of","为"
"included","included"
"Shared Catalog","Shared Catalog"
"Manage Shared Catalog","Manage Shared Catalog"
"Enable Shared Catalog","Enable Shared Catalog"
"To select No, please <a href=""%1"">create</a> the Public Catalog first.","To select No, please <a href=""%1"">create</a> the Public Catalog first."
"Use this field to change company's shared catalog","Use this field to change company's shared catalog"
"Group/Shared Catalog","Group/Shared Catalog"
"Product In Shared Catalogs","Product In Shared Catalogs"
"Change Catalog?","Change Catalog?"
"The selected companies are already using a different shared catalog. This action will change a shared catalog for selected companies. Would you like to continue?","The selected companies are already using a different shared catalog. This action will change a shared catalog for selected companies. Would you like to continue?"
"The selected companies will be unlinked from the current shared catalog and linked to the default public catalog. Would you like to continue?","The selected companies will be unlinked from the current shared catalog and linked to the default public catalog. Would you like to continue?"
"Assign Catalog","Assign Catalog"
"Unassign Catalog","Unassign Catalog"
"ID","编号ID"
"Company","地址"
"Country","国家"
"State/Province","州/省"
"Assigned","分配"
"Catalog","目录"
"Action","操作"
"Shared Catalog Information","Shared Catalog Information"
"Catalog Details","Catalog Details"
"Public Catalog Already Exists","Public Catalog Already Exists"
"A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be assigned to the new public shared catalog.","A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be assigned to the new public shared catalog."
"Change Catalog Type?","Change Catalog Type?"
"A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be re-assigned to the new public shared catalog.","A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be re-assigned to the new public shared catalog."
"Add Shared Catalog","Add Shared Catalog"
"This action cannot be undone. Are you sure you want to delete this catalog(s)?","This action cannot be undone. Are you sure you want to delete this catalog(s)?"
"Delete items","删除项目"
"Name","名字"
"Type","类型"
"Created At","创建于"
"Created By","Created By"
"Select","选择"
"discount-prompt","discount-prompt"
"This discount will be applied to all selected products. The custom price type will be set to 'Discount'.","This discount will be applied to all selected products. The custom price type will be set to 'Discount'."
"Set Discount","Set Discount"
"adjust-prices-prompt","adjust-prices-prompt"
"This discount will be applied to all selected products. The custom price type will be set to 'Fixed'.","This discount will be applied to all selected products. The custom price type will be set to 'Fixed'."
"Adjust Fixed Price","Adjust Fixed Price"
"SKU","商品编号SKU"
"Websites","网站"
"Cost","成本"
"MSRP","MSRP"
"Price","价格"
"Custom Price","自定义价格"
"New Price","New Price"
"Tax Class","税收类"
"All Store Views","所有商店界面"
"Store View","商店界面"
"Thumbnail","缩略图"
"Attribute Set","属性集"
"Visibility","可见性"
"Status","状态"
"tier_price_form","tier_price_form"
"Add Price","添加价格"
"Website","网站"
"Quantity","数量"
"To select No, please <a href=""%s"">create</a> the Public Catalog first.","To select No, please <a href=""%s"">create</a> the Public Catalog first."
