"Cancel","Annuleer"
"Preview","Voorbeeld"
"Done","Gereed"
"Remove from Update","Verwijder van update"
"Save","Opslaan"
"Schedule New Update","Nieuwe update plannen"
"View Specific Date","Bekijk specifieke datum"
"Date & Time","Datum & Tijd"
"This update not exists.","Deze update bestaat niet."
"Content Staging Dashboard","Content Staging Dashboard"
"The Start Time of this Update cannot be changed. It's been already started.","De begintijd van deze Update kan niet worden gewijzigd. Het reeds gestart."
"Future Update in this time range already exists. 
                            Select a different range to add a new Future Update.","Er bestaat al een toekomstige Update in deze periode.                              Selecteer een ander bereik om een nieuwe toekomstige update toe te voegen."
"Cannot save Update.","Kan Update niet opslaan."
"Edit Existing Update","Bewerk Bestaande Update"
"Assign to Another Update","Aan een andere update koppelen"
"Save as a New Update","Opslaan als nieuwe update"
"Assign to Existing Update","Toewijzen aan bestaande Update"
"You removed this %1 from the update and saved it in the other one.","%1 uit de update verwijderd en opgeslagen in een andere update."
"%1 is required parameter.","%1 is een verplichte parameter."
"You removed this %1 from the update.","Je hebt dit %1 verwijderd van de update."
"You removed this %1 from the update and saved it in a new one.","%1 uit de update verwijderd en opgeslagen in een nieuwe update."
"Invalid action type %1.","Ongeldig actie-type %1."
"Invalid action.","Ongeldige actie."
"Invalid parameter %1.","Ongeldige parameter %1."
"Something went wrong while removing the %1.","Er ging iets mis bij het verwijderen van de %1."
"The 'mode' value is unexpected.","De waarde van de 'mode' werd niet verwacht."
"You saved this %1 update.","Je hebt deze %1 update opgeslagen."
"Something went wrong while saving the %1.","Er ging iets mis bij het opslaan van de %1."
"Requested type does not have corresponding implementation","Gevraagde type heeft geen overeenkomende implementatie"
"Repository should return instance of %s","Repository moet een instantie van %s retourneren"
"Can not be rescheduled","Niet opnieuw kan worden gepland"
"Action class must implement ActionDataProviderInterface","Klasse action moet ActionDataProviderInterface implementeren"
"entity_type","entity_type"
"Delete Update","Update verwijderen"
"View/Edit","Bekijken/bewerken"
"Active","Actief"
"Upcoming","aankomend"
"Please select Name for Future Update.","Selecteer een naam voor toekomst Update."
"Please select Start Time for Future Update.","Gelieve een Start Tijd op te geven voor een toekomstige update."
"Future Update Start Time cannot be earlier than current time.","Toekomstige Update Start Tijd kan niet eerder zijn dan de huidige tijd."
"Future Update End Time cannot be equal or earlier than Start Time.","Toekomstige Update Eindtijd kan niet gelijk of eerder zijn dan de Begintijd."
"Future Update End Time cannot be earlier than current time.","Toekomstige Update Eind Tijd kan niet eerder zijn dan de huidige tijd."
"Update with id ""%1"" does not exist.","Update met id ""%1"" bestaat niet."
"Active update can not be deleted","Een actieve update kan niet worden verwijderd"
"Start time could not be changed while update active","Begintijd kan niet worden gewijzigd terwijl de update actief is"
"Unable to save Future Update.","Kan toekomstige update niet opslaan."
"Test","Test"
"Error","Foutmelding"
"Test Exception","Test uitzondering"
"This action is unavailable","Deze actie is niet beschikbaar"
"Magento Admin Panel","Magento Beheer Paneel"
"Calendar","Calender"
"Share","Delen"
"Close","Sluiten"
"Scope","Bereik"
"Scheduled Changes","Geplande wijzigingen"
"Start","Start"
"End","Einde"
"Belongs to ","Behoort tot"
"Please confirm scope switching. All data that hasn't been saved will be lost.","Bevestig wijziging toepassing niveau. Alle gegevens die nog niet opgeslagen zijn, zullen verloren gaan."
"Share Preview Link","Voorvertoning link delen"
"Staging","Enscenering"
"Create New Update","Nieuwe Update"
"Back","Terug"
"General","Algemeen"
"Status","status"
"Update Name","Update naam"
"Includes","Omvat"
"Start Time","Begin Tijd"
"End Time","Eindtijd"
"Description","Omschrijving"
