"Cancel","Annuleer"
"Preview","Voorbeeld"
"Done","Gereed"
"Remove from Update","Verwijder van update"
"Save","Opslaan"
"Schedule New Update","Nieuwe update plannen"
"View Specific Date","Bekijk specifieke datum"
"Date & Time","Datum & Tijd"
"This update not exists.","Deze update bestaat niet."
"Content Staging Dashboard","Content Staging Dashboard"
"The Start Time of this Update cannot be changed. It's been already started.","De begintijd van deze Update kan niet worden gewijzigd. Het reeds gestart."
"Future Update already exists in this time range. Set a different range and try again.","Future Update already exists in this time range. Set a different range and try again."
"Cannot save Update.","Kan Update niet opslaan."
"Edit Existing Update","Bewerk Bestaande Update"
"Assign to Another Update","Aan een andere update koppelen"
"Save as a New Update","Opslaan als nieuwe update"
"Assign to Existing Update","Toewijzen aan bestaande Update"
"You removed this %1 from the update and saved it in the other one.","%1 uit de update verwijderd en opgeslagen in een andere update."
"The required parameter is ""%1"". Set parameter and try again.","The required parameter is ""%1"". Set parameter and try again."
"You removed this %1 from the update.","Je hebt dit %1 verwijderd van de update."
"You removed this %1 from the update and saved it in a new one.","%1 uit de update verwijderd en opgeslagen in een nieuwe update."
"The ""%1"" action type is invalid. Verify the action type and try again.","The ""%1"" action type is invalid. Verify the action type and try again."
"The action is invalid. Verify the action and try again.","The action is invalid. Verify the action and try again."
"The ""%1"" parameter is invalid. Verify the parameter and try again.","The ""%1"" parameter is invalid. Verify the parameter and try again."
"Something went wrong while removing the %1.","Er ging iets mis bij het verwijderen van de %1."
"The 'mode' value is unexpected.","De waarde van de 'mode' werd niet verwacht."
"You saved this %1 update.","Je hebt deze %1 update opgeslagen."
"Something went wrong while saving the %1.","Er ging iets mis bij het opslaan van de %1."
"The type that was requested doesn't have a corresponding implementation. Verity the type and try again.","The type that was requested doesn't have a corresponding implementation. Verity the type and try again."
"%1 should implement %2","%1 should implement %2"
"Repository should return instance of %s","Repository moet een instantie van %s retourneren"
"Can not be rescheduled","Niet opnieuw kan worden gepland"
"Action class needs to implement ActionDataProviderInterface. Verify action class and try again.","Action class needs to implement ActionDataProviderInterface. Verify action class and try again."
"entity_type","entity_type"
"Delete Update","Update verwijderen"
"View/Edit","Bekijken/bewerken"
"Active","Actief"
"Upcoming","aankomend"
"The Name for Future Update needs to be selected. Select and try again.","The Name for Future Update needs to be selected. Select and try again."
"The Start Time for Future Update needs to be selected. Select and try again.","The Start Time for Future Update needs to be selected. Select and try again."
"The Future Update Start Time is invalid. It can't be later than current time + %1 years.","The Future Update Start Time is invalid. It can't be later than current time + %1 years."
"The Future Update End Time is invalid. It can't be later than current time + %1 years.","The Future Update End Time is invalid. It can't be later than current time + %1 years."
"The Future Update Start Time is invalid. It can't be earlier than the current time.","The Future Update Start Time is invalid. It can't be earlier than the current time."
"The Future Update End Time is invalid. It can't be the same time or earlier than the current time.","The Future Update End Time is invalid. It can't be the same time or earlier than the current time."
"The Future Update End Time is invalid. It can't be earlier than the current time.","The Future Update End Time is invalid. It can't be earlier than the current time."
"The update with the ""%1"" ID doesn't exist. Verify the ID and try again.","The update with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The active update can't be deleted.","The active update can't be deleted."
"The start time can't be changed while the update is active. Please wait until the update is complete and try again.","The start time can't be changed while the update is active. Please wait until the update is complete and try again."
"The future update was unable to be saved. Please try again.","The future update was unable to be saved. Please try again."
"Test","Test"
"Error","Foutmelding"
"Test Exception","Test uitzondering"
"This action is unavailable","Deze actie is niet beschikbaar"
"Magento Admin Panel","Magento Beheer Paneel"
"Calendar","Calender"
"Share","Delen"
"Close","Sluiten"
"Scope","Bereik"
"Scheduled Changes","Geplande wijzigingen"
"Select","Select"
"Selected","Selected"
"We couldn't find any records.","We couldn't find any records."
"Start","Start"
"End","Einde"
"Selected Update\:","Selected Update\:"
"Starting\:","Starting\:"
"Ending\:","Ending\:"
"Status","status"
"This update includes","This update includes"
"Objects","Objects"
"To Start","To Start"
"To End","To End"
"Belongs to ","Behoort tot"
"Please confirm scope switching. All data that hasn't been saved will be lost.","Bevestig wijziging toepassing niveau. Alle gegevens die nog niet opgeslagen zijn, zullen verloren gaan."
"Share Preview Link","Voorvertoning link delen"
"Staging","Enscenering"
"Create New Update","Nieuwe Update"
"Back","Terug"
"General","Algemeen"
"Update Name","Update naam"
"Includes","Omvat"
"Start Time","Begin Tijd"
"End Time","Eindtijd"
"Description","Omschrijving"
