"Cancel","Bekor qilish"
"Preview","Preview"
"Done","Bajarildi"
"Remove from Update","Remove from Update"
"Save","Saqlash"
"Schedule New Update","Schedule New Update"
"View Specific Date","View Specific Date"
"Date & Time","Date & Time"
"This update not exists.","This update not exists."
"Content Staging Dashboard","Content Staging Dashboard"
"The Start Time of this Update cannot be changed. It's been already started.","The Start Time of this Update cannot be changed. It's been already started."
"Future Update already exists in this time range. Set a different range and try again.","Future Update already exists in this time range. Set a different range and try again."
"Cannot save Update.","Cannot save Update."
"Edit Existing Update","Edit Existing Update"
"Assign to Another Update","Assign to Another Update"
"Save as a New Update","Save as a New Update"
"Assign to Existing Update","Assign to Existing Update"
"You removed this %1 from the update and saved it in the other one.","You removed this %1 from the update and saved it in the other one."
"The required parameter is ""%1"". Set parameter and try again.","The required parameter is ""%1"". Set parameter and try again."
"You removed this %1 from the update.","You removed this %1 from the update."
"You removed this %1 from the update and saved it in a new one.","You removed this %1 from the update and saved it in a new one."
"The ""%1"" action type is invalid. Verify the action type and try again.","The ""%1"" action type is invalid. Verify the action type and try again."
"The action is invalid. Verify the action and try again.","The action is invalid. Verify the action and try again."
"The ""%1"" parameter is invalid. Verify the parameter and try again.","The ""%1"" parameter is invalid. Verify the parameter and try again."
"Something went wrong while removing the %1.","Something went wrong while removing the %1."
"The 'mode' value is unexpected.","The 'mode' value is unexpected."
"You saved this %1 update.","You saved this %1 update."
"Something went wrong while saving the %1.","Something went wrong while saving the %1."
"The type that was requested doesn't have a corresponding implementation. Verity the type and try again.","The type that was requested doesn't have a corresponding implementation. Verity the type and try again."
"%1 should implement %2","%1 should implement %2"
"Repository should return instance of %s","Repository should return instance of %s"
"Can not be rescheduled","Can not be rescheduled"
"Action class needs to implement ActionDataProviderInterface. Verify action class and try again.","Action class needs to implement ActionDataProviderInterface. Verify action class and try again."
"entity_type","entity_type"
"Delete Update","Delete Update"
"View/Edit","View/Edit"
"Active","Faol"
"Upcoming","Upcoming"
"The Name for Future Update needs to be selected. Select and try again.","The Name for Future Update needs to be selected. Select and try again."
"The Start Time for Future Update needs to be selected. Select and try again.","The Start Time for Future Update needs to be selected. Select and try again."
"The Future Update Start Time is invalid. It can't be later than current time + %1 years.","The Future Update Start Time is invalid. It can't be later than current time + %1 years."
"The Future Update End Time is invalid. It can't be later than current time + %1 years.","The Future Update End Time is invalid. It can't be later than current time + %1 years."
"The Future Update Start Time is invalid. It can't be earlier than the current time.","The Future Update Start Time is invalid. It can't be earlier than the current time."
"The Future Update End Time is invalid. It can't be the same time or earlier than the current time.","The Future Update End Time is invalid. It can't be the same time or earlier than the current time."
"The Future Update End Time is invalid. It can't be earlier than the current time.","The Future Update End Time is invalid. It can't be earlier than the current time."
"The update with the ""%1"" ID doesn't exist. Verify the ID and try again.","The update with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The active update can't be deleted.","The active update can't be deleted."
"The start time can't be changed while the update is active. Please wait until the update is complete and try again.","The start time can't be changed while the update is active. Please wait until the update is complete and try again."
"The future update was unable to be saved. Please try again.","The future update was unable to be saved. Please try again."
"Test","Test"
"Error","Xato"
"Test Exception","Test Exception"
"This action is unavailable","This action is unavailable"
"Magento Admin Panel","Magento boshqaruv paneli"
"Calendar","Calendar"
"Share","Share"
"Close","Yoping"
"Scope","Scope"
"Scheduled Changes","Scheduled Changes"
"Select","Select"
"Selected","Selected"
"We couldn't find any records.","We couldn't find any records."
"Start","Start"
"End","End"
"Selected Update\:","Selected Update\:"
"Starting\:","Starting\:"
"Ending\:","Ending\:"
"Status","Holat"
"This update includes","This update includes"
"Objects","Objects"
"To Start","To Start"
"To End","To End"
"Belongs to ","Belongs to "
"Please confirm scope switching. All data that hasn't been saved will be lost.","Please confirm scope switching. All data that hasn't been saved will be lost."
"Share Preview Link","Share Preview Link"
"Staging","Staging"
"Create New Update","Create New Update"
"Back","Orqaga"
"General","Asosiy"
"Update Name","Update Name"
"Includes","Includes"
"Start Time","Boshlanish vaqti"
"End Time","End Time"
"Description","Ta'rif"
