"Cancel","Zrušit"
"Preview","Náhled"
"Done","Hotovo"
"Remove from Update","Remove from Update"
"Save","Uložit"
"Schedule New Update","Naplánovat novou aktualizaci"
"View Specific Date","View Specific Date"
"Date & Time","Datum a čas"
"This update not exists.","This update not exists."
"Content Staging Dashboard","Content Staging Dashboard"
"The Start Time of this Update cannot be changed. It's been already started.","The Start Time of this Update cannot be changed. It's been already started."
"Future Update in this time range already exists. 
                            Select a different range to add a new Future Update.","Future Update in this time range already exists. 
                            Select a different range to add a new Future Update."
"Cannot save Update.","Cannot save Update."
"Edit Existing Update","Edit Existing Update"
"Assign to Another Update","Assign to Another Update"
"Save as a New Update","Uložit jako novou aktualizaci"
"Assign to Existing Update","Assign to Existing Update"
"You removed this %1 from the update and saved it in the other one.","You removed this %1 from the update and saved it in the other one."
"%1 is required parameter.","%1 is required parameter."
"You removed this %1 from the update.","You removed this %1 from the update."
"You removed this %1 from the update and saved it in a new one.","You removed this %1 from the update and saved it in a new one."
"Invalid action type %1.","Invalid action type %1."
"Invalid action.","Neplatná akce."
"Invalid parameter %1.","Invalid parameter %1."
"Something went wrong while removing the %1.","Something went wrong while removing the %1."
"The 'mode' value is unexpected.","The 'mode' value is unexpected."
"You saved this %1 update.","You saved this %1 update."
"Something went wrong while saving the %1.","Something went wrong while saving the %1."
"Requested type does not have corresponding implementation","Requested type does not have corresponding implementation"
"Repository should return instance of %s","Repository should return instance of %s"
"Can not be rescheduled","Can not be rescheduled"
"Action class must implement ActionDataProviderInterface","Action class must implement ActionDataProviderInterface"
"entity_type","entity_type"
"Delete Update","Delete Update"
"View/Edit","Zobrazit / upravit"
"Active","Aktivní"
"Upcoming","Nadcházející"
"Please select Name for Future Update.","Please select Name for Future Update."
"Please select Start Time for Future Update.","Please select Start Time for Future Update."
"Future Update Start Time cannot be earlier than current time.","Future Update Start Time cannot be earlier than current time."
"Future Update End Time cannot be equal or earlier than Start Time.","Čas ukončení aktualizace musí následovat až po čase zahájení."
"Future Update End Time cannot be earlier than current time.","Future Update End Time cannot be earlier than current time."
"Update with id ""%1"" does not exist.","Update with id ""%1"" does not exist."
"Active update can not be deleted","Aktivní aktualizace nemůže být smazána"
"Start time could not be changed while update active","Start time could not be changed while update active"
"Unable to save Future Update.","Unable to save Future Update."
"Test","Test"
"Error","Chyba"
"Test Exception","Testovat výjimku"
"This action is unavailable","This action is unavailable"
"Magento Admin Panel","Magento správa"
"Calendar","Kalendář"
"Share","Sdílet"
"Close","Zavřít‏"
"Scope","Rozsah"
"Scheduled Changes","Plánované změny"
"Start","Od data"
"End","Do data"
"Belongs to ","Patří do "
"Please confirm scope switching. All data that hasn't been saved will be lost.","Potvrďte přepnutí rozsahu. Všechny neuložené změny budou ztraceny."
"Share Preview Link","Share Preview Link"
"Staging","Pracovní"
"Create New Update","Create New Update"
"Back","Zpět"
"General","Obecné"
"Status","Stav"
"Update Name","Název aktualizace"
"Includes","Zahrnuje"
"Start Time","Čas zahájení"
"End Time","Čas ukončení"
"Description","Popis"
