"Cancel","Batal"
"Preview","Pratinjau"
"Done","Selesai"
"Remove from Update","Hapus dari Pembaruan"
"Save","Simpan"
"Schedule New Update","Jadwalkan Pembaruan Baru"
"View Specific Date","Lihat Tanggal Tertentu"
"Date & Time","Tanggal & Waktu"
"This update not exists.","Pembaruan ini tidak ada."
"Content Staging Dashboard","Content Staging Dashboard"
"The Start Time of this Update cannot be changed. It's been already started.","Waktu Mulai Pembaruan ini tidak dapat diubah. Itu sudah siap dimulai."
"Future Update already exists in this time range. Set a different range and try again.","Future Update already exists in this time range. Set a different range and try again."
"Cannot save Update.","Tidak dapat menyimpan Pembaruan."
"Edit Existing Update","Edit Pembaruan Yang sudah ada"
"Assign to Another Update","Menetapkan ke Pembaruan Yang lain"
"Save as a New Update","Simpan sebagai Update baru"
"Assign to Existing Update","Menetapkan ke Pembaruan Yang sudah ada"
"You removed this %1 from the update and saved it in the other one.","You removed this %1 from the update and saved it in the other one."
"The required parameter is ""%1"". Set parameter and try again.","The required parameter is ""%1"". Set parameter and try again."
"You removed this %1 from the update.","Anda menghapus %1 dari pembaruan."
"You removed this %1 from the update and saved it in a new one.","You removed this %1 from the update and saved it in a new one."
"The ""%1"" action type is invalid. Verify the action type and try again.","The ""%1"" action type is invalid. Verify the action type and try again."
"The action is invalid. Verify the action and try again.","The action is invalid. Verify the action and try again."
"The ""%1"" parameter is invalid. Verify the parameter and try again.","The ""%1"" parameter is invalid. Verify the parameter and try again."
"Something went wrong while removing the %1.","Ada yang salah saat menyimpan %1."
"The 'mode' value is unexpected.","The 'mode' value is unexpected."
"You saved this %1 update.","Anda menyimpan pembaruan %1."
"Something went wrong while saving the %1.","Ada yang salah saat menyimpan %1."
"The type that was requested doesn't have a corresponding implementation. Verity the type and try again.","The type that was requested doesn't have a corresponding implementation. Verity the type and try again."
"%1 should implement %2","%1 should implement %2"
"Repository should return instance of %s","Repository should return instance of %s"
"Can not be rescheduled","Tidak dapat dijadawal ulang"
"Action class needs to implement ActionDataProviderInterface. Verify action class and try again.","Action class needs to implement ActionDataProviderInterface. Verify action class and try again."
"entity_type","entity_type"
"Delete Update","Hapus Pembaruan"
"View/Edit","Lihat / ubah"
"Active","Aktif"
"Upcoming","Mendatang"
"The Name for Future Update needs to be selected. Select and try again.","The Name for Future Update needs to be selected. Select and try again."
"The Start Time for Future Update needs to be selected. Select and try again.","The Start Time for Future Update needs to be selected. Select and try again."
"The Future Update Start Time is invalid. It can't be later than current time + %1 years.","The Future Update Start Time is invalid. It can't be later than current time + %1 years."
"The Future Update End Time is invalid. It can't be later than current time + %1 years.","The Future Update End Time is invalid. It can't be later than current time + %1 years."
"The Future Update Start Time is invalid. It can't be earlier than the current time.","The Future Update Start Time is invalid. It can't be earlier than the current time."
"The Future Update End Time is invalid. It can't be the same time or earlier than the current time.","The Future Update End Time is invalid. It can't be the same time or earlier than the current time."
"The Future Update End Time is invalid. It can't be earlier than the current time.","The Future Update End Time is invalid. It can't be earlier than the current time."
"The update with the ""%1"" ID doesn't exist. Verify the ID and try again.","The update with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The active update can't be deleted.","The active update can't be deleted."
"The start time can't be changed while the update is active. Please wait until the update is complete and try again.","The start time can't be changed while the update is active. Please wait until the update is complete and try again."
"The future update was unable to be saved. Please try again.","The future update was unable to be saved. Please try again."
"Test","Uji"
"Error","Kesalahan"
"Test Exception","Test Exception"
"This action is unavailable","Tindakan ini tidak tersedia"
"Magento Admin Panel","Panel Admin Magento"
"Calendar","Kalender"
"Share","Bagikan"
"Close","Tutup"
"Scope","Cakupan"
"Scheduled Changes","Jadwal berubah"
"Select","Select"
"Selected","Selected"
"We couldn't find any records.","We couldn't find any records."
"Start","Mulai"
"End","Akhir"
"Selected Update\:","Selected Update\:"
"Starting\:","Starting\:"
"Ending\:","Ending\:"
"Status","Keadaan"
"This update includes","This update includes"
"Objects","Objects"
"To Start","To Start"
"To End","To End"
"Belongs to ","Belongs to "
"Please confirm scope switching. All data that hasn't been saved will be lost.","Please confirm scope switching. All data that hasn't been saved will be lost."
"Share Preview Link","Bagikan Link Prantinjau"
"Staging","Staging"
"Create New Update","Buat Pembaruan Baru"
"Back","Kembali"
"General","Umum"
"Update Name","Nama Pembaruan"
"Includes","Termasuk"
"Start Time","Waktu mulai"
"End Time","Akhir Waktu"
"Description","Deskripsi"
