"Wish List","Λίστα Επιθυμιών"
"Wish List Sharing","Κοινή Χρήση Λίστας Επιθυμιών"
"My Wish List","Η λίστα επιθυμιών μου"
"%1's Wish List","Λίστα επιθυμιών του %1"
"Page not found.","Η σελίδα δεν βρέθηκε."
"We can't specify a product.","Δεν μπορούμε να καθορίσουμε ένα προϊόν."
"We can't add the item to Wish List right now: %1.","Δεν μπορούμε να προσθέσουμε το στοιχείο στη λίστα επιθυμιών αυτή τη στιγμή: %1."
"We can't add the item to Wish List right now.","Δεν μπορούμε να προσθέσουμε το στοιχείο στη λίστα επιθυμιών αυτή τη στιγμή."
"This product(s) is out of stock.","Αυτό το/τα προϊόν/προϊόντα είναι εξαντλημένο."
"We can't add the item to the cart right now.","Δεν μπορούμε να προσθέσουμε το στοιχείο στο καλάθι αυτή τη στιγμή."
"The Wish List item can't load at this time. Please try again later.","Το στοιχείο της Λίστας Επιθυμιών δεν μπορεί να φορτωθεί αυτή τη στιγμή. Παρακαλώ δοκιμάστε ξανά αργότερα."
"We can't configure the product right now.","Δεν μπορούμε να διαμορφώσουμε το προϊόν αυτή τη στιγμή."
"The cart item doesn't exist.","Δεν υπάρχει το στοιχείο καλαθιού."
"%1 has been moved to your wish list.","%1 έχει μετακινηθεί λίστα των επιθυμιών σας."
"We can't move the item to the wish list.","Δεν μπορούμε να μετακινήσουμε το στοιχείο στη λίστα επιθυμιών."
"You must login or register to add items to your wishlist.","Πρέπει να είστε συνδεδεμένος ή εγγεγραμμένος για να προσθέσετε στοιχεία στη λίστα επιθυμιών σας."
"We can't delete the item from Wish List right now because of an error: %1.","Δεν μπορούμε να διαγράψουμε το στοιχείο από τη λίστα επιθυμιών αυτή τη στιγμή εξαιτίας ενός σφάλματος: %1."
"We can't delete the item from the Wish List right now.","Δεν μπορούμε να διαγράψουμε το στοιχείο από τη λίστα επιθυμιών αυτή τη στιγμή."
"Incorrect CAPTCHA","Λάθος CAPTCHA"
"Message length must not exceed %1 symbols","Το μήκος του μηνύματος δεν πρέπει να υπερβαίνει τα %1 σύμβολα"
"Please enter an email address.","Παρακαλούμε εισάγετε μια διεύθυνση email."
