"Wish List","Lista de artículos deseados"
"Wish List Sharing","Compartir favoritos"
"My Wish List","Mi lista de favoritos"
"%1's Wish List","Lista de artículos %1"
"Page not found.","Página no encontrada."
"We can't specify a product.","No se puede especificar un artículo."
"We can't add the item to Wish List right now: %1.","No se puede añadir el elemento a lista de favoritos en este momento: %1."
"We can't add the item to Wish List right now.","No se puede añadir el elemento a lista de favoritos en este momento."
"You added %1 to your shopping cart.","Añadiste %1 a tu carrito de compras."
"This product(s) is out of stock.","Este producto(s) está fuera de stock."
"We can't add the item to the cart right now.","No se puede añadir el artículo al carrito de compras en este momento."
"We can't load the Wish List item right now.","We can't load the Wish List item right now."
"We can't configure the product right now.","No se puede configurar el artículo en este momento."
"The requested cart item doesn't exist.","The requested cart item doesn't exist."
"%1 has been moved to your wish list.","%1 se ha movido a su lista de deseos."
"We can't move the item to the wish list.","No podemos mover el elemento a la lista de favoritos."
"We can't delete the item from Wish List right now because of an error: %1.","No podemos eliminar el elemento de lista de favoritos en este momento debido a un error: %1."
"We can't delete the item from the Wish List right now.","No podemos eliminar el elemento de la lista de favoritos en este momento."
"Message length must not exceed %1 symbols","Longitud del mensaje no debe superar los %1 símbolos"
"Please enter an email address.","Por favor introduce una dirección de correo."
"This wish list can be shared %1 more times.","This wish list can be shared %1 more times."
"Please enter a valid email address.","Por favor, introduce una dirección de correo electrónico válida."
"Your wish list has been shared.","Su lista de deseos ha sido compartida."
"We can't delete item from Wish List right now.","No podemos eliminar elemento de la lista de favoritos en este momento."
"Can't save description %1","Imposible guardar la descripción %1"
"Can't update wish list","Imposible actualizar la lista de favoritos"
"%1 has been updated in your Wish List.","%1 se ha actualizado en su lista de deseos."
"We can't update your Wish List right now.","No podemos actualizar su lista de favoritos en este momento."
"The requested Wish List doesn't exist.","La lista solicitada no existe."
"We can't create the Wish List right now.","No podemos crear la lista de favoritos en este momento."
"%1 items","%1 artítulos"
"1 item","1 artículo"
"Comment","Comentario"
"Display number of items in wish list","Mostrar número de elementos en lista de deseos"
"Display item quantities","Artikelmengen anzeigen"
"An item option with code %1 already exists.","Ya existe una opción de artículo con el código %1."
"We can't specify a wish list.","No podemos especificar una lista de favoritos."
"Cannot specify product.","No se pudo especificar artículo."
"Product is not salable.","Producto no es vendible."
"Invalid item option format.","Formato de opción de artículo no válido."
"%1 for ""%2"".","%1 por ""%2""."
"We can't add this item to your shopping cart right now.","No se puede añadir este artículo al carrito de compras en este momento."
"We couldn't add the following product(s) to the shopping cart: %1.","No hemos podido añadir el siguiente producto(s) al carrito de la compras: %1."
"We can't update the Wish List right now.","No podemos crear la lista de favoritos en este momento."
"%1 product(s) have been added to shopping cart: %2.","%1 producto (s) se han agregado al carrito de compras: %2."
"Comment:","Comentario:"
"We cannot retrieve the Wish List.","No podemos recuperar la lista de artículos."
"%1's Wishlist","%1's lista de favoritos"
"We can't specify a wish list item.","No podemos especificar un elemento de la lista de favoritos."
"The product does not exist.","El artículo no existe."
"Test Phrase","Frase de prueba"
"message","mensaje"
"Message","Mensaje"
"error-message","mensaje de error"
"LocalizedException","Excepción localizada"
"Product Exception.","Excepción de producto."
"Localized Exception.","Excepción localizada."
"Are you sure you want to remove this item?","¿Está seguro de que quiere eliminar este elemento?"
"Special Price","Precio especial"
"Regular Price","Precio normal"
"Share Wish List","Compartir favoritos"
"Add All to Cart","Agregar todo al Carrito"
"Update Wish List","Actualizar favoritos"
"Move to Wishlist","A la lista de Productos"
"Add to Wish List","Añadir a lista de deseos"
"View Product","Ver Producto"
"Qty","Cantidad"
"Add to Cart","Agregar al Carrito"
"Availability","Disponibilidad"
"In stock","En stock"
