"Wish List","Kívánságlista"
"Wish List Sharing","Kívánságlista megosztása"
"My Wish List","Kívánságlistám"
"%1's Wish List","%1 kívánságlistája"
"Page not found.","Az oldal nem található."
"We can't specify a product.","We can't specify a product."
"We can't add the item to Wish List right now: %1.","We can't add the item to Wish List right now: %1."
"We can't add the item to Wish List right now.","We can't add the item to Wish List right now."
"You added %1 to your shopping cart.","%1 a kosárba került."
"This product(s) is out of stock.","Ez a termék nincs készleten."
"We can't add the item to the cart right now.","We can't add the item to the cart right now."
"We can't load the Wish List item right now.","We can't load the Wish List item right now."
"We can't configure the product right now.","We can't configure the product right now."
"The requested cart item doesn't exist.","The requested cart item doesn't exist."
"%1 has been moved to your wish list.","%1 átkerült a kívánságlistájára."
"We can't move the item to the wish list.","We can't move the item to the wish list."
"We can't delete the item from Wish List right now because of an error: %1.","We can't delete the item from Wish List right now because of an error: %1."
"We can't delete the item from the Wish List right now.","We can't delete the item from the Wish List right now."
"Message length must not exceed %1 symbols","Üzenet hossza nem haladhatja meg a %1 szimbólumot"
"Please enter an email address.","Kérlek, adj meg egy email címet."
"This wish list can be shared %1 more times.","This wish list can be shared %1 more times."
"Please enter a valid email address.","Kérjük, adjon meg egy érvényes email címet."
"Your wish list has been shared.","A kívánságlistád megosztva."
"We can't delete item from Wish List right now.","We can't delete item from Wish List right now."
"Can't save description %1","Can't save description %1"
"Can't update wish list","Nem lehet frissíteni a kívánságlistát"
"%1 has been updated in your Wish List.","%1 frissítve az Ön kívánságlistáján."
"We can't update your Wish List right now.","Jelenleg nem tudjuk frissíteni a kívánságlistát."
"The requested Wish List doesn't exist.","The requested Wish List doesn't exist."
"We can't create the Wish List right now.","We can't create the Wish List right now."
"%1 items","%1 elem"
"1 item","1 elem"
"Comment","Hozzászólás"
"Display number of items in wish list","A kívánság lista elemeinek a száma"
"Display item quantities","Termékmennyiségek megjelenítése"
"An item option with code %1 already exists.","Egy cikk lehetőség a %1 kóddal már létezik."
"We can't specify a wish list.","We can't specify a wish list."
"Cannot specify product.","Nem meghatározható termék."
"Product is not salable.","A termék nem eladható."
"Invalid item option format.","Érvénytelen opció formátum."
"%1 for ""%2"".","%1-t %2-ért."
"We can't add this item to your shopping cart right now.","Jelenleg ezt a terméket nem teheti a kosarába."
"We couldn't add the following product(s) to the shopping cart: %1.","We couldn't add the following product(s) to the shopping cart: %1."
"We can't update the Wish List right now.","We can't update the Wish List right now."
"%1 product(s) have been added to shopping cart: %2.","%1 termék bekerült a kosárba: %2."
"Comment:","Hozzászólás:"
"We cannot retrieve the Wish List.","Nem lehet visszanyerni a kívánságlistát."
"%1's Wishlist","%1's Wishlist"
"We can't specify a wish list item.","We can't specify a wish list item."
"The product does not exist.","A termék nem létezik."
"Test Phrase","Teszt mondat"
"message","üzenet"
"Message","Üzenet"
"error-message","hibaüzenet"
"LocalizedException","LocalizedException"
"Product Exception.","Product Exception."
"Localized Exception.","Localized Exception."
"Are you sure you want to remove this item?","Biztos vagy benne, hogy eltávolítod ezt az elemet?"
"Special Price","Special Price"
"Regular Price","Regular Price"
"Share Wish List","Kívánságlista megosztása"
"Add All to Cart","Minden elem kosárhoz adása"
"Update Wish List","Kívánságlista frissítése"
"Move to Wishlist","Kívánságlistára"
"Add to Wish List","Hozzáadás a kívánságlistához"
"View Product","Termék megtekintése"
"Qty","Mennyiség"
"Add to Cart","Kosárba"
"Availability","Elérhetőség"
"In stock","Raktáron"
"Out of stock","Nincs raktáron"
"Edit","Szerkesztés"
"Remove Item","Elem eltávolítása"
"Remove item","Elem eltávolítása"
"Add to Compare","Összehasonlításhoz ad"
"This Wish List has no Items","A kívánság lista üres"
"%1 has been added to your Wish List.","%1 is felkerült a kívánság listára."
"Click <a href=""%1"">here</a> to continue shopping.","Kattintson <a href=""%1""> ide</a> a vásárlás folytatásához."
"See Details","Részletek"
"Options Details","Lehetőségek leírása"
"RSS link to %1's wishlist","%1 kívánságlistájának RSS linkje"
"RSS Feed","RSS Feed"
"Product","Termék"
"Back","Vissza"
"Wish List is empty now.","A kívánságlista most üres."
"* Required Fields","* kitöltése kötelező"
"Sharing Information","Megosztási információk"
"Email addresses, separated by commas","Email címek, vesszővel elválasztva"
"Check here to link an RSS feed to your Wish List.","RSS folyamát itt tudja kívánság listájához kapcsolni."
"Last Added Items","Legutóbb hozzáadott termékek"
"Remove This Item","Termék eltávolítása"
"Go to Wish List","Tovább a kívánságlistához"
"You have no items in your wish list.","Nincsenek termékek a kívánságlistádban."
"Take a look at %customer_name's Wish List","Vessen egy pillantást %customer_name kívánságlistájára"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name vásárló, %store_name webáruházból meg akarja osztani veled ezt a kívánságlistát:"
"Message from %customer_name:","Message from %customer_name:"
"View all Wish List items","Minden kívánságlista termék megtekintése"
"Wish List Section","Kívánságlista szekció"
"Share Options","Megosztási beállítások"
"Email Sender","Email feladója"
"Email Template","Email sablon"
"Email template chosen based on theme fallback when ""Default"" option is selected.","A kiválasztott email sablon alapján a tartalék téma amikor az ""Alapértelmezett"" opció van kiválasztva."
"Max Emails Allowed to be Sent","Maximálisan kiküldhető Emailek száma"
"Email Text Length Limit","Email szövegének maximális hossza"
"General Options","Általános beállítások"
"Enabled","Engedélyezve"
"My Wish List Link","Kívánságlistám linkje"
"Display Wish List Summary","Kívánságlista összefoglalójának mutatása"
"Enable RSS","RSS engedélyezése"
"No Items Found","A keresett termék nem található"
"Product Name","Terméknév"
"User Description","Felhasználói Leírás"
"Quantity","Mennyiség"
"Add Locale","Hely hozzáadása"
"Add Date","Dátum hozzáadása"
"Days in Wish List","Napja a kívánságlistán"
"Action","Akció"
"Configure","Konfigurálás"
"Delete","Törlés"
"Product Details and Comment","Termék részletek és megjegyzések"
