"Wish List","İstek listesi"
"Wish List Sharing","İstek Listesi Paylaşma"
"My Wish List","İstek listem"
"%1's Wish List","%1'in istek listesi"
"Page not found.","Sayfa bulunamadı."
"We can't specify a product.","Bir ürün belirlenemiyor."
"We can't add the item to Wish List right now: %1.","Şu anda dilek listesine öğe eklenemiyor: %1."
"We can't add the item to Wish List right now.","Şuan istek listesine eleman ekleyemiyoruz."
"You added %1 to your shopping cart.","%1 alışveriş sepetinize eklendi."
"This product(s) is out of stock.","Bu ürün(ler) stokta bulunmamaktadır."
"We can't add the item to the cart right now.","Şuan karta ürün elemanı ekleyemiyoruz."
"We can't load the Wish List item right now.","We can't load the Wish List item right now."
"We can't configure the product right now.","Şu anda ürün yapılandırılamıyor."
"The requested cart item doesn't exist.","The requested cart item doesn't exist."
"%1 has been moved to your wish list.","%1 istek listenize taşındı."
"We can't move the item to the wish list.","Elemanı istek listesine taşıyamıyoruz."
"We can't delete the item from Wish List right now because of an error: %1.","Şuan istek listesinden elemanı silemiyoruz sebep olan hata: %1."
"We can't delete the item from the Wish List right now.","Şuan istek listek listesinden elemanı silemiyoruz."
"Message length must not exceed %1 symbols","Mesaj uzunluğu %1 sembolleri aşmamalıdır"
"Please enter an email address.","Lütfen bir e-posta adresi girin."
"This wish list can be shared %1 more times.","This wish list can be shared %1 more times."
"Please enter a valid email address.","Lütfen geçerli bir e-mail adresi girin."
"Your wish list has been shared.","Dilek listeniz paylaşıldı."
"We can't delete item from Wish List right now.","Şuan istek listesinden elemanı silemiyoruz."
"Can't save description %1","Açıklama kaydedilemiyor %1"
"Can't update wish list","İstek listesi güncellenemiyor"
"%1 has been updated in your Wish List.","%1 istek listenizde güncelleştirildi."
"We can't update your Wish List right now.","Şuan istek listenizi güncelleyemiyoruz."
"The requested Wish List doesn't exist.","Ulaşılmaya çalışılan istek listesi kayıtlı değildir."
"We can't create the Wish List right now.","Şuan istek listesini oluşturamıyoruz."
"%1 items","%1 ögeler"
"1 item","1 nesne"
"Comment","Yorum"
"Display number of items in wish list","İstek listesindeki ürün sayısını göster"
"Display item quantities","Ürün miktarlarını göster"
"An item option with code %1 already exists.","%1 kodlu öğe seçeneği zaten mevcut."
"We can't specify a wish list.","İstek listesi belirleyemiyoruz."
"Cannot specify product.","Ürün seçilemedi."
"Product is not salable.","Ürün satılamaz."
"Invalid item option format.","Hatalı ürün seçeneği biçimi."
"%1 for ""%2"".","""%2"" için %1."
"We can't add this item to your shopping cart right now.","Şu anda alışveriş sepetinize bu öğe ekleyemezsiniz."
"We couldn't add the following product(s) to the shopping cart: %1.","Alışveriş sepetine aşağıdaki ürün (ler) eklenemedi: %1."
"We can't update the Wish List right now.","Şuan istek listesini güncelleyemiyoruz."
"%1 product(s) have been added to shopping cart: %2.","%1 ürün (ler) alışveriş sepetine eklendi: %2."
"Comment:","Yorum:"
"We cannot retrieve the Wish List.","İstek Listesini geri alamıyoruz."
"%1's Wishlist","%1's İstek listesi"
"We can't specify a wish list item.","İstek listesi elemanını belirleyemiyoruz."
"The product does not exist.","Ürüne kaydına ulaşılamıyor."
"Test Phrase","Test Cümle"
"message","mesaj"
"Message","Mesaj"
"error-message","hata-mesajı"
"LocalizedException","Yerelleştirilmişİstisna"
"Product Exception.","Ürün istisnası."
"Localized Exception.","Yerelleşmiş İstisna."
"Are you sure you want to remove this item?","Bu öğeleri silmek istediğinizden emin misiniz?"
"Special Price","Özel fiyat"
"Regular Price","Normal fiyat"
"Share Wish List","İstek listesini paylaş"
"Add All to Cart","Hepsini Sepete Ekle"
"Update Wish List","İstek listesini güncelle"
"Move to Wishlist","Takip Listesine Taşı"
"Add to Wish List","İstek Listesine Ekle"
"View Product","Ürünü Göster"
"Qty","Miktar"
"Add to Cart","Sepete Ekle"
"Availability","Varlık"
"In stock","stokta mevcut"
"Out of stock","Stok mevcut değil"
"Edit","Düzenle"
"Remove Item","Ürünü Sil"
"Remove item","Ürünü Sil"
"Add to Compare","Karşılaştırma Listesine Ekle"
"This Wish List has no Items","Bu İstek Listesinin hiç öğesi yok"
"%1 has been added to your Wish List.","%1 İstek Listenize eklendi."
"Click <a href=""%1"">here</a> to continue shopping.","Alışverişe devam etmek için <a href=""%1""> buraya</a> tıklayın."
"See Details","Detaylara bak"
"Options Details","Seçeneklerin Detayları"
"RSS link to %1's wishlist","%1'in istek listesine RSS linki"
"RSS Feed","RSS Veri Akışı"
"Product","Ürün"
"Back","Geri"
"Wish List is empty now.","İstek listesi şuan boş."
"* Required Fields","* Zorunlu Alan"
"Sharing Information","Paylaşım Bilgisi"
"Email addresses, separated by commas","E-posta adresleri, virgülle ayrılmış"
"Check here to link an RSS feed to your Wish List.","Bir RSS yayınını İstek Listenize bağlamak için buraya bakın."
"Last Added Items","Son Eklenen Ürünler"
"Remove This Item","Bu ürünü sil"
"Go to Wish List","İstek listesine git"
"You have no items in your wish list.","İstek listenizde hiçbir ürün yok."
"Take a look at %customer_name's Wish List","%customer_name'in İstek Listesine bir göz atın"
"%customer_name wants to share this Wish List from %store_name with you:","% customer_name,% store_name ürünündeki bu İstek Listenizi sizinle paylaşmak istiyor:"
"Message from %customer_name:","Message from %customer_name:"
"View all Wish List items","Tüm istek listesi öğelerini görüntüle"
"Wish List Section","İstek Listesi Bölümü"
"Share Options","Paylaşım Seçenekleri"
"Email Sender","E-posta Göndericisi"
"Email Template","E-posta Şablonu"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-posta şablonu, ""Varsayılan"" seçeneği seçildiğinde temanın geri düşümü temel alınarak seçildi."
"Max Emails Allowed to be Sent","Maksimum e-postalar gönderilmeye izin verildi"
"Email Text Length Limit","E-posta mesajı uzunluk limiti"
"General Options","Genel Seçenekler"
"Enabled","Aktif edildi"
"My Wish List Link","İstek listem bağlantısı"
"Display Wish List Summary","İstek Listesinin Özetini Görüntüle"
"Enable RSS","RSS'i Aktif et"
"No Items Found","Ürün bulunamadı"
"Product Name","Ürün Adı"
"User Description","Kullanıcı açıklaması"
"Quantity","Miktar"
"Add Locale","Yerel ayar ekle"
"Add Date","Tarih ekle"
"Days in Wish List","İstek Listesindeki Gün Sayısı"
"Action","Eylem"
"Configure","Yapılandır"
"Delete","Sil"
"Product Details and Comment","Ürün Detayları ve Yorum"
"Add To Wishlist","Takip Listesine Ekle"
"Are you sure you want to remove this product from your Wish List?","Are you sure you want to remove this product from your Wish List?"
"%1 has been removed from your Wish List.","%1 Takip Listenizden kaldırıldı."
"10 by default. Max - 10000","Varsayılan 10. Maksimum - 10000"
"255 by default","255 by default"
"The Wish List item can't load at this time. Please try again later.","İstek Listesi öğesi şu anda yüklenemiyor. Lütfen daha sonra tekrar deneyiniz."
"The cart item doesn't exist.","Sepet öğesi yok."
"You must login or register to add items to your wishlist.","İstek listenize ürün ekleyebilmek için giriş yapmak veya kayıt olmak zorundasınız."
"Show in Sidebar","Kenar çubuğunda göster"
