"Wish List","ಇಚ್ಛಾಪಟ್ಟಿ"
"Wish List Sharing","ಇಚ್ಛಾಪಟ್ಟಿಯ ಹಂಚಿಕೆ"
"My Wish List","ನನ್ನ ಇಚ್ಛಾಪಟ್ಟಿ"
"%1's Wish List","%1 ರ ಇಚ್ಛಾಪಟ್ಟಿ"
"Page not found.","ಪುಟವು ಕಂಡುಬಂದಿಲ್ಲ."
"We can't specify a product.","ನಮಗೆ ಉತ್ಪನ್ನವನ್ನು ಸೂಚಿಸಲಾಗಲಿಲ್ಲ."
"We can't add the item to Wish List right now: %1.","ಈ ವಸ್ತುವನ್ನು ನಿಮ್ಮ ಇಚ್ಛಾಪಟ್ಟಿಗೆ ಸೇರಿಸಲು ಸಧ್ಯಕ್ಕೆ ನಮಗೆ ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ: %1."
"We can't add the item to Wish List right now.","ಈ ವಸ್ತುವನ್ನು ನಿಮ್ಮ ಇಚ್ಛಾಪಟ್ಟಿಗೆ ಸೇರಿಸಲು ಸಧ್ಯಕ್ಕೆ ನಮಗೆ ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ."
"You added %1 to your shopping cart.","ನೀವು ನಿಮ್ಮ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ %1 ಅನ್ನು ಸೇರಿಸಿದ್ದೀರಿ."
"This product(s) is out of stock.","ಈ ಉತ್ಪನ್ನ(ಗಳು) ದಾಸ್ತಾನಿನಲ್ಲಿಲ್ಲ."
"We can't add the item to the cart right now.","ಈ ವಸ್ತುವನ್ನು ನಿಮ್ಮ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಸೇರಿಸಲು ಸಧ್ಯಕ್ಕೆ ನಮಗೆ ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ."
"We can't load the Wish List item right now.","We can't load the Wish List item right now."
"We can't configure the product right now.","ನಾವು ಉತ್ಪನ್ನವನ್ನು ಸಂರಚಿಸಲಾಗುವುದಿಲ್ಲ."
"The requested cart item doesn't exist.","The requested cart item doesn't exist."
