"Wish List","Vēlmju saraksts"
"Wish List Sharing","Vēlmju saraksta koplietošana"
"My Wish List","Mans vēlmju saraksts"
"%1's Wish List","%1 vēlmju saraksts"
"Page not found.","Lapa nav atrasta."
"We can't specify a product.","Nevaram norādīt produktu."
"We can't add the item to Wish List right now: %1.","Nevar pievienot produktu Vēlmju sarakstam: %1."
"We can't add the item to Wish List right now.","Nevar pievienot produktu Vēlmju sarakstam."
"You added %1 to your shopping cart.","Jūs pievienojāt %1 grozam."
"This product(s) is out of stock.","Produkts(i) nav pieejams."
"We can't add the item to the cart right now.","Pašlaik nevar pievienot produktu grozam."
"We can't load the Wish List item right now.","We can't load the Wish List item right now."
"We can't configure the product right now.","Pašlaik nevar nokonfigurēt produktu."
"The requested cart item doesn't exist.","The requested cart item doesn't exist."
"%1 has been moved to your wish list.","%1 tika pievienots Vēlmju sarakstam."
"We can't move the item to the wish list.","Nevar pievienot produktu Vēlmju sarakstam."
"We can't delete the item from Wish List right now because of an error: %1.","Nevar nodzēst produktu no Vēlmju saraksta. Kļūda: %1."
"We can't delete the item from the Wish List right now.","Pašlaik nevar nodzēst produktu no Vēlmju saraksta."
"Message length must not exceed %1 symbols","Ziņas garums nevar pārsniegt %1 simbolus"
"Please enter an email address.","Ievadiet e-pasta adresi."
"This wish list can be shared %1 more times.","This wish list can be shared %1 more times."
"Please enter a valid email address.","Ievadiet derīgu e-pasta adresi."
"Your wish list has been shared.","Vēlmju saraksts tika koplietots."
"We can't delete item from Wish List right now.","Pašlaik nevar nodzēst produktu no Vēlmju saraksta."
"Can't save description %1","Nevar saglabāt aprakstu %1"
"Can't update wish list","Nevar atjaunot vēlmju sarakstu"
"%1 has been updated in your Wish List.","%1 tika atjaunots Vēlmju sarakstā."
"We can't update your Wish List right now.","Pašlaik nevar atjaunot Vēlmju sarakstu."
"The requested Wish List doesn't exist.","Pieprasītais vēlmju saraksts neeksistē."
"We can't create the Wish List right now.","Pašlaik nevar izveidot Vēlmju sarakstu."
"%1 items","%1 produkti"
"1 item","1 produkts"
"Comment","Komentārs"
"Display number of items in wish list","Parādīt produktu skaitu Vēlmju sarakstā"
"Display item quantities","Rādīt produktu skaitu"
"An item option with code %1 already exists.","Produkta opcija ar kodu %1 jau eksistē."
"We can't specify a wish list.","Nevar norādīt Vēlmju sarakstu."
"Cannot specify product.","Nevar norādīt produktu."
"Product is not salable.","Produkts nav pārdošanā."
"Invalid item option format.","Nepreizs produkta opcijas formāts."
"%1 for ""%2"".","%1 par ""%2""."
"We can't add this item to your shopping cart right now.","Pašlaik nevar pievienot grozma šo produktu."
"We couldn't add the following product(s) to the shopping cart: %1.","Grozam nevarēja pievienot sekojošus produktus: %1."
"We can't update the Wish List right now.","Pašlaik nevar atjaunot Vēlmju sarakstu."
"%1 product(s) have been added to shopping cart: %2.","%1 produkti tika pievienoti iepirkumu grozam: %2."
"Comment:","Komentārs:"
"We cannot retrieve the Wish List.","Nevar pieprasīt Vēlmju sarakstu."
"%1's Wishlist","%1 Vēlmju saraksts"
"We can't specify a wish list item.","Nevar norādīt Vēlmju saraksta produktu."
"The product does not exist.","Produkts neeksistē."
"Test Phrase","Testa frāze"
"message","ziņa"
"Message","Ziņa"
"error-message","kļūdas paziņojums"
"LocalizedException","LocalizedException"
"Product Exception.","Produkta izņēmums."
"Localized Exception.","Lokalizēts izņēmums."
"Are you sure you want to remove this item?","Vai tiešām vēlaties nodzēst šo produktu?"
"Special Price","Special Price"
"Regular Price","Regular Price"
"Share Wish List","Koplietot Vēlmju sarakstu"
"Add All to Cart","Pievienot grozam visus"
"Update Wish List","Atjaunot Vēlmju sarakstu"
"Move to Wishlist","Pārvietot uz vēlmju sarakstu"
"Add to Wish List","Pievienot vēlmju sarakstam"
"View Product","Apskatīt produktu"
"Qty","Skaits"
"Add to Cart","Pievienot grozam"
"Availability","Pieejamība"
"In stock","Noliktavā"
"Out of stock","Nav pieejams"
"Edit","Labot"
"Remove Item","Noņemt produktu"
