"Wish List","Список Бажань"
"Wish List Sharing","Wish List Sharing"
"My Wish List","Мій список бажань"
"%1's Wish List","%1 в список побажань"
"Page not found.","Сторінка не знайдена."
"We can't specify a product.","We can't specify a product."
"We can't add the item to Wish List right now: %1.","We can't add the item to Wish List right now: %1."
"We can't add the item to Wish List right now.","We can't add the item to Wish List right now."
"You added %1 to your shopping cart.","Ви додали %1 у Ваш кошик."
"This product(s) is out of stock.","This product(s) is out of stock."
"We can't add the item to the cart right now.","We can't add the item to the cart right now."
"We can't load the Wish List item right now.","We can't load the Wish List item right now."
"We can't configure the product right now.","We can't configure the product right now."
"The requested cart item doesn't exist.","The requested cart item doesn't exist."
"%1 has been moved to your wish list.","%1 has been moved to your wish list."
"We can't move the item to the wish list.","We can't move the item to the wish list."
"We can't delete the item from Wish List right now because of an error: %1.","We can't delete the item from Wish List right now because of an error: %1."
"We can't delete the item from the Wish List right now.","We can't delete the item from the Wish List right now."
"Message length must not exceed %1 symbols","Message length must not exceed %1 symbols"
"Please enter an email address.","Будь ласка, введіть адресу електронної пошти."
"This wish list can be shared %1 more times.","This wish list can be shared %1 more times."
"Please enter a valid email address.","Будь ласка, введіть коректну адресу електронної пошти."
"Your wish list has been shared.","Your wish list has been shared."
"We can't delete item from Wish List right now.","We can't delete item from Wish List right now."
"Can't save description %1","Can't save description %1"
"Can't update wish list","Не вдалося оновити список бажань"
"%1 has been updated in your Wish List.","%1 has been updated in your Wish List."
"We can't update your Wish List right now.","We can't update your Wish List right now."
"The requested Wish List doesn't exist.","The requested Wish List doesn't exist."
"We can't create the Wish List right now.","We can't create the Wish List right now."
"%1 items","%1 елементи(ів)"
"1 item","1 позиція"
"Comment","Коментар"
"Display number of items in wish list","Відобразити кількість товарів у списку побажань"
"Display item quantities","Відображати кількість елементу"
"An item option with code %1 already exists.","An item option with code %1 already exists."
"We can't specify a wish list.","We can't specify a wish list."
"Cannot specify product.","Cannot specify product."
"Product is not salable.","Product is not salable."
"Invalid item option format.","Invalid item option format."
"%1 for ""%2"".","%1 for ""%2""."
"We can't add this item to your shopping cart right now.","Наразі ми не можемо додати цю позицію до вашого кошику."
"We couldn't add the following product(s) to the shopping cart: %1.","We couldn't add the following product(s) to the shopping cart: %1."
"We can't update the Wish List right now.","We can't update the Wish List right now."
"%1 product(s) have been added to shopping cart: %2.","%1 product(s) have been added to shopping cart: %2."
"Comment:","Comment:"
"We cannot retrieve the Wish List.","We cannot retrieve the Wish List."
"%1's Wishlist","%1's Wishlist"
"We can't specify a wish list item.","We can't specify a wish list item."
"The product does not exist.","Продукт не існує."
"Test Phrase","Test Phrase"
"message","повідомлення"
"Message","Повідомлення"
"error-message","error-message"
"LocalizedException","LocalizedException"
"Product Exception.","Product Exception."
"Localized Exception.","Localized Exception."
"Are you sure you want to remove this item?","Ви впевнені, що хочете вилучити цю позицію?"
"Special Price","Special Price"
"Regular Price","Regular Price"
"Share Wish List","Share Wish List"
"Add All to Cart","Додати все до кошика"
"Update Wish List","Оновити список бажань"
"Move to Wishlist","Перемістити до списку бажань"
"Add to Wish List","Додати до Списку Бажань"
"View Product","View Product"
"Qty","Кіл-ть"
"Add to Cart","Додати в кошик"
"Availability","Наявність"
"In stock","В наявності"
"Out of stock","Немає у наявності"
"Edit","Редагувати"
"Remove Item","Видалити елемент"
"Remove item","Видалити елемент"
"Add to Compare","Додати до порівняння"
"This Wish List has no Items","This Wish List has no Items"
"%1 has been added to your Wish List.","%1 has been added to your Wish List."
"Click <a href=""%1"">here</a> to continue shopping.","Клацніть <a href=""%1""> тут</a> щоб продовжити покупки."
"See Details","Див. докладніше"
"Options Details","Параметри деталей"
"RSS link to %1's wishlist","RSS link to %1's wishlist"
"RSS Feed","RSS Feed"
"Product","Продукт"
"Back","Назад"
"Wish List is empty now.","Wish List is empty now."
"* Required Fields","* Обов'язкові поля"
"Sharing Information","Sharing Information"
"Email addresses, separated by commas","Email addresses, separated by commas"
"Check here to link an RSS feed to your Wish List.","Check here to link an RSS feed to your Wish List."
"Last Added Items","Last Added Items"
"Remove This Item","Видалити Цей Елемент"
"Go to Wish List","Go to Wish List"
"You have no items in your wish list.","У Вас немає товарів у списку бажань."
"Take a look at %customer_name's Wish List","Take a look at %customer_name's Wish List"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name wants to share this Wish List from %store_name with you:"
"Message from %customer_name:","Message from %customer_name:"
"View all Wish List items","View all Wish List items"
"Wish List Section","Wish List Section"
"Share Options","Share Options"
"Email Sender","Відправник електронного листа"
"Email Template","Шаблон електронного листа"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Шаблон електронного листа обрано на основі теми відступання, коли опція ""За замовчуванням"" обрана."
"Max Emails Allowed to be Sent","Max Emails Allowed to be Sent"
"Email Text Length Limit","Email Text Length Limit"
"General Options","General Options"
"Enabled","Ввімкнено"
"My Wish List Link","My Wish List Link"
"Display Wish List Summary","Display Wish List Summary"
"Enable RSS","Enable RSS"
"No Items Found","No Items Found"
"Product Name","Назва товару"
"User Description","User Description"
"Quantity","Кількість"
"Add Locale","Add Locale"
"Add Date","Add Date"
"Days in Wish List","Днів у Списку Бажань"
"Action","Дія"
"Configure","Налаштувати"
"Delete","Видалити"
"Product Details and Comment","Product Details and Comment"
"Add To Wishlist","Add To Wishlist"
"Are you sure you want to remove this product from your Wish List?","Are you sure you want to remove this product from your Wish List?"
"%1 has been removed from your Wish List.","%1 has been removed from your Wish List."
"10 by default. Max - 10000","10 за замовчуванням. Максимум - 10000"
"255 by default","255 by default"
"The Wish List item can't load at this time. Please try again later.","The Wish List item can't load at this time. Please try again later."
"The cart item doesn't exist.","The cart item doesn't exist."
"You must login or register to add items to your wishlist.","You must login or register to add items to your wishlist."
"Show in Sidebar","Show in Sidebar"
