"Wish List","Lista desideri"
"Wish List Sharing","Condivisione della lista desideri"
"My Wish List","La mia lista desideri"
"%1's Wish List","Lista desideri di %1"
"Page not found.","Pagina non trovata."
"We can't specify a product.","Non è possibile specificare un prodotto."
"We can't add the item to Wish List right now: %1.","In questo momento è impossibile aggiungere l'articolo alla lista dei desideri: %1."
"We can't add the item to Wish List right now.","In questo momento è impossibile aggiungere l'articolo alla lista dei desideri."
"You added %1 to your shopping cart.","Hai aggiunto %1 al tuo carrello."
"This product(s) is out of stock.","Questi prodotti non sono disponibili."
"We can't add the item to the cart right now.","In questo momento è impossibile aggiungere l'articolo al carrello."
"We can't load the Wish List item right now.","We can't load the Wish List item right now."
"We can't configure the product right now.","Non è possibile configurare il prodotto in questo momento."
"The requested cart item doesn't exist.","The requested cart item doesn't exist."
"%1 has been moved to your wish list.","%1 è stato spostato nella tua lista desideri."
"We can't move the item to the wish list.","Non è possibile spostare l'elemento nella lista desideri."
"We can't delete the item from Wish List right now because of an error: %1.","Non è possibile eliminare l'elemento dalla lista desideri in questo momento a causa di un errore: %1."
"We can't delete the item from the Wish List right now.","Non è possibile eliminare l'elemento dalla lista desideri in questo momento."
"Message length must not exceed %1 symbols","La lunghezza del messaggio non deve superare i %1 caratteri"
"Please enter an email address.","Inserisci un indirizzo email."
"This wish list can be shared %1 more times.","This wish list can be shared %1 more times."
"Please enter a valid email address.","Prego inserisci un indirizzo email valido."
"Your wish list has been shared.","La tua lista desideri è stata condivisa."
"We can't delete item from Wish List right now.","Non è possibile eliminare l'elemento dalla lista desideri in questo momento."
"Can't save description %1","Impossibile salvare la descrizione %1"
"Can't update wish list","Non è possibile aggiornare la lista desideri"
"%1 has been updated in your Wish List.","%1 è stato aggiornato nella tua lista desideri."
"We can't update your Wish List right now.","Non è possibile aggiornare la lista desideri in questo momento."
"The requested Wish List doesn't exist.","La lista desideri richiesta non esiste."
"We can't create the Wish List right now.","Non è possibile creare la lista desideri in questo momento."
"%1 items","%1 elementi"
"1 item","1 elemento"
"Comment","Commento"
"Display number of items in wish list","Mostra il numero di elementi nella lista desideri"
"Display item quantities","Mostra quantità articolo"
"An item option with code %1 already exists.","Un'opzione dell'articolo con il codice %1 esiste già."
"We can't specify a wish list.","Non è possibile specificare una lista desideri."
"Cannot specify product.","Non è possibile specificare il prodotto."
"Product is not salable.","Il prodotto non è in vendita."
"Invalid item option format.","Formato opzioni elemento non valido."
"%1 for ""%2"".","%1 per ""%2""."
"We can't add this item to your shopping cart right now.","Al momento è impossibile aggiungere questo articolo al carrello."
"We couldn't add the following product(s) to the shopping cart: %1.","Non è possibile aggiungere i prodotti seguenti al carrello: %1."
"We can't update the Wish List right now.","Non è possibile aggiornare la lista desideri in questo momento."
"%1 product(s) have been added to shopping cart: %2.","%1 prodotti sono stati aggiunti al carrello: %2."
"Comment:","Commento:"
"We cannot retrieve the Wish List.","Non è possibile recuperare la lista desideri."
"%1's Wishlist","Lista desideri di %1"
"We can't specify a wish list item.","Non è possibile specificare un elemento della lista desideri."
"The product does not exist.","Il prodotto non esiste."
"Test Phrase","Frase di prova"
"message","messaggio"
"Message","Messaggio"
"error-message","messaggio di errore"
"LocalizedException","LocalizedException"
"Product Exception.","Eccezione prodotto."
"Localized Exception.","Eccezione localizzata."
"Are you sure you want to remove this item?","Sei sicuro di voler eliminare questo elemento?"
"Special Price","Special Price"
"Regular Price","Regular Price"
"Share Wish List","Condividi lista desideri"
"Add All to Cart","Aggiungi tutto al carrello"
"Update Wish List","Aggiorna lista desideri"
"Move to Wishlist","Sposta alla lista desideri"
"Add to Wish List","Aggiungi alla lista desideri"
"View Product","Visualizza prodotto"
"Qty","Qtà"
"Add to Cart","Aggiungi al Carrello"
"Availability","Disponibilita'"
"In stock","Disponibile"
"Out of stock","Non Disponibile"
"Edit","Modifica"
"Remove Item","Rimuovi elemento"
"Remove item","Rimuovi il prodotto"
"Add to Compare","Aggiungi al confronto"
"This Wish List has no Items","La lista desideri non ha elementi"
"%1 has been added to your Wish List.","%1 è stato aggiunto nella tua lista desideri."
"Click <a href=""%1"">here</a> to continue shopping.","Clicca <a href=""%1"">qui</a> per proseguire con gli acquisti."
"See Details","Vedi dettagli"
"Options Details","Dettagli opzioni"
"RSS link to %1's wishlist","Link RSS alla lista desideri di %1"
"RSS Feed","Feed RSS"
"Product","Prodotto"
"Back","Indietro"
"Wish List is empty now.","La lista desideri in questo momento è vuota."
"* Required Fields","* Campi obbligatori"
"Sharing Information","Informazioni di condivisione"
"Email addresses, separated by commas","Indirizzi email, separati da virgole"
"Check here to link an RSS feed to your Wish List.","Controlla qui per collegare un feed RSS alla lista desideri."
"Last Added Items","Ultimi elementi aggiunti"
"Remove This Item","Rimuovi questo articolo"
"Go to Wish List","Vai alla lista desideri"
"You have no items in your wish list.","Non ci sono articoli nella lista desideri."
"Take a look at %customer_name's Wish List","Date un'occhiata alla lista dei desideri di %customer_name"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name vuole condividere questa lista desideri da %store_name con te:"
"Message from %customer_name:","Message from %customer_name:"
"View all Wish List items","Mostra tutti gli elementi della lista desideri"
"Wish List Section","Sezione lista dei desideri"
"Share Options","Opzioni di condivisione"
"Email Sender","Mittente email"
"Email Template","Template email"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Il template email scelto basato su fallback del tema quando è selezionata l'opzione ""Predefinito""."
"Max Emails Allowed to be Sent","Email massime permesse per essere inviate"
"Email Text Length Limit","Limite lunghezza del testo nelle email"
"General Options","Opzioni Generali"
"Enabled","Abilitato"
"My Wish List Link","Link alla Lista desideri"
"Display Wish List Summary","Mostra riepilogo Lista desideri"
"Enable RSS","Abilita RSS"
"No Items Found","Nessun elemento trovato"
"Product Name","Nome prodotto"
"User Description","Descrizione dell'utente"
"Quantity","Quantità"
"Add Locale","Aggiungi localizzazione"
"Add Date","Aggiungi data"
"Days in Wish List","Giorni nella lista desideri"
"Action","Azione"
"Configure","Configura"
"Delete","Elimina"
"Product Details and Comment","Commento e dettagli prodotto"
"Add To Wishlist","Add To Wishlist"
"Are you sure you want to remove this product from your Wish List?","Are you sure you want to remove this product from your Wish List?"
"%1 has been removed from your Wish List.","%1 has been removed from your Wish List."
"10 by default. Max - 10000","10 per default. Max - 10000"
"255 by default","255 by default"
