"Wish List","Ønskeliste"
"Wish List Sharing","Ønskeliste deling"
"My Wish List","Min ønskeseddel"
"%1's Wish List","%1's ønskeliste"
"Page not found.","Siden blev ikke fundet."
"We can't specify a product.","We can't specify a product."
"We can't add the item to Wish List right now: %1.","We can't add the item to Wish List right now: %1."
"We can't add the item to Wish List right now.","We can't add the item to Wish List right now."
"You added %1 to your shopping cart.","Du har tilføjet %1 til din indkøbskurv."
"This product(s) is out of stock.","Denne vare er udsolgt."
"We can't add the item to the cart right now.","Vi kan ikke føje denne vare til din indkøbskurv lige nu."
"We can't load the Wish List item right now.","We can't load the Wish List item right now."
"We can't configure the product right now.","We can't configure the product right now."
"The requested cart item doesn't exist.","The requested cart item doesn't exist."
"%1 has been moved to your wish list.","%1 er blevet flyttet til din ønskeliste."
"We can't move the item to the wish list.","We can't move the item to the wish list."
"We can't delete the item from Wish List right now because of an error: %1.","We can't delete the item from Wish List right now because of an error: %1."
"We can't delete the item from the Wish List right now.","We can't delete the item from the Wish List right now."
"Message length must not exceed %1 symbols","Besked længde må ikke overstige %1 tegn"
"Please enter an email address.","Indtast en e-mailadresse."
"This wish list can be shared %1 more times.","This wish list can be shared %1 more times."
"Please enter a valid email address.","Angiv venligst en gyldig e-mail adresse."
"Your wish list has been shared.","Din ønskeliste er blevet delt."
"We can't delete item from Wish List right now.","We can't delete item from Wish List right now."
"Can't save description %1","Can't save description %1"
"Can't update wish list","Can't update wish list"
"%1 has been updated in your Wish List.","%1 er blevet opdateret i din ønskeliste."
"We can't update your Wish List right now.","We can't update your Wish List right now."
"The requested Wish List doesn't exist.","The requested Wish List doesn't exist."
"We can't create the Wish List right now.","We can't create the Wish List right now."
"%1 items","%1 varer"
"1 item","1 vare"
"Comment","Kommenter"
"Display number of items in wish list","Vise antallet af varer i ønskeliste"
"Display item quantities","Få vist vare antal"
"An item option with code %1 already exists.","En vare mulighed med kode %1 allerede findes."
"We can't specify a wish list.","We can't specify a wish list."
"Cannot specify product.","Kan ikke angive produkt."
"Product is not salable.","Produktet er ikke salgbart."
"Invalid item option format.","Invalid item option format."
"%1 for ""%2"".","%1 for ""%2""."
"We can't add this item to your shopping cart right now.","Vi kan ikke føje dette produkt til din indkøbskurv lige nu."
"We couldn't add the following product(s) to the shopping cart: %1.","Vi kunne ikke tilføje følgende produkt(er) til din indkøbskurv: %1."
"We can't update the Wish List right now.","We can't update the Wish List right now."
"%1 product(s) have been added to shopping cart: %2.","%1 product(s) have been added to shopping cart: %2."
"Comment:","Kommentar:"
"We cannot retrieve the Wish List.","Vi kan ikke hente ønskelisten."
"%1's Wishlist","%1's Wishlist"
"We can't specify a wish list item.","We can't specify a wish list item."
"The product does not exist.","Produktet findes ikke."
"Test Phrase","Test sætning"
"message","besked"
"Message","Besked"
"error-message","fejlmeddelelse"
"LocalizedException","Localiseringsundtagelser"
"Product Exception.","Product Exception."
"Localized Exception.","Lokaliseret undtagelse."
"Are you sure you want to remove this item?","Er du sikker på at du vil fjerne dette element?"
"Special Price","Special Price"
"Regular Price","Regular Price"
"Share Wish List","Del ønskeliste"
"Add All to Cart","Tilføj alle til indkøbskurv"
"Update Wish List","Opdater ønskeliste"
"Move to Wishlist","Flyt til ønskeseddel"
"Add to Wish List","Tilføj til ønske liste"
"View Product","Se produkt"
"Qty","Antal"
"Add to Cart","Læg i kurv"
"Availability","Tilgængelighed"
"In stock","På lager"
"Out of stock","Udsolgt"
"Edit","Redigér"
"Remove Item","Fjern vare"
"Remove item","Fjern vare"
"Add to Compare","Sammenlign"
"This Wish List has no Items","Denne ønskeliste indeholder ingen elementer"
"%1 has been added to your Wish List.","%1 er blevet tilføjet til din ønskeliste."
"Click <a href=""%1"">here</a> to continue shopping.","Klik <a href=""%1""> her</a> for at fortsætte med at handle."
"See Details","Se detaljer"
"Options Details","Detaljer for valgmuligheder"
"RSS link to %1's wishlist","RSS link to %1's wishlist"
"RSS Feed","RSS-feed"
"Product","Produkt"
"Back","Tilbage"
"Wish List is empty now.","Wish List is empty now."
"* Required Fields","* Påkrævede felter"
"Sharing Information","Sharing Information"
"Email addresses, separated by commas","Email addresses, separated by commas"
"Check here to link an RSS feed to your Wish List.","Check here to link an RSS feed to your Wish List."
"Last Added Items","Sidste tilføjet elementer"
"Remove This Item","Fjern dette produkt"
"Go to Wish List","Go to Wish List"
"You have no items in your wish list.","Du har ingen varer på din ønskeliste."
"Take a look at %customer_name's Wish List","Take a look at %customer_name's Wish List"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name wants to share this Wish List from %store_name with you:"
"Message from %customer_name:","Message from %customer_name:"
"View all Wish List items","View all Wish List items"
"Wish List Section","Wish List Section"
"Share Options","Share Options"
"Email Sender","E-mail afsender"
"Email Template","Email skabelon"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-mail skabelon valgt baseret på temaets fallback når ""Standard"" indstilling er markeret."
"Max Emails Allowed to be Sent","Max Emails Allowed to be Sent"
"Email Text Length Limit","Email Text Length Limit"
"General Options","General Options"
"Enabled","Aktiveret"
"My Wish List Link","My Wish List Link"
"Display Wish List Summary","Display Wish List Summary"
"Enable RSS","Enable RSS"
"No Items Found","No Items Found"
"Product Name","Produktnavn"
"User Description","User Description"
"Quantity","Antal"
"Add Locale","Add Locale"
"Add Date","Tilføj dato"
"Days in Wish List","Days in Wish List"
"Action","Handling"
"Configure","Konfigurer"
"Delete","Slet"
"Product Details and Comment","Product Details and Comment"
"Add To Wishlist","Add To Wishlist"
"Are you sure you want to remove this product from your Wish List?","Are you sure you want to remove this product from your Wish List?"
"%1 has been removed from your Wish List.","%1 er blevet fjernet fra din ønskeliste."
"10 by default. Max - 10000","10 som standard. Max - 10000"
"255 by default","255 by default"
"The Wish List item can't load at this time. Please try again later.","The Wish List item can't load at this time. Please try again later."
"The cart item doesn't exist.","The cart item doesn't exist."
"You must login or register to add items to your wishlist.","Du skal være logget ind eller registrere dig for at tilføje varer til din ønskeliste."
"Show in Sidebar","Show in Sidebar"
