"Wish List","Ønskeliste"
"Wish List Sharing","Del ønskelisten"
"My Wish List","Min ønskeliste"
"%1's Wish List","%1's ønskeliste"
"Page not found.","Siden finnes ikke."
"We can't specify a product.","We can't specify a product."
"We can't add the item to Wish List right now: %1.","We can't add the item to Wish List right now: %1."
"We can't add the item to Wish List right now.","We can't add the item to Wish List right now."
"This product(s) is out of stock.","Dette produktet er ikke på lager."
"We can't add the item to the cart right now.","Vi kan ikke legge til produkt i handlekurv nå."
"The Wish List item can't load at this time. Please try again later.","The Wish List item can't load at this time. Please try again later."
"We can't configure the product right now.","Vi kan ikke konfigurere produktet akkurat nå."
"The cart item doesn't exist.","The cart item doesn't exist."
"%1 has been moved to your wish list.","%1 har blitt flyttet til ønskelisten din."
"We can't move the item to the wish list.","We can't move the item to the wish list."
"You must login or register to add items to your wishlist.","Du må logge deg inn eller registre deg for å kunne legge til varer i ønskelisten din."
"We can't delete the item from Wish List right now because of an error: %1.","We can't delete the item from Wish List right now because of an error: %1."
"We can't delete the item from the Wish List right now.","We can't delete the item from the Wish List right now."
"Incorrect CAPTCHA","Incorrect CAPTCHA"
"Message length must not exceed %1 symbols","Lengde på beskjed kan ikke overskride %1 symbols"
"Please enter an email address.","Skriv inn en e-postadresse."
"Maximum of %1 emails can be sent.","Maximum of %1 emails can be sent."
"Please enter a valid email address.","Vennligst skriv inn en gyldig e-postadresse."
"Your wish list has been shared.","Ønskelisten er delt."
"We can't delete item from Wish List right now.","We can't delete item from Wish List right now."
"%1 has been updated in your Wish List.","%1 er oppdatert i ønskelisten."
"Can't save description %1","Kan ikke lagre beskrivelse %1"
"Can't update wish list","Kan ikke oppdatere ønskeliste"
"We can't update your Wish List right now.","Vi kan ikke oppdatere ønskelisten akkurat nå."
"You added %1 to your shopping cart.","Du har lagt til %1 i handlekurven."
"The requested Wish List doesn't exist.","The requested Wish List doesn't exist."
"We can't create the Wish List right now.","We can't create the Wish List right now."
"%1 items","%1 produkter"
"1 item","1 produkt"
"Comment","Kommentar"
"Display number of items in wish list","Vis antall varer i ønskelisten"
"Display item quantities","Vise vareantall"
"An item option with code %1 already exists.","An item option with code %1 already exists."
"We can't specify a wish list.","We can't specify a wish list."
"Cannot specify product.","Kan ikke spesifisere produkt."
"Product is not salable.","Produktet er ikke til salgs."
"Invalid item option format.","Ugyldig varevalg format."
"%1 for ""%2"".","%1 for ""%2""."
"We can't add this item to your shopping cart right now.","Vi kan ikke legge produkt til handlekurven akkurat nå."
"We couldn't add the following product(s) to the shopping cart: %1.","Vi kan ikke legge til følgende produkt(er) handlekurven: %1."
"We can't update the Wish List right now.","Vi kan ikke oppdatere ønskelisten akkurat nå."
"%1 product(s) have been added to shopping cart: %2.","%1 produkt(er) er lagt til handlekurven: %2."
"Comment:","Kommentar:"
"We cannot retrieve the Wish List.","Vi kan ikke hente ønskelisten."
"%1's Wishlist","%1's Wishlist"
"Cannot add product without stock to wishlist.","Cannot add product without stock to wishlist."
"We can't specify a wish list item.","We can't specify a wish list item."
"The product does not exist.","Produktet finnes ikke."
"Could not find a product with SKU ""%sku""","Could not find a product with SKU ""%sku"""
"The quantity of a wish list item cannot be 0","The quantity of a wish list item cannot be 0"
"The product is disabled","The product is disabled"
"Could not add the product with SKU ""%sku"" to the wishlist:: %message","Could not add the product with SKU ""%sku"" to the wishlist:: %message"
"Wrong format of the entered option data","Wrong format of the entered option data"
"Required fields are not present EnteredOption.uid, EnteredOption.value","Required fields are not present EnteredOption.uid, EnteredOption.value"
"The wishlist item with ID ""%id"" does not belong to the wishlist","The wishlist item with ID ""%id"" does not belong to the wishlist"
"Could not find a wishlist item with ID ""%id""","Could not find a wishlist item with ID ""%id"""
"We can't delete the item with ID ""%id"" from the Wish List right now.","We can't delete the item with ID ""%id"" from the Wish List right now."
"Test Phrase","Testuttrykk"
"message","melding"
"Message","Beskjed"
"error-message","feilmelding"
"LocalizedException","LokalisertUnntak"
"Product Exception.","Produkt unntak."
"Localized Exception.","Lokaliserte unntak."
"Are you sure you want to remove this item?","Er du sikker på at du vil fjerne denne varen?"
"Special Price","Special Price"
"Regular Price","Regular Price"
"Share Wish List","Del ønskelisten"
"Add All to Cart","Legg alt i handlekurv"
"Update Wish List","Oppdater ønskelisten"
"Move to Wishlist","Flytt til ønskeliste"
"Add to Wish List","Legg til i ønskeliste"
"View Product","Vis produkt"
"Qty","Antall"
"Add to Cart","Legg i handlekurv"
"Availability","Tilgjengelighet"
"In stock","På lager"
"Out of stock","Ikke på lager"
"Edit","Redigere"
"Remove Item","Fjern produkt"
"Remove item","Fjern produkt"
"Add to Compare","Legg til sammenligning"
"This Wish List has no Items","Denne ønskelisten har ingen varer"
"%1 has been added to your Wish List.","%1 er lagt til din ønskeliste."
