"Wish List","Toivelista"
"Wish List Sharing","Toivelistan jakaminen"
"My Wish List","Oma toivelista"
"%1's Wish List","Käyttäjän %1 toivelista"
"Page not found.","Sivua ei löydy."
"We can't specify a product.","We can't specify a product."
"We can't add the item to Wish List right now: %1.","Emme voi lisätä tätä tuotetta toivelistallesi juuri nyt: %1."
"We can't add the item to Wish List right now.","Emme voi lisätä tätä tuotetta toivelistallesi juuri nyt."
"You added %1 to your shopping cart.","Lisäsit %1 ostoskoriisi."
"This product(s) is out of stock.","Tämä tuote on loppu varastosta."
"We can't add the item to the cart right now.","We can't add the item to the cart right now."
"We can't load the Wish List item right now.","We can't load the Wish List item right now."
"We can't configure the product right now.","We can't configure the product right now."
"The requested cart item doesn't exist.","The requested cart item doesn't exist."
"%1 has been moved to your wish list.","%1 on siirretty toivelistallesi."
"We can't move the item to the wish list.","We can't move the item to the wish list."
"We can't delete the item from Wish List right now because of an error: %1.","We can't delete the item from Wish List right now because of an error: %1."
"We can't delete the item from the Wish List right now.","We can't delete the item from the Wish List right now."
"Message length must not exceed %1 symbols","Viestin pituus ei saa ylittää %1 symbolia"
"Please enter an email address.","Kirjoita sähköpostiosoite."
"This wish list can be shared %1 more times.","Tämä toivelista voidaan jakaa vielä %1 kertaa."
"Please enter a valid email address.","Syötä toimiva sähköpostiosoite."
"Your wish list has been shared.","Toivelistasi on jaettu."
"We can't delete item from Wish List right now.","We can't delete item from Wish List right now."
"Can't save description %1","Can't save description %1"
"Can't update wish list","Can't update wish list"
"%1 has been updated in your Wish List.","%1 on päivitetty toivelistallasi."
"We can't update your Wish List right now.","We can't update your Wish List right now."
"The requested Wish List doesn't exist.","The requested Wish List doesn't exist."
"We can't create the Wish List right now.","We can't create the Wish List right now."
"%1 items","%1 tuotetta"
"1 item","1 tuote"
"Comment","Kommentti"
"Display number of items in wish list","Näytä nimikkeiden määrä toivelistalla"
"Display item quantities","Näytä nimikkeiden määrät"
"An item option with code %1 already exists.","Nimikkeen vaihtoehto koodilla %1 on jo olemassa."
"We can't specify a wish list.","We can't specify a wish list."
"Cannot specify product.","Tuotetta ei voida määrittää."
"Product is not salable.","Tuote ei ole kysytty."
"Invalid item option format.","Virheellinen nimikkeen vaihtoehdon muoto."
"%1 for ""%2"".","%1 for ""%2""."
"We can't add this item to your shopping cart right now.","Emme voi lisätä tätä tuotetta ostoskoriisi juuri nyt."
"We couldn't add the following product(s) to the shopping cart: %1.","We couldn't add the following product(s) to the shopping cart: %1."
"We can't update the Wish List right now.","We can't update the Wish List right now."
"%1 product(s) have been added to shopping cart: %2.","%1 tuotetta on lisätty ostoskoriin: %2."
"Comment:","Kommentti:"
"We cannot retrieve the Wish List.","Toivelistaa ei voida noutaa."
