"Wish List","Wunschliste"
"Wish List Sharing","Sie haben keine Artikel auf Ihrer Wunschliste."
"My Wish List","Meine Wunschliste"
"%1's Wish List","%1's Wunschliste"
"Page not found.","Seite nicht gefunden."
"We can't specify a product.","Es konnte kein Produkt angegeben werden."
"We can't add the item to Wish List right now: %1.","Das Produkt konnte nicht zur Wunschliste hinzugefügt werden: %1."
"We can't add the item to Wish List right now.","Das Produkt konnte nicht zur Wunschliste hinzugefügt werden."
"You added %1 to your shopping cart.","Sie haben %1 in Ihren Warenkorb gelegt."
"This product(s) is out of stock.","Das Produkt ist nicht auf Lager."
"We can't add the item to the cart right now.","Das Produkt konnte nicht zum Warenkorb hinzugefügt werden."
"We can't load the Wish List item right now.","We can't load the Wish List item right now."
"We can't configure the product right now.","Das Produkt kann momentan nicht konfiguriert werden."
"The requested cart item doesn't exist.","The requested cart item doesn't exist."
"%1 has been moved to your wish list.","%1 wurde zu Ihrer Wunschliste hinzugefügt."
"We can't move the item to the wish list.","Das Element konnte nicht in die Wunschliste verschoben werden."
"We can't delete the item from Wish List right now because of an error: %1.","Infolge eines Fehlers kann das Produkt momentan nicht vom Wunschzettel gelöscht werden: %1."
"We can't delete the item from the Wish List right now.","Wir können den Artikel jetzt nicht vom Wunschzettel löschen."
"Message length must not exceed %1 symbols","Die Nachrichtenlänge darf %1 Zeichen nicht überschreiten"
"Please enter an email address.","Bitte geben Sie eine E-Mail-Adresse an."
"This wish list can be shared %1 more times.","This wish list can be shared %1 more times."
"Please enter a valid email address.","Bitte geben Sie eine gültige E-Mail-Adresse an."
"Your wish list has been shared.","Ihre Wunschliste wurde geteilt."
"We can't delete item from Wish List right now.","Artikel kann im Moment nicht vom Wunschzettel entfernt werden."
"Can't save description %1","Beschreibung %1 kann nicht gespeichert werden."
"Can't update wish list","Kann Wunschzettel nicht aktualisieren"
"%1 has been updated in your Wish List.","%1 wurde in Ihrer Wunschliste erneuert."
"We can't update your Wish List right now.","Die Wunschliste konnte nicht aktualisiert werden."
"The requested Wish List doesn't exist.","Die angeforderte Wunschliste existiert nicht."
"We can't create the Wish List right now.","Wir können die Wunschliste gerade nicht erstellen."
"%1 items","%1 Artikel"
"1 item","1 Artikel"
"Comment","Kommentar"
"Display number of items in wish list","Zeige Anzahl der Produkte in der Wunschliste"
"Display item quantities","Zeige Artikelanzahl"
"An item option with code %1 already exists.","Eine Artikeloption mit dem Code %1 existiert bereits."
"We can't specify a wish list.","Wir können den Wunschzettel nicht angeben."
"Cannot specify product.","Produkt kann nicht angegeben werden."
"Product is not salable.","Produkt ist nicht verkäuflich."
"Invalid item option format.","Ungültiges Artikel-Option-Format."
"%1 for ""%2"".","%1 für ""%2""."
"We can't add this item to your shopping cart right now.","Der Artikel konnte nicht in Ihren Warenkorb gelegt werden."
"We couldn't add the following product(s) to the shopping cart: %1.","Die folgenden Produkte konnten dem Warenkorb nicht hinzugefügt werden: %1."
"We can't update the Wish List right now.","Die Wunschliste konnte nicht aktualisiert werden."
"%1 product(s) have been added to shopping cart: %2.","%1 Produkt(e) wurden Ihrem Warenkorb hinzugefügt: %2."
"Comment:","Kommentar:"
"We cannot retrieve the Wish List.","Wir konnten die Wunschliste nicht abrufen."
"%1's Wishlist","%1's Wunschliste"
"We can't specify a wish list item.","Es kann kein Wunschzettelartikel angegeben werden."
"The product does not exist.","Der Artikel existiert nicht."
"Test Phrase","Test-Satz"
"message","Nachricht"
"Message","Nachricht"
"error-message","Fehlermeldung"
