"Wish List","Lista de Desejos"
"Wish List Sharing","Compartilhamento de Lista de Desejos"
"My Wish List","Minha Lista de Desejos"
"%1's Wish List","Lista de Desejos de %1"
"Page not found.","Página não encontrada."
"We can't specify a product.","Não podemos especificar um produto."
"We can't add the item to Wish List right now: %1.","Não podemos adicionar o item à Lista de Desejos agora: %1."
"We can't add the item to Wish List right now.","Não podemos adicionar o item à Lista de Desejos agora."
"You added %1 to your shopping cart.","Você adicionou %1 ao carrinho de compras."
"This product(s) is out of stock.","Este produto está em falta."
"We can't add the item to the cart right now.","Não podemos adicionar o item ao carrinho agora."
"We can't load the Wish List item right now.","Não podemos carregar o item da Lista de Desejos agora."
"We can't configure the product right now.","Não podemos configurar o produto agora."
"The requested cart item doesn't exist.","O item solicitado do carrinho não existe."
"%1 has been moved to your wish list.","%1 foi movido para sua lista de desejos."
"We can't move the item to the wish list.","Não podemos mover o item para lista de desejos."
"We can't delete the item from Wish List right now because of an error: %1.","Não podemos excluir o item da Lista de Desejos agora devido a um erro: %1."
"We can't delete the item from the Wish List right now.","Não é possível excluir o item da lista de desejos agora."
"Message length must not exceed %1 symbols","Tamanho da mensagem não deve exceder %1 caracteres"
"Please enter an email address.","Por favor, preencha um endereço de e-mail."
"This wish list can be shared %1 more times.","Esta lista de desejos pode ser compartilhada mais %1 vezes."
"Please enter a valid email address.","Por favor, insira um endereço de e-mail válido."
"Your wish list has been shared.","Sua lista de desejos foi compartilhada."
"We can't delete item from Wish List right now.","Não podemos excluir o item da Lista de Desejos agora."
"Can't save description %1","Não é possível salvar descrição %1"
"Can't update wish list","Não é possível atualizar a lista de desejos"
"%1 has been updated in your Wish List.","%1 foi atualizado em sua lista de desejos."
"We can't update your Wish List right now.","Não podemos atualizar sua lista de desejos agora."
"The requested Wish List doesn't exist.","A Lista de Desejos solicitada não existe."
"We can't create the Wish List right now.","Não podemos criar a Lista de Desejos agora."
"%1 items","%1 itens"
"1 item","1 artigo"
"Comment","Comente"
"Display number of items in wish list","Mostrar o número de itens na lista de desejos"
"Display item quantities","Exibir quantidades do item"
"An item option with code %1 already exists.","Uma opção de item com o código %1 já existe."
"We can't specify a wish list.","Não podemos especificar uma lista de desejos."
"Cannot specify product.","Não é possível especificar o produto."
"Product is not salable.","Produto não é vendável."
"Invalid item option format.","Opção de formato de item inválida."
"%1 for ""%2"".","%1 para ""%2""."
"We can't add this item to your shopping cart right now.","Nós não podemos adicionar este item ao seu carrinho de compras agora."
"We couldn't add the following product(s) to the shopping cart: %1.","Não podemos adicionar o(s) produto(s) a seguir no carrinho de compras: %1. "
"We can't update the Wish List right now.","Não podemos a atualizar a Lista de Desejos agora."
"%1 product(s) have been added to shopping cart: %2.","%1 produtos foram adicionados ao carrinho de compras: %2."
"Comment:","Comentar:"
"We cannot retrieve the Wish List.","Não podemos recuperar a Lista de Desejos."
"%1's Wishlist","Lista de Desejos de %1"
"We can't specify a wish list item.","Não podemos especificar um item da lista de desejos."
"The product does not exist.","Produto não existe."
"Test Phrase","Frase de Teste"
"message","mensagem"
"Message","Mensagem"
"error-message","mensagem-de-erro"
"LocalizedException","ExceçãoLocalizada"
"Product Exception.","Exceção de produto (Product Exception)."
"Localized Exception.","Exceção localizada."
"Are you sure you want to remove this item?","Tem certeza que deseja remover este item?"
"Special Price","Preço Especial"
"Regular Price","Preço Normal"
