"Wish List","Oblíbené"
"Wish List Sharing","Sdílení oblíbených"
"My Wish List","Mé oblíbené"
"%1's Wish List","%1 a jeho oblíbené"
"Page not found.","Stránka nebyla nalezena."
"We can't specify a product.","Produkt nelze určit."
"We can't add the item to Wish List right now: %1.","Tuto položku momentálně nelze k oblíbeným přidat: %1."
"We can't add the item to Wish List right now.","Tuto položku momentálně nelze k oblíbeným přidat."
"You added %1 to your shopping cart.","%1 byl vložen do košíku."
"This product(s) is out of stock.","Tento produkt není skladem."
"We can't add the item to the cart right now.","Tuto položku momentálně nelze do košíku přidat."
"We can't load the Wish List item right now.","We can't load the Wish List item right now."
"We can't configure the product right now.","Produkt momentálně nelze konfigurovat."
"The requested cart item doesn't exist.","The requested cart item doesn't exist."
"%1 has been moved to your wish list.","Produkt %1 byl přesunut do seznamu oblíbených."
"We can't move the item to the wish list.","Položku nelze přesunout k oblíbeným."
"We can't delete the item from Wish List right now because of an error: %1.","Položku nelze z oblíbených momentálně odstranit kvůli následující chybě: %1."
"We can't delete the item from the Wish List right now.","Položku nelze z oblíbených momentálně odstranit."
"Message length must not exceed %1 symbols","Zpráva může obsahovat maximálně %1 znaků"
"Please enter an email address.","Zadejte e-mailovou adresu prosím."
"This wish list can be shared %1 more times.","This wish list can be shared %1 more times."
"Please enter a valid email address.","Zadejte prosím platnou e-mailovou adresu."
"Your wish list has been shared.","Seznam oblíbených byl sdílen."
"We can't delete item from Wish List right now.","Tuto položku momentálně nelze z oblíbených odstranit."
"Can't save description %1","Nelze uložit popis %1"
"Can't update wish list","Seznam oblíbených nelze upravit"
"%1 has been updated in your Wish List.","%1 byl seznamu oblíbených upraven."
"We can't update your Wish List right now.","Seznam oblíbených momentálně nelze upravit."
"The requested Wish List doesn't exist.","Požadovaný seznam oblíbených neexistuje."
"We can't create the Wish List right now.","Seznam oblíbených momentálně nelze vytvořit."
"%1 items","%1 položek"
"1 item","1 položka"
"Comment","Komentář"
"Display number of items in wish list","Zobrazený počet produktů v oblíbených"
"Display item quantities","Zobrazit množství položky"
"An item option with code %1 already exists.","Možnost položky s kódem %1 již existuje."
"We can't specify a wish list.","Seznam oblíbených nelze určit."
"Cannot specify product.","Produkt nelze určit."
"Product is not salable.","Produkt není na prodej."
"Invalid item option format.","Neplatný formát volby položky."
"%1 for ""%2"".","%1 pro ""%2""."
"We can't add this item to your shopping cart right now.","Tuto položku momentálně nelze do košíku přidat."
"We couldn't add the following product(s) to the shopping cart: %1.","Následující produkty nelze přidat do nákupního košíku: %1."
"We can't update the Wish List right now.","Seznam oblíbených momentálně nelze upravit."
"%1 product(s) have been added to shopping cart: %2.","%1 produkt byl vložen do košíku: %2."
"Comment:","Komentář:"
"We cannot retrieve the Wish List.","Seznam oblíbených nelze načíst."
"%1's Wishlist","%1 a jeho seznam oblíbených"
"We can't specify a wish list item.","Položku v oblíbených nelze určit."
"The product does not exist.","Tento produkt neexistuje."
"Test Phrase","Testovací výraz"
"message","vzkaz"
"Message","Zpráva"
"error-message","chybova-zprava"
"LocalizedException","VýjimkaLokalizace"
"Product Exception.","Výjimka produktu."
"Localized Exception.","Výjimka lokalizace."
"Are you sure you want to remove this item?","Skutečně chcete tuto položku odebrat?"
"Special Price","Special Price"
"Regular Price","Regular Price"
"Share Wish List","Sdílet seznam"
"Add All to Cart","Vše přesunout do košíku"
"Update Wish List","Upravit seznam"
"Move to Wishlist","Přesunout do oblíbených"
"Add to Wish List","Přidat k oblíbeným"
"View Product","Zobrazit produkt"
"Qty","Množství"
"Add to Cart","Přidat do košíku"
"Availability","Dostupnost"
"In stock","Skladem"
"Out of stock","Není skladem"
"Edit","Upravit"
"Remove Item","Odebrat položku"
"Remove item","Odebrat položku"
"Add to Compare","Přidat k porovnání"
"This Wish List has no Items","Seznam oblíbených neobsahuje žádné položky"
"%1 has been added to your Wish List.","%1 has been added to your Wish List."
"Click <a href=""%1"">here</a> to continue shopping.","Pokračujte v nákupu <a href=""%1"">kliknutím zde</a>."
"See Details","Zobrazit podrobnosti"
"Options Details","Podrobnosti možnosti"
"RSS link to %1's wishlist","RSS zdroj seznamu oblíbených uživatele %1"
"RSS Feed","RSS zdroj"
"Product","Produkt"
"Back","Zpět"
"Wish List is empty now.","Seznam oblíbených neobsahuje žádné položky."
"* Required Fields","* Povinný údaj"
"Sharing Information","Vyplňte následující údaje"
"Email addresses, separated by commas","E-mailové adresy oddělené čárkou"
"Check here to link an RSS feed to your Wish List.","Odkaz na RSS zdroj seznamu oblíbených zkontrolujte zde."
"Last Added Items","Poslední přidané položky"
"Remove This Item","Odstranit tuto položku"
"Go to Wish List","Přejít do seznamu"
"You have no items in your wish list.","V oblíbených nemáte žádnou položku."
"Take a look at %customer_name's Wish List","Take a look at %customer_name's Wish List"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name chce s vámi sdílet tento seznam oblíbených z obchodu %store_name:"
"Message from %customer_name:","Message from %customer_name:"
"View all Wish List items","Zobrazit všechny oblíbené položky"
"Wish List Section","Sekce Seznam oblíbených"
"Share Options","Údaje sdílení"
"Email Sender","E-mail odesílatele"
"Email Template","Šablona e-mailu"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Je-li zvolena volba ""Výchozí"", e-mailová předloha je postavena na záložním tématu."
"Max Emails Allowed to be Sent","Limit počtu příjemců"
"Email Text Length Limit","Limit délky textu zprávy"
"General Options","Základní údaje"
"Enabled","Zapnuto"
"My Wish List Link"," Odkaz na mé oblíbené"
"Display Wish List Summary","Zobrazit souhrn seznamu"
"Enable RSS","Povolit RSS"
"No Items Found","Nebyly nenalezeny žádné položky"
"Product Name","Název produktu"
"User Description","Komentář zákazníka"
"Quantity","Množství"
"Add Locale","Přidat lokalitu"
"Add Date","Přidat datum"
"Days in Wish List","Dnů v oblíbených"
"Action","Akce"
"Configure","Nastavit"
"Delete","Smazat"
"Product Details and Comment","Údaje produktu a komentář"
"Add To Wishlist","Add To Wishlist"
"Are you sure you want to remove this product from your Wish List?","Are you sure you want to remove this product from your Wish List?"
"%1 has been removed from your Wish List.","%1 has been removed from your Wish List."
"10 by default. Max - 10000","10 by default. Max - 10000"
"255 by default","255 by default"
"The Wish List item can't load at this time. Please try again later.","The Wish List item can't load at this time. Please try again later."
"The cart item doesn't exist.","The cart item doesn't exist."
"You must login or register to add items to your wishlist.","You must login or register to add items to your wishlist."
"Show in Sidebar","Show in Sidebar"
