"Wish List","Listă de Dorințe"
"Wish List Sharing","Distribuiți lista de dorințe"
"My Wish List","Lista mea de Dorințe"
"%1's Wish List","Lista de Dorințe %1"
"Page not found.","Pagina nu a fost găsită."
"We can't specify a product.","Nu putem specifica un produs."
"We can't add the item to Wish List right now: %1.","Nu putem adăuga elementul la Favorite acum: %1."
"We can't add the item to Wish List right now.","Nu putem adăuga elementul la Favorite momentan."
"You added %1 to your shopping cart.","Ai adăugat %1 în coșul tău de cumpărături."
"This product(s) is out of stock.","Acest produs este epuizat din stoc."
"We can't add the item to the cart right now.","Nu putem adăuga produsul în coș acum."
"We can't load the Wish List item right now.","Nu putem încărca elementul din Lista de Dorințe acum."
"We can't configure the product right now.","Nu putem configura produsul momentan."
"The requested cart item doesn't exist.","Articolul de cos solicitat nu exista."
"%1 has been moved to your wish list.","%1 a fost mutat la lista de dorințe."
"We can't move the item to the wish list.","Nu putem muta elementul pe lista de dorințe."
"We can't delete the item from Wish List right now because of an error: %1.","Nu putem șterge elementul din lista de dorințe chiar acum din cauza unei erori: %1."
"We can't delete the item from the Wish List right now.","Nu putem șterge elementul din lista de dorințe acum."
"Message length must not exceed %1 symbols","Lungimea mesajului nu trebuie să depășească simbolurile %1"
"Please enter an email address.","Vă rugăm să introduceți o adresă de e-mail."
"This wish list can be shared %1 more times.","Această listă de dorințe poate fi partajată cu %1 de mai multe ori."
"Please enter a valid email address.","Te rog introdu o adresa de email valida."
"Your wish list has been shared.","Lista ta de dorințe a fost partajată."
"We can't delete item from Wish List right now.","Nu putem șterge elementul din lista de dorințe momentan."
"Can't save description %1","Nu se poate salva descrierea %1"
"Can't update wish list","Nu se poate actualiza lista de dorințe"
"%1 has been updated in your Wish List.","%1 A fost mutat la lista ta de dorințe."
"We can't update your Wish List right now.","Nu îți putem actualiza Lista de Dorințe acum."
"The requested Wish List doesn't exist.","Lista de Dorințe solicitată nu există."
"We can't create the Wish List right now.","Nu putem crea Lista de Dorințe acum."
"%1 items","%1 articole"
"1 item","1 articol"
"Comment","Comentariu"
"Display number of items in wish list","Afișează numărul de elemente în lista de dorințe"
"Display item quantities","Afișează cantitățile articolelor"
"An item option with code %1 already exists.","O opțiune de articol cu codul %1 există deja."
"We can't specify a wish list.","Nu putem specifica o listă de dorințe."
"Cannot specify product.","Produsul nu poate fi specificat."
"Product is not salable.","Produsul nu este vândut."
"Invalid item option format.","Formatul opțiunii produsului este invalid."
"%1 for ""%2"".","%1 pentru ""%2""."
"We can't add this item to your shopping cart right now.","Nu putem adaugă acest articol in coșul tău de cumpărături momentan."
"We couldn't add the following product(s) to the shopping cart: %1.","Nu am putut adăuga următoarele produse în coșul de cumpărături: %1."
"We can't update the Wish List right now.","Nu putem actualiza Lista de Dorințe acum."
"%1 product(s) have been added to shopping cart: %2.","%1 produs(e) au fost adăugate în coșul de cumpărături: %2."
"Comment:","Comentariu:"
"We cannot retrieve the Wish List.","Nu putem prelua Lista de Dorințe."
"%1's Wishlist","Lista de dorințe %1"
"We can't specify a wish list item.","Nu putem specifica un articol din lista de dorințe."
"The product does not exist.","Produsul nu exista."
"Test Phrase","Test Phrase"
"message","mesaj"
"Message","Mesaj"
"error-message","mesaj-eroare"
"LocalizedException","LocalizedException"
"Product Exception.","Excepție de produs."
"Localized Exception.","Excepţie localizată."
