"Wish List","Daftar Keinginan"
"Wish List Sharing","Berbagi Daftar Keinginan"
"My Wish List","Daftar Keinginan saya"
"%1's Wish List","%1's Wish List"
"Page not found.","Halaman tidak ditemukan."
"We can't specify a product.","Kami tidak dapat menentukan produk."
"We can't add the item to Wish List right now: %1.","Kami tidak dapat menambahkan item anda ke Daftar Keinginan sekarang: %1."
"We can't add the item to Wish List right now.","Kami tidak dapat menambahkan item ke Daftar Keinginan sekarang."
"You added %1 to your shopping cart.","Anda menambahkan %1 ke keranjang belanja anda."
"This product(s) is out of stock.","Produk(s) ini habis."
"We can't add the item to the cart right now.","Kami tidak dapat menambahkan item ke keranjang sekarang."
"We can't load the Wish List item right now.","We can't load the Wish List item right now."
"We can't configure the product right now.","Kami tidak dapat mengkonfigurasi produk sekarang."
"The requested cart item doesn't exist.","The requested cart item doesn't exist."
"%1 has been moved to your wish list.","%1 telah dipindahkan ke daftar keinginan anda."
"We can't move the item to the wish list.","Kami tidak dapat memindahkan item ke daftar keinginan."
"We can't delete the item from Wish List right now because of an error: %1.","Kami tidak dapat menghapus item dari Daftar Keinginan sekarang karena terjadi kesalahan: %1."
"We can't delete the item from the Wish List right now.","Kami tidak dapat menghapus item dari Daftar Keinginan sekarang."
"Message length must not exceed %1 symbols","Panjang pesan tidak boleh melebihi %1 simbol"
"Please enter an email address.","Silahkan masukkan alamat email."
"This wish list can be shared %1 more times.","This wish list can be shared %1 more times."
"Please enter a valid email address.","Silahkan masukkan alamat email yang valid."
"Your wish list has been shared.","Daftar keinginan anda telah dibagikan."
"We can't delete item from Wish List right now.","Kami tidak dapat menghapus item dari Daftar Keinginan sekarang."
"Can't save description %1","Tidak dapat menyimpan deskripsi %1"
"Can't update wish list","Tidak dapat perbarui daftar keinginan"
"%1 has been updated in your Wish List.","%1 telah diperbarui dalam daftar keinginan anda."
"We can't update your Wish List right now.","Kami tidak dapat memperbarui Daftar Keinginan anda sekarang."
"The requested Wish List doesn't exist.","Daftar Keinginan yang diminta tidak ada."
"We can't create the Wish List right now.","Kami tidak dapat membuat Daftar Keinginan anda sekarang."
"%1 items","%1 barang"
"1 item","1 barang"
"Comment","Komentar"
"Display number of items in wish list","Tampilkan nomer barang di daftar keinginan"
"Display item quantities","Tampilkan banyaknya barang"
"An item option with code %1 already exists.","Pilihan item dengan kode %1 sudah tersedia."
"We can't specify a wish list.","Kami tidak dapat menentukan daftar keinginan."
"Cannot specify product.","Cannot specify product."
"Product is not salable.","Produk tidak dapat dijual."
"Invalid item option format.","Format opsi tidak valid."
"%1 for ""%2"".","%1 untuk ""%2""."
"We can't add this item to your shopping cart right now.","Kami tidak dapat menambahkan item ini ke keranjang belanja anda sekarang."
"We couldn't add the following product(s) to the shopping cart: %1.","Kami tidak dapat menambahkan produk(s) berikutnya ke keranjang belanja: %1."
"We can't update the Wish List right now.","Kami tidak dapat memperbarui Daftar Keinginan sekarang."
"%1 product(s) have been added to shopping cart: %2.","%1 product(s) have been added to shopping cart: %2."
"Comment:","Komentar:"
"We cannot retrieve the Wish List.","We cannot retrieve the Wish List."
"%1's Wishlist","%1's Daftar keinginan"
"We can't specify a wish list item.","Kami tidak bisa menentukan item daftar keinginan."
"The product does not exist.","Produk tidak tersedia."
"Test Phrase","Uji Frase"
"message","pesan"
"Message","Pesan"
"error-message","error-message"
"LocalizedException","Pengecualian lokal"
"Product Exception.","Pengecualian Produk."
"Localized Exception.","Pengecualian Lokal."
"Are you sure you want to remove this item?","Apakah anda yakin ingin menghapus barang ini?"
"Special Price","Special Price"
"Regular Price","Regular Price"
"Share Wish List","Bagikan Daftar Keinginan"
"Add All to Cart","Tambahkan Semua ke Keranjang"
