"Wish List","Verlanglijst"
"Wish List Sharing","Verlanglijst Delen"
"My Wish List","Mijn verlanglijst"
"%1's Wish List","%1's Verlanglijst"
"Page not found.","Pagina niet gevonden."
"We can't specify a product.","We kunnen geen specifiek product weergeven."
"We can't add the item to Wish List right now: %1.","We kunnen het product niet toevoegen aan het verlanglijstje: %1."
"We can't add the item to Wish List right now.","We kunnen het product niet toevoegen aan het verlanglijstje."
"You added %1 to your shopping cart.","U heeft %1 aan uw winkelwagen toegevoegd."
"This product(s) is out of stock.","Dit product is niet op voorraad."
"We can't add the item to the cart right now.","We kunnen het product niet aan de winkelwagen toevoegen."
"We can't load the Wish List item right now.","We can't load the Wish List item right now."
"We can't configure the product right now.","We kunnen het product momenteel niet configureren."
"The requested cart item doesn't exist.","The requested cart item doesn't exist."
"%1 has been moved to your wish list.","%1 werd verplaatst naar uw verlanglijst."
"We can't move the item to the wish list.","We kunnen het product niet verplaatsen naar het verlanglijstje."
"We can't delete the item from Wish List right now because of an error: %1.","We kunnen het product niet verwijderen van de verlanglijst omwille van een fout: %1."
"We can't delete the item from the Wish List right now.","We kunnen het product momenteel niet van de verlanglijst verwijderen."
"Message length must not exceed %1 symbols","Lengte van het bericht mag niet meer dan %1 symbolen bevatten"
"Please enter an email address.","Voer een emailadres in."
"This wish list can be shared %1 more times.","This wish list can be shared %1 more times."
"Please enter a valid email address.","Vul een geldig e-mailadres in."
"Your wish list has been shared.","Uw verlanglijst is gedeeld."
"We can't delete item from Wish List right now.","We kunnen momenteel het product niet van uw verlanglijst verwijderen."
"Can't save description %1","Kan omschrijving %1 niet bewaren"
"Can't update wish list","Verlanglijst kan niet worden bijgewerkt"
"%1 has been updated in your Wish List.","%1 is bijgewerkt in uw verlanglijst."
"We can't update your Wish List right now.","Verlanglijst kan niet worden bijgewerkt."
"The requested Wish List doesn't exist.","De gevraagde verlanglijst bestaat niet."
"We can't create the Wish List right now.","We kunnen de verlanglijst momenteel niet aanmaken."
"%1 items","%1 producten"
"1 item","1 product"
"Comment","Opmerking"
"Display number of items in wish list","Toon aantal items in verlanglijst"
"Display item quantities","Artikel aantallen tonen"
"An item option with code %1 already exists.","Een product optie met code %1 bestaad reeds."
"We can't specify a wish list.","We kunnen geen verlanglijst weergeven."
"Cannot specify product.","Kan product niet specificeren"
"Product is not salable.","Product is niet verkoopbaar."
"Invalid item option format.","Ongeldig artikelkeuze formaat."
"%1 for ""%2"".","%1 voor ""%2""."
"We can't add this item to your shopping cart right now.","We kunnen dit product nu niet aan uw winkelwagen toevoegen."
"We couldn't add the following product(s) to the shopping cart: %1.","De volgende product(en) kon niet worden toegevoegd aan uw winkelwagen: %1."
"We can't update the Wish List right now.","Verlanglijst kan niet worden bijgewerkt."
"%1 product(s) have been added to shopping cart: %2.","%1 product(en) zijn toegevoegd aan uw winkelwagen: %2."
"Comment:","Opmerking:"
"We cannot retrieve the Wish List.","We kunnen de wens lijst niet ophalen."
"%1's Wishlist","%1's verlanglijst"
"We can't specify a wish list item.","We kunnen het verlanglijst product niet nader specifiëren."
"The product does not exist.","Het artikel bestaat niet"
"Test Phrase","Test zin"
"message","bericht"
"Message","Bericht"
"error-message","foutmelding"
"LocalizedException","LocalizedException"
"Product Exception.","Product uitzondering."
"Localized Exception.","Localizatie Fout."
"Are you sure you want to remove this item?","Weet u zeker dat u dit product wilt wissen?"
"Special Price","Special Price"
"Regular Price","Regular Price"
"Share Wish List","Verlanglijst delen"
"Add All to Cart","Alles toevoegen aan winkelwagen"
"Update Wish List","Wensenlijst updaten"
"Move to Wishlist","Verplaats naar verlanglijst"
"Add to Wish List","Voeg toe aan verlanglijst"
"View Product","Product bekijken"
"Qty","Aantal"
"Add to Cart","In Winkelwagen"
"Availability","Beschikbaarheid"
"In stock","Op voorraad"
"Out of stock","Niet op voorraad"
"Edit","Bewerken"
"Remove Item","Product verwijderen"
"Remove item","Verwijder dit artikel"
"Add to Compare","Toevoegen om te vergelijken"
"This Wish List has no Items","De verlanglijst heeft geen producten"
"%1 has been added to your Wish List.","%1 is toegevoegd aan uw verlanglijst."
"Click <a href=""%1"">here</a> to continue shopping.","Klik <a href=""%1"">hier</a> om verder te gaan met winkelen."
"See Details","Bekijk details"
"Options Details","Optie Details"
"RSS link to %1's wishlist","RSS-link naar %1’s verlanglijst"
"RSS Feed","RSS Feed"
"Product","Product"
"Back","Terug"
"Wish List is empty now.","Verlanglijst is nu leeg."
"* Required Fields","* Verplichte velden"
"Sharing Information","Informatie delen"
"Email addresses, separated by commas","E-mailadressen, gescheiden door komma’s"
"Check here to link an RSS feed to your Wish List.","Klik hier als u een RSS feed wil koppelen aan uw verlanglijst."
"Last Added Items","Laatst toegevoegde artikelen"
"Remove This Item","Verwijder dit artikel"
"Go to Wish List","Ga naar verlanglijst"
"You have no items in your wish list.","U hebt niets op uw verlanglijst staan."
"Take a look at %customer_name's Wish List","Bekijk %customer_name's verlanglijst"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name wil zijn verlanglijst op %store_name met jou delen:"
"Message from %customer_name:","Message from %customer_name:"
"View all Wish List items","Bekijk alle producten op verlanglijst"
"Wish List Section","Verlanglijstsectie"
"Share Options","Delen Opties"
"Email Sender","Afzender E-mail"
"Email Template","E-mail template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-mail sjabloon dat gekozen wordt op basis van thema fallback als de optie ""Standaard"" is geselecteerd."
"Max Emails Allowed to be Sent","Maximum aantal e-mails dat verzonden mag worden"
"Email Text Length Limit","E-mail tekst lengte limiet"
"General Options","Algemene Opties"
"Enabled","Ingeschakeld"
"My Wish List Link","Link naar verlanglijst"
"Display Wish List Summary","Toon samenvatting verlanglijst"
"Enable RSS","RSS inschakelen"
"No Items Found","Geen artikelen gevonden"
"Product Name","Product Naam"
"User Description","Omschrijving gebruiker"
"Quantity","Aantal"
"Add Locale","Locale toevoegen"
"Add Date","Datum toevoegen"
"Days in Wish List","Dagen in verlanglijst"
"Action","Actie"
"Configure","Configureren"
"Delete","Verwijder"
"Product Details and Comment","Productdetails en opmerkingen"
"Add To Wishlist","Add To Wishlist"
"Are you sure you want to remove this product from your Wish List?","Are you sure you want to remove this product from your Wish List?"
"%1 has been removed from your Wish List.","%1 has been removed from your Wish List."
"10 by default. Max - 10000","10 standaard. Max - 10000"
"255 by default","255 by default"
"The Wish List item can't load at this time. Please try again later.","The Wish List item can't load at this time. Please try again later."
"The cart item doesn't exist.","The cart item doesn't exist."
"You must login or register to add items to your wishlist.","U moet inloggen of registreren om items aan uw verlanglijstje toe te voegen."
"Show in Sidebar","In zijbalk weergeven"
