"Wish List","Daftar keinginan"
"Wish List Sharing","Wish List Sharing"
"My Wish List","Keinginanku"
"%1's Wish List","Daftar Keinginan %1"
"Page not found.","Halaman tidak ditemukan."
"We can't specify a product.","Kami tidak dapat menentukan produk."
"We can't add the item to Wish List right now: %1.","Kami tidak dapat menambahkan pilihan anda ke daftar sekarang juga:% 1."
"We can't add the item to Wish List right now.","Kami tidak dapat menambahkan pilihan anda ke daftar sekarang juga:% 1."
"You added %1 to your shopping cart.","%1 ke keranjang belanja Anda."
"This product(s) is out of stock.","Produk ini habis terjual."
"We can't add the item to the cart right now.","Kami tidak dapat menambahkan pilihan ke keranjang sekarang juga."
"We can't load the Wish List item right now.","We can't load the Wish List item right now."
"We can't configure the product right now.","Kami tidak dapat mengonfigurasi produk sekarang juga."
"The requested cart item doesn't exist.","The requested cart item doesn't exist."
"%1 has been moved to your wish list.","%1 telah dipindahkan ke daftar keinginan Anda."
"We can't move the item to the wish list.","Kami tidak dapat memindahkan pilihan ke daftar keinginan."
"We can't delete the item from Wish List right now because of an error: %1.","Kami tidak dapat menghapus pilihan dari daftar keinginan sekarang karena ada kesalahan:% 1."
"We can't delete the item from the Wish List right now.","Kami tidak dapat menghapus pilihan dari daftar Keinginan sekarang."
"Message length must not exceed %1 symbols","Panjang pesan tidak boleh melebihi simbol %1"
"Please enter an email address.","Silahkan masukan alamat email."
"This wish list can be shared %1 more times.","This wish list can be shared %1 more times."
"Please enter a valid email address.","Silakan isi alamat email."
"Your wish list has been shared.","Daftar keinginan Anda telah dibagikan."
"We can't delete item from Wish List right now.","Kami tidak dapat menghapus pilihan dari daftar keinginan sekarang."
"Can't save description %1","Tidak dapat menyimpan deskripsi %1"
"Can't update wish list","Daftar keinginan tidak bisa di perbaharui"
"%1 has been updated in your Wish List.","%1 telah diperbarui dalam Daftar Keinginan Anda."
"We can't update your Wish List right now.","Kami tidak dapat memperbarui daftar keinginan anda sekarang."
"The requested Wish List doesn't exist.","Daftar keinginan yang diminta tidak ada."
"We can't create the Wish List right now.","Kami tidak dapat membuat daftar keinginan anda sekarang juga."
"%1 items","%1 item"
"1 item","1 barang"
"Comment","Komentar"
"Display number of items in wish list","Display number of items in wish list"
"Display item quantities","Menampilkan jumlah item"
"An item option with code %1 already exists.","Pilihan item dengan kode %1 sudah ada."
"We can't specify a wish list.","Kami tidak dapat menentukan daftar keinginan."
"Cannot specify product.","Tidak dapat menentukan produk."
"Product is not salable.","Produk tidak laku."
"Invalid item option format.","Format opsi item tidak valid."
"%1 for ""%2"".","%1 untuk ""%2""."
"We can't add this item to your shopping cart right now.","Kami tidak dapat menambahkan pilihan ini ke keranjang belanja Anda sekarang juga."
"We couldn't add the following product(s) to the shopping cart: %1.","Kami tidak dapat menambahkan produk berikutnya ke keranjang belanja:%1."
"We can't update the Wish List right now.","Kami tidak dapat memperbaharui daftar keinginan sekarang juga."
"%1 product(s) have been added to shopping cart: %2.","%1 produk telah ditambahkan ke keranjang belanja: %2."
"Comment:","Komentar:"
"We cannot retrieve the Wish List.","Kami tidak dapat mengambil Daftar Keinginan."
"%1's Wishlist","%1's daftar keinginan"
"We can't specify a wish list item.","Kami tidak bisa spesifikasikan daftar keinginan anda."
"The product does not exist.","Produknya tidak ada."
"Test Phrase","Uji Frase"
"message","pesan"
"Message","Pesan"
"error-message","pesan eror"
"LocalizedException","LocalizedException"
"Product Exception.","Kesalahan Produk."
"Localized Exception.","Kesalahan Lokal."
"Are you sure you want to remove this item?","Yakin ingin menghapus barang ini?"
"Special Price","Special Price"
"Regular Price","Regular Price"
"Share Wish List","Bagikan Daftar Keinginan"
"Add All to Cart","Tambahkan Semua ke Keranjang"
"Update Wish List","Perbarui Daftar Keinginan"
"Move to Wishlist","Pindah ke Wishlist"
"Add to Wish List","Tambahkan ke Daftar Keinginan"
"View Product","Lihat Produk"
"Qty","Jml"
"Add to Cart","Masukkan ke keranjang"
"Availability","Tersedianya"
"In stock","Tersedia"
"Out of stock","Habis terjual"
"Edit","Ubah"
"Remove Item","Hapus Item"
"Remove item","Hapus item"
"Add to Compare","Tambahkan untuk membandingkan"
"This Wish List has no Items","Daftar Keinginan ini tidak memiliki barang"
"%1 has been added to your Wish List.","%1 telah ditambahkan ke Daftar Keinginan Anda."
"Click <a href=""%1"">here</a> to continue shopping.","Klik <a href="" %1 ""> di sini </a> untuk terus berbelanja."
"See Details","Lihat Rincian"
"Options Details","Rincian pilihan"
"RSS link to %1's wishlist","Tautan RSS ke daftar keinginan %1"
"RSS Feed","RSS Feed"
"Product","Produk"
"Back","Kembali"
"Wish List is empty now.","Daftar Keinginan kosong sekarang."
"* Required Fields","* Bidang yang harus diisi"
"Sharing Information","Berbagi informasi"
"Email addresses, separated by commas","Alamat email, dipisahkan dengan koma"
"Check here to link an RSS feed to your Wish List.","Periksa di sini untuk menghubungkan umpan RSS ke Daftar Keinginan Anda."
"Last Added Items","Item yang Ditambahkan Terakhir"
"Remove This Item","Hapus item ini"
"Go to Wish List","Pergi ke Wish List"
"You have no items in your wish list.","Anda tidak memiliki barang dalam daftar keinginan Anda."
"Take a look at %customer_name's Wish List","Lihatlah %c ustomer_name ini Wish List"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name ingin membagikan Daftar Keinginan ini dari %s tore_name dengan Anda:"
"Message from %customer_name:","Message from %customer_name:"
"View all Wish List items","Lihat semua item Wish List"
"Wish List Section","Bagian Wish List"
"Share Options","Bagikan Pilihan"
"Email Sender","Pengirim email"
"Email Template","Template Email"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Template email dipilih berdasarkan fallback tema saat opsi ""Default"" dipilih."
"Max Emails Allowed to be Sent","Email Maksimal Diizinkan Dikirim"
"Email Text Length Limit","Batas Panjang Teks Email"
"General Options","Pilihan umum"
"Enabled","Diaktifkan"
"My Wish List Link","Tautan Daftar Keinginan Saya"
"Display Wish List Summary","Tampilkan Ringkasan Daftar Keinginan"
"Enable RSS","Aktifkan RSS"
"No Items Found","Tidak ditemukan item"
"Product Name","Nama Produk"
"User Description","Deskripsi Pengguna"
"Quantity","Kuantitas"
"Add Locale","Tambahkan Lokal"
"Add Date","Tambah Tanggal"
"Days in Wish List","Hari di daftar keinginan"
"Action","Tindakan"
"Configure","Konfigurasikan"
"Delete","Hapus"
"Product Details and Comment","Detail Produk dan Komentar"
"Add To Wishlist","Add To Wishlist"
"Are you sure you want to remove this product from your Wish List?","Are you sure you want to remove this product from your Wish List?"
"%1 has been removed from your Wish List.","%1 has been removed from your Wish List."
"10 by default. Max - 10000","10 secara default. Max - 10000"
"255 by default","255 by default"
"The Wish List item can't load at this time. Please try again later.","The Wish List item can't load at this time. Please try again later."
"The cart item doesn't exist.","The cart item doesn't exist."
"You must login or register to add items to your wishlist.","Anda harus masuk atau mendaftar untuk menambahkan item ke daftar keinginan Anda."
"Show in Sidebar","Show in Sidebar"
