"Import failed: %1","Import mislukt: %1"
"Class for type ""%1"" was not declared","Class for type ""%1"" was not declared"
"%1 does not implement %2","%1 is geen implementatie van %2"
"File app/etc/%1 can't be read. Please check if it exists and has read permissions.","Bestand app/etc/%1 kan niet worden gelezen. Controleer of het bestaat en leesmachtigingen heeft."
"There are no sensitive configurations to fill","Er zijn geen gevoelige configuraties te vullen"
"Value can't be empty","Value can't be empty"
"A configuration with this path does not exist or is not sensitive","Een configuratie met dit pad bestaat niet of is niet gevoelig"
"Cannot switch into given mode ""%1""","Cannot switch into given mode ""%1"""
"Wrong logger interface specified.","Verkeerde logger-interface opgegeven."
"Hash has not been saved.","Hash has not been saved."
"Parameter ""importer_class"" must be present.","Parameter ""importer_class"" must be present."
"The configuration file has changed. Run app:config:import or setup:upgrade command to synchronize configuration.","The configuration file has changed. Run app:config:import or setup:upgrade command to synchronize configuration."
"Wrong type specified: '%1'","Verkeerd type gespecificeerd: '%1'"
"Wrong queue type specified.","Verkeerd queue-soort gespecificeerd."
"Compilation from source: ","Compileer vanaf bron: "
"Wrong deploy strategy type: %1","Verkeerde deploy-strategie: %1"
"Some error","Een fout"
"some message","één of ander bericht"
"Exception","Exception"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","The class for ""%1"" type wasn't declared. Enter the class and try again."
"The value can't be empty. Enter the value and try again.","The value can't be empty. Enter the value and try again."
"The mode can't be switched to ""%1"".","The mode can't be switched to ""%1""."
"The hash isn't saved.","The hash isn't saved."
"The parameter ""importer_class"" is missing. Set the ""importer_class"" and try again.","The parameter ""importer_class"" is missing. Set the ""importer_class"" and try again."
"The configuration file has changed. Run the ""app:config:import"" or the ""setup:upgrade"" command to synchronize the configuration.","The configuration file has changed. Run the ""app:config:import"" or the ""setup:upgrade"" command to synchronize the configuration."
